Date,Government,Opposition
2025-07-17,46.2,44.3
2025-07-14,45.199999999999996,45.699999999999996
2025-07-14,46.6,46.0
2025-07-07,46.4,45.9
2025-07-03,46.3,44.0
2025-06-30,46.8,45.699999999999996
2025-06-30,45.400000000000006,45.300000000000004
2025-06-26,45.4,43.7
2025-06-26,45.599999999999994,45.599999999999994
2025-06-19,46.9,40.599999999999994
2025-06-23,46.9,45.5
2025-06-16,46.8,45.7
2025-06-13,45.6,44.2
2025-06-12,47.099999999999994,40.4
2025-06-11,46.900000000000006,45.6
2025-06-09,46.6,45.8
2025-06-06,46.5,44.9
2025-06-03,48.0,44.5
2025-06-05,46.099999999999994,42.0
2025-06-04,46.7,44.900000000000006
2025-06-02,46.800000000000004,45.199999999999996
2025-05-30,46.5,45.0
2025-05-29,42.9,45.8
2025-05-27,48.0,43.300000000000004
2025-05-26,46.9,44.900000000000006
2025-05-22,47.0,41.5
2025-05-22,47.0,40.5
2025-05-21,47.3,44.6
2025-05-19,47.0,44.9
2025-05-15,49.400000000000006,43.1
2025-05-15,46.6,44.099999999999994
2025-05-14,47.900000000000006,44.099999999999994
2025-05-13,48.5,44.0
2025-05-12,47.5,44.4
2025-05-08,49.400000000000006,43.0
2025-05-05,47.1,44.6
2025-04-30,46.9,41.0
2025-04-30,48.5,42.1
2025-04-30,48.1,44.1
2025-04-24,44.099999999999994,40.8
2025-04-28,47.8,44.0
2025-04-24,49.8,42.8
2025-04-23,48.0,43.9
2025-04-23,46.60000000000001,45.1
2025-04-21,47.8,44.0
2025-04-17,49.6,42.6
2025-04-16,48.5,43.5
2025-04-14,47.5,44.5
2025-04-10,49.6,42.5
2025-04-09,47.8,44.1
2025-04-08,48.5,44.2
2025-04-07,47.8,44.5
2025-04-04,45.0,43.800000000000004
2025-04-03,49.5,39.6
2025-04-02,47.4,43.7
2025-03-31,47.300000000000004,44.3
2025-03-27,49.0,43.0
2025-03-27,49.4,42.699999999999996
2025-03-27,46.599999999999994,40.1
2025-03-27,44.0,41.599999999999994
2025-03-26,47.5,41.0
2025-03-26,44.2,42.6
2025-03-26,45.7,43.7
2025-03-25,47.0,44.0
2025-03-24,47.400000000000006,44.4
2025-03-23,47.1,41.199999999999996
2025-03-22,49.1,39.9
2025-03-20,46.5,43.4
2025-03-19,46.5,44.5
2025-03-18,48.4,41.099999999999994
2025-03-17,47.1,44.699999999999996
2025-03-15,47.0,41.5
2025-03-13,46.5,43.0
2025-03-13,49.4,39.800000000000004
