Date,Ishiba,Koizumi,Kono,Takaichi,Suga,Kamikawa,Kishida,Noda,Motegi,Other,Undecided
2024-05-05,24.2,14.1,8.4,6.1,7.0,7.8,4.5,1.8,0.3,10.5,15.3
2024-04-14,21.0,18.0,8.0,6.0,5.0,9.0,5.0,2.0,1.0,1.0,24.0
2024-03-24,22.0,15.0,8.0,5.0,6.0,9.0,7.0,1.0,1.0,3.0,23.0
2024-03-17,22.0,18.0,9.0,6.0,5.0,11.0,4.0,2.0,1.0,1.0,21.0
2024-03-17,17.0,11.0,6.0,6.0,6.0,8.0,3.0,,,8.0,35.0
2024-03-11,18.6,12.1,6.4,4.7,5.7,5.9,2.3,0.9,0.4,2.6,40.4
2024-03-10,22.2,15.4,7.9,8.3,,10.8,4.9,1.8,0.9,3.3,24.5
2024-02-25,23.0,17.0,9.0,6.0,4.0,11.0,2.0,3.0,1.0,1.0,34.0
2024-02-18,17.0,10.0,7.0,6.0,7.0,10.0,3.0,,,7.0,33.0
2024-02-18,25.0,9.0,7.0,9.0,,12.0,1.0,2.0,1.0,,34.0
2024-02-18,21.0,17.0,10.0,6.0,4.0,8.0,4.0,2.0,2.0,2.0,12.0
2024-01-28,22.0,15.0,10.0,7.0,7.0,5.0,3.0,2.0,2.0,6.0,17.0
2023-12-11,15.0,16.0,8.8,5.0,6.2,3.1,1.6,,,1.0,40.3
2023-11-19,15.0,16.0,13.0,8.0,,,7.0,,1.0,1.0,36.0
2023-11-12,18.2,16.0,11.9,5.4,4.2,4.3,2.5,,,5.2,32.3
2023-09-24,18.0,15.0,14.0,5.0,7.0,,5.0,3.0,3.0,3.0,22.0
2023-07-08,15.0,16.0,13.0,5.0,10.0,,10.0,2.0,,3.0,27.0
2022-12-04,11.0,,19.0,5.0,7.0,,6.0,2.0,2.0,1.0,39.0
2022-11-20,5.9,4.0,14.7,4.7,4.4,,15.8,,,6.4,17.0
2022-09-18,5.1,2.1,13.6,5.1,3.4,,10.3,,,8.0,20.9
2024-05-05,24.2,14.1,8.4,6.1,7.0,7.8,4.5,1.8,0.3,10.5,15.3
2024-04-14,21.0,18.0,8.0,6.0,5.0,9.0,5.0,2.0,1.0,1.0,24.0
2024-03-24,22.0,15.0,8.0,5.0,6.0,9.0,7.0,1.0,1.0,3.0,23.0
2024-03-17,22.0,18.0,9.0,6.0,5.0,11.0,4.0,2.0,1.0,1.0,21.0
2024-03-17,17.0,11.0,6.0,6.0,6.0,8.0,3.0,,,8.0,35.0
2024-03-11,18.6,12.1,6.4,4.7,5.7,5.9,2.3,0.9,0.4,2.6,40.4
2024-03-10,22.2,15.4,7.9,8.3,,10.8,4.9,1.8,0.9,3.3,24.5
2024-02-25,23.0,17.0,9.0,6.0,4.0,11.0,2.0,3.0,1.0,1.0,34.0
2024-02-18,17.0,10.0,7.0,6.0,7.0,10.0,3.0,,,7.0,33.0
2024-02-18,25.0,9.0,7.0,9.0,,12.0,1.0,2.0,1.0,,34.0
2024-02-18,21.0,17.0,10.0,6.0,4.0,8.0,4.0,2.0,2.0,2.0,12.0
2024-01-28,22.0,15.0,10.0,7.0,7.0,5.0,3.0,2.0,2.0,6.0,17.0
2023-12-11,15.0,16.0,8.8,5.0,6.2,3.1,1.6,,,1.0,40.3
2023-11-19,15.0,16.0,13.0,8.0,,,7.0,,1.0,1.0,36.0
2023-11-12,18.2,16.0,11.9,5.4,4.2,4.3,2.5,,,5.2,32.3
2023-09-24,18.0,15.0,14.0,5.0,7.0,,5.0,3.0,3.0,3.0,22.0
2023-07-08,15.0,16.0,13.0,5.0,10.0,,10.0,2.0,,3.0,27.0
2022-12-04,11.0,,19.0,5.0,7.0,,6.0,2.0,2.0,1.0,39.0
2022-11-20,5.9,4.0,14.7,4.7,4.4,,15.8,,,6.4,17.0
2022-09-18,5.1,2.1,13.6,5.1,3.4,,10.3,,,8.0,20.9
2024-05-05,24.2,14.1,8.4,6.1,7.0,7.8,4.5,1.8,0.3,10.5,15.3
2024-04-14,21.0,18.0,8.0,6.0,5.0,9.0,5.0,2.0,1.0,1.0,24.0
2024-03-24,22.0,15.0,8.0,5.0,6.0,9.0,7.0,1.0,1.0,3.0,23.0
2024-03-17,22.0,18.0,9.0,6.0,5.0,11.0,4.0,2.0,1.0,1.0,21.0
2024-03-17,17.0,11.0,6.0,6.0,6.0,8.0,3.0,,,8.0,35.0
2024-03-11,18.6,12.1,6.4,4.7,5.7,5.9,2.3,0.9,0.4,2.6,40.4
2024-03-10,22.2,15.4,7.9,8.3,,10.8,4.9,1.8,0.9,3.3,24.5
2024-02-25,23.0,17.0,9.0,6.0,4.0,11.0,2.0,3.0,1.0,1.0,34.0
2024-02-18,17.0,10.0,7.0,6.0,7.0,10.0,3.0,,,7.0,33.0
2024-02-18,25.0,9.0,7.0,9.0,,12.0,1.0,2.0,1.0,,34.0
2024-02-18,21.0,17.0,10.0,6.0,4.0,8.0,4.0,2.0,2.0,2.0,12.0
2024-01-28,22.0,15.0,10.0,7.0,7.0,5.0,3.0,2.0,2.0,6.0,17.0
2023-12-11,15.0,16.0,8.8,5.0,6.2,3.1,1.6,,,1.0,40.3
2023-11-19,15.0,16.0,13.0,8.0,,,7.0,,1.0,1.0,36.0
2023-11-12,18.2,16.0,11.9,5.4,4.2,4.3,2.5,,,5.2,32.3
2023-09-24,18.0,15.0,14.0,5.0,7.0,,5.0,3.0,3.0,3.0,22.0
2023-07-08,15.0,16.0,13.0,5.0,10.0,,10.0,2.0,,3.0,27.0
2022-12-04,11.0,,19.0,5.0,7.0,,6.0,2.0,2.0,1.0,39.0
2022-11-20,5.9,4.0,14.7,4.7,4.4,,15.8,,,6.4,17.0
2022-09-18,5.1,2.1,13.6,5.1,3.4,,10.3,,,8.0,20.9
