Date,LDP,CDP,DPFP,NIK,KMT,REI,JCP,DIY,CPJ,SDP,None
2025-01-19,23.0,7.0,12.0,3.0,4.0,3.0,3.0,1.0,0.0,0.0,37.0
2025-01-19,29.4,10.1,7.2,2.5,2.8,3.5,2.2,0.8,1.1,0.3,37.0
2025-01-19,20.0,11.0,15.0,5.0,2.0,4.0,2.0,1.0,2.0,0.0,38.0
2025-01-19,28.0,5.0,13.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,34.0
2025-01-13,30.5,8.1,6.4,3.6,2.7,2.1,1.3,0.3,1.1,0.3,37.8
2025-01-13,17.3,5.1,6.6,2.8,3.6,1.7,1.4,0.3,0.5,0.3,57.3
2025-01-12,26.8,17.0,5.7,4.8,4.1,3.2,6.0,0.7,1.8,0.7,29.0
2025-01-05,26.2,8.2,11.0,2.5,3.2,3.6,2.1,1.2,0.8,0.4,37.4
2024-12-22,32.0,9.0,14.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,24.0
2024-12-15,26.8,17.2,5.7,4.8,2.9,1.8,3.8,1.0,2.5,1.3,31.9
2024-12-15,24.0,9.0,11.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,35.0
2024-12-15,28.1,9.0,11.3,3.2,2.4,2.8,3.5,0.7,0.5,0.6,36.9
2024-12-15,20.0,11.0,13.0,5.0,2.0,4.0,2.0,1.0,2.0,0.0,38.0
2024-12-15,29.1,11.3,12.6,5.0,2.3,5.0,2.7,1.8,2.1,0.6,22.5
2024-12-15,24.0,8.0,12.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,36.0
2024-12-09,19.1,6.7,5.7,2.5,4.3,1.6,1.5,0.6,0.6,0.4,54.6
2024-12-09,28.7,8.7,7.9,3.4,2.5,1.6,2.7,0.5,0.7,0.9,35.6
2024-12-08,35.2,13.9,10.6,5.2,2.4,2.4,3.2,1.1,0.8,0.4,19.8
2024-12-01,28.2,8.5,8.8,4.0,3.3,2.9,2.2,0.5,0.8,0.6,35.6
2024-11-24,21.0,12.0,13.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,38.0
2024-11-17,30.5,15.1,9.0,4.4,3.9,6.9,2.5,2.5,1.6,0.3,20.9
2024-11-17,26.9,16.0,5.6,4.3,4.2,2.5,5.1,1.0,1.7,0.9,31.9
2024-11-17,30.1,11.4,7.4,3.6,3.8,1.4,2.4,1.2,0.3,0.5,31.6
2024-11-17,30.0,16.0,11.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,19.0
2024-11-12,30.0,11.0,10.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,30.0
2024-11-11,20.0,7.5,5.5,2.6,4.1,1.6,1.1,0.5,0.8,0.3,52.7
2024-11-10,36.6,15.8,8.9,4.1,4.8,2.8,3.7,1.0,1.4,0.4,15.8
2024-11-03,26.0,13.0,10.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,29.0
2024-11-03,25.8,13.7,10.1,5.3,3.7,2.8,3.5,3.0,1.6,0.4,28.3
2024-11-02,24.6,12.8,9.1,4.0,3.7,3.6,2.5,0.9,0.2,0.8,31.8
2024-10-29,25.0,14.0,7.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,31.0
2024-10-29,31.8,20.3,9.8,5.3,3.4,6.7,2.1,1.7,1.7,0.6,15.0
