Date,LDP,CDP,NIK,KMT,JCP,DPP,REI,DIY,SDP,Oth
2024-10-24,203,144,38,25,11,19.0,6.0,3.0,1.0,15.0
2024-10-23,197,153,42,25,12,11.0,6.0,2.0,1.0,16.0
2024-10-23,171,126,29,23,7,23.0,6.0,0.0,1.0,11.0
2024-10-23,195,138,43,32,10,11.0,,,1.0,5.0
2024-10-20,196,148,43,22,10,22.0,3.0,,,
2024-10-20,200,138,38,25,12,21.0,11.0,2.0,1.0,17.0
2024-10-18,235,118,38,29,9,12.0,5.0,1.0,2.0,16.0
2024-10-18,204,145,45,28,11,11.0,6.0,1.0,1.0,13.0
2024-10-16,231,130,32,30,12,12.0,6.0,1.0,2.0,9.0
2024-10-16,203,117,28,24,5,13.0,6.0,0.0,1.0,12.0
2024-10-15,202,150,49,28,10,11.0,4.0,1.0,2.0,8.0
2024-10-15,228,98,44,24,10,,,,,
2024-10-15,230,130,45,28,10,,,,,
2024-10-14,229,116,47,29,10,12.0,5.0,0.0,2.0,15.0
2024-10-09,226,122,45,29,11,11.0,5.0,2.0,1.0,13.0
2024-10-08,234,112,43,30,10,12.0,5.0,0.0,2.0,17.0
2024-10-06,202,148,54,25,10,12.0,4.0,0.0,2.0,8.0
2024-10-03,219,131,50,25,10,11.0,6.0,0.0,1.0,12.0
2024-05-27,205,151,45,25,10,10.0,6.0,4.0,1.0,8.0
2024-05-05,184,161,58,23,11,10.0,6.0,1.0,2.0,9.0
2021-10-31,259,96,41,32,10,11.0,3.0,0.0,1.0,12.0
2024-10-23,225,177,40,29,9,29.0,7.0,1.0,1.0,23.0
2024-10-23,195,138,43,32,10,11.0,,,2.0,5.0
2024-10-16,250,163,34,29,6,20.0,6.0,0.0,1.0,14.0
2024-10-15,258,117,46,32,10,,,,,
