Date,Approve,Disapprove,Undecided
2024-11-26,27.8,69.8,2.4
2024-11-25,27.4,70.6,2.0
2024-11-23,21.5,77.6,0.9
2024-11-22,25.7,70.3,4.0
2024-11-21,20.0,72.0,7.0
2024-11-20,27.0,68.0,6.0
2024-11-19,25.6,72.4,2.0
2024-11-19,26.5,71.7,1.7
2024-11-16,19.9,79.5,0.6
2024-11-15,23.7,73.0,3.2
2024-11-14,20.0,71.0,9.0
2024-11-12,26.9,71.5,1.6
2024-11-11,26.0,72.0,2.0
2024-11-11,24.3,74.0,1.7
2024-11-10,26.7,71.2,2.1
2024-11-09,18.8,80.5,0.7
2024-11-08,22.3,75.1,2.6
2024-11-07,17.0,74.0,9.0
2024-11-06,19.0,74.0,7.0
2024-11-05,20.7,77.9,1.3
2024-11-05,26.9,70.7,2.4
2024-11-02,21.9,74.1,4.1
2024-11-02,18.2,81.3,0.5
2024-11-01,22.4,74.2,3.4
2024-10-31,23.0,75.0,2.0
2024-10-31,19.0,72.0,10.0
2024-10-29,26.9,71.9,1.2
2024-10-28,23.9,73.6,2.5
2024-10-26,19.0,80.0,1.0
2024-10-25,24.6,71.4,3.9
2024-10-24,20.0,70.0,10.0
2024-10-23,22.0,67.0,10.0
2024-10-22,22.0,74.4,3.6
2024-10-22,20.6,77.1,2.2
2024-10-19,20.9,78.0,1.1
2024-10-18,24.1,72.3,3.6
2024-10-17,22.0,69.0,9.0
2024-10-15,28.9,68.4,2.7
2024-10-14,27.2,70.3,2.5
2024-10-12,19.2,80.0,0.8
2024-10-11,25.8,71.3,2.9
2024-10-09,24.4,73.6,2.0
2024-10-09,24.0,66.0,10.0
2024-10-08,25.7,71.6,2.6
2024-10-05,23.7,76.0,0.4
2024-10-04,27.9,68.1,4.0
2024-10-01,29.2,68.2,2.5
2024-09-30,27.0,70.0,3.0
2024-09-30,27.9,69.6,2.5
2024-09-29,27.8,70.5,1.8
2024-09-28,22.2,77.3,0.5
2024-09-27,25.8,70.8,3.4
2024-09-26,23.0,68.0,8.0
2024-09-25,25.0,69.0,6.0
2024-09-24,28.7,68.4,2.9
2024-09-21,23.1,75.2,1.7
2024-09-20,30.3,66.2,3.6
2024-09-19,27.1,70.4,2.4
2024-09-13,27.0,68.7,4.2
2024-09-12,26.0,68.0,7.0
2024-09-12,20.0,70.0,9.0
2024-09-12,27.7,70.0,2.3
2024-09-10,27.7,69.5,2.8
2024-09-08,25.7,69.2,5.0
2024-09-07,24.6,74.0,1.4
2024-09-06,29.9,66.1,4.1
2024-09-05,23.0,67.0,10.0
2024-09-04,27.0,66.0,7.0
2024-09-03,29.4,67.8,2.8
2024-09-02,28.1,69.5,2.4
2024-08-31,30.0,68.0,2.0
2024-08-30,29.6,66.7,3.6
2024-08-29,31.8,65.4,2.8
2024-08-29,23.0,66.0,11.0
2024-08-27,30.9,67.3,1.8
2024-08-27,33.2,63.5,3.3
2024-08-24,26.0,72.4,1.6
2024-08-23,30.0,66.4,3.6
2024-07-22,27.0,63.0,11.0
2024-08-21,27.0,63.0,10.0
2024-08-21,31.6,65.3,3.1
2024-08-20,30.7,66.4,2.9
2024-08-20,32.1,65.1,2.9
2024-08-19,30.8,65.9,3.4
2024-08-19,31.7,65.7,2.6
2024-08-17,25.4,73.1,1.5
2024-08-14,30.7,65.4,3.8
2024-08-13,32.0,65.4,2.6
2024-08-13,32.0,64.6,3.3
2024-08-10,26.9,71.1,2.0
2024-08-09,33.6,62.2,4.2
2024-08-07,29.0,60.0,11.0
2024-08-06,33.0,64.8,2.2
2024-08-06,37.2,61.4,1.4
2024-08-05,34.6,62.6,2.7
2024-08-03,26.5,72.3,1.2
2024-08-02,32.8,63.2,4.0
2024-07-31,33.0,65.0,3.0
2024-07-30,34.7,63.5,1.7
2024-07-30,36.0,62.3,1.7
2024-07-27,28.6,70.2,1.2
2024-07-26,34.7,61.8,3.5
2024-07-25,28.0,63.0,10.0
2024-07-24,30.0,62.0,7.0
2024-07-23,36.0,61.1,2.9
2024-07-22,34.0,64.3,1.7
2024-07-20,27.2,71.4,1.4
2024-07-19,34.5,61.6,3.9
2024-07-18,29.0,60.0,12.0
2024-07-16,34.4,62.6,3.1
2024-07-13,27.2,72.2,0.6
2024-07-12,32.3,63.8,3.9
2024-07-11,25.0,68.0,7.0
2024-07-10,26.0,66.0,8.0
2024-07-08,33.0,64.6,2.5
2024-07-06,28.0,70.6,1.4
2024-07-05,31.1,65.3,3.6
2024-07-04,26.0,64.0,10.0
2024-06-30,32.0,64.0,4.0
2024-06-29,26.2,72.6,1.2
2024-06-28,31.6,64.0,4.4
2024-06-27,25.0,66.0,10.0
2024-06-26,27.0,64.0,8.0
2024-06-24,30.6,67.3,2.1
2024-06-22,25.2,73.2,1.6
2024-06-21,32.1,65.0,3.0
2024-06-20,26.0,64.0,10.0
2024-06-15,27.5,70.3,2.2
2024-06-14,30.1,66.0,3.9
2024-06-13,26.0,66.0,8.0
2024-06-12,29.0,63.0,8.0
2024-06-10,32.6,64.9,2.5
2024-06-08,25.9,73.1,1.0
2024-06-07,31.5,65.1,3.4
2024-06-03,31.8,65.0,3.3
2024-06-01,24.6,73.4,2.0
2024-05-31,30.6,65.9,3.5
2024-05-30,30.0,67.0,3.0
2024-05-30,21.0,70.0,10.0
2024-05-29,29.0,62.0,9.0
2024-05-27,30.3,67.0,2.7
2024-05-25,26.2,72.7,1.1
2024-05-24,30.3,66.1,3.6
2024-05-23,24.0,67.0,9.0
2024-05-18,27.0,71.3,1.7
2024-05-17,31.4,65.5,3.1
2024-05-15,28.0,64.0,9.0
2024-05-13,31.1,66.3,2.6
2024-05-11,25.0,73.3,1.7
2024-05-10,30.6,66.6,2.7
2024-05-08,24.0,67.0,9.0
2024-05-04,24.2,74.3,1.5
2024-05-03,30.3,65.5,4.3
