Date,DPK,PPP,RKP,NRP,PP,NFP,BIP,SDP,Other
2024-07-20,38.7,31.3,11.0,3.1,0.8,nan,nan,nan,1.8
2024-07-19,33.2,42.1,9.3,5.0,0.8,1.4,nan,nan,1.3
2024-07-18,27.0,35.0,8.0,4.0,1.0,1.0,0.0,nan,1.0
2024-07-16,38.1,37.7,8.8,3.9,1.3,1.7,nan,nan,2.7
2024-07-16,32.0,41.3,7.4,5.7,1.4,1.3,nan,nan,3.1
2024-07-15,30.0,41.0,9.6,3.3,1.5,nan,nan,nan,2.2
2024-07-13,42.3,36.6,10.5,4.0,1.6,nan,nan,nan,2.2
2024-07-12,35.0,38.0,10.3,4.3,1.8,1.5,nan,nan,1.3
2024-07-11,30.0,35.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0
2024-07-10,27.0,30.0,12.0,5.0,1.0,nan,nan,nan,2.0
2024-07-09,34.5,38.1,9.8,4.8,0.7,1.9,nan,nan,2.0
2024-07-09,28.4,40.6,9.0,6.2,1.3,1.7,nan,nan,3.8
2024-07-08,30.0,35.0,10.0,4.0,1.0,nan,nan,nan,2.0
2024-07-06,43.1,32.3,12.8,5.8,1.6,nan,nan,nan,2.2
2024-07-05,38.2,36.0,10.9,3.8,1.2,1.8,nan,nan,1.6
2024-07-04,29.0,33.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0
2024-07-02,38.0,35.8,11.3,3.2,1.2,1.0,nan,nan,3.6
2024-06-29,44.5,33.4,11.0,5.3,0.8,nan,nan,nan,2.3
2024-06-28,34.1,36.7,12.2,5.4,2.1,1.0,nan,nan,1.3
2024-06-27,32.0,31.0,10.0,4.0,0.0,1.0,0.0,0.0,1.0
2024-06-26,25.0,29.0,13.0,4.0,1.0,nan,nan,nan,1.0
2024-06-25,36.3,32.5,10.1,4.9,1.7,1.2,nan,nan,1.7
2024-06-24,42.8,33.7,8.3,4.5,nan,nan,nan,nan,2.8
2024-06-22,40.7,32.2,14.5,5.3,1.4,nan,nan,nan,2.1
2024-06-21,37.2,36.2,10.7,4.8,1.4,1.5,nan,nan,1.8
2024-06-20,28.0,32.0,9.0,4.0,2.0,1.0,0.0,0.0,1.0
2024-06-18,31.2,36.7,10.4,6.2,1.9,1.3,nan,nan,4.9
2024-06-16,34.9,31.4,11.3,5.1,2.3,1.7,nan,nan,2.0
2024-06-15,42.2,31.6,15.3,5.5,0.7,nan,nan,nan,2.4
2024-06-15,32.0,33.0,12.0,4.0,1.0,0.0,0.0,0.0,1.0
2024-06-14,35.4,35.9,13.2,4.9,1.5,1.5,nan,nan,1.5
2024-06-13,27.0,30.0,11.0,4.0,1.0,1.0,0.0,0.0,2.0
2024-06-12,26.0,29.0,13.0,5.0,1.0,nan,nan,nan,3.0
2024-06-09,34.8,30.2,12.6,4.8,1.3,1.5,nan,nan,2.9
2024-06-08,39.4,31.9,15.6,5.8,1.8,nan,nan,nan,2.9
2024-06-07,35.6,34.5,13.0,5.2,1.3,1.6,nan,nan,1.6
2024-06-02,34.7,28.6,14.6,5.5,1.2,1.7,nan,nan,2.5
2024-06-01,41.8,28.6,17.6,6.4,1.9,nan,nan,nan,1.9
2024-05-31,33.8,33.1,14.5,5.3,1.1,1.4,nan,nan,2.0
2024-05-30,29.0,30.0,13.0,2.0,1.0,0.0,nan,nan,3.0
2024-05-29,27.0,30.0,12.0,3.0,1.0,1.0,nan,nan,3.0
2024-05-25,41.2,30.8,14.5,5.6,1.4,2.1,nan,nan,2.1
2024-05-24,33.9,35.2,13.8,4.8,1.2,1.3,nan,nan,2.2
2024-05-23,31.0,29.0,11.0,4.0,1.0,0.0,nan,nan,2.0
2024-05-18,36.2,32.0,18.4,5.4,1.2,1.9,nan,nan,2.6
2024-05-17,34.5,35.0,13.5,5.3,1.3,1.3,nan,nan,2.2
2024-05-15,27.0,31.0,12.0,4.0,0.0,1.0,nan,nan,3.0
2024-05-11,45.1,28.1,14.1,4.0,1.8,1.3,nan,nan,3.0
2024-05-10,40.6,32.9,12.5,4.1,0.5,2.1,nan,nan,2.3
2024-05-09,30.0,34.0,11.0,5.0,1.0,nan,nan,nan,1.0
2024-05-04,43.3,30.9,14.2,4.6,1.2,1.8,nan,nan,2.0
2024-05-03,36.1,32.1,13.4,5.4,0.8,2.5,nan,nan,3.5
2024-05-01,29.0,31.0,12.0,4.0,1.0,1.0,nan,nan,3.0
2024-04-27,41.1,29.4,16.8,5.5,1.7,1.9,nan,nan,2.1
2024-04-26,35.1,34.1,13.5,6.2,1.6,1.8,nan,nan,2.7
2024-04-25,29.0,33.0,13.0,3.0,0.0,1.0,nan,nan,2.0
2024-04-21,34.9,29.8,17.8,5.5,1.3,1.7,nan,nan,1.8
2024-04-19,35.0,35.8,14.4,4.8,1.1,2.2,nan,nan,1.5
2024-04-18,31.0,30.0,14.0,3.0,0.0,0.0,nan,nan,1.0
2024-04-17,32.0,32.0,13.0,4.0,nan,1.0,nan,nan,3.0
2024-04-16,28.5,39.2,14.2,4.9,nan,2.2,nan,nan,4.5
2024-04-15,28.8,35.2,14.7,5.0,1.6,2.2,nan,nan,3.4
2024-04-15,35.8,33.0,12.5,5.5,0.9,2.4,nan,nan,4.2
2024-04-14,34.2,31.3,14.8,5.5,2.3,2.1,nan,nan,1.8
2024-04-13,39.4,30.9,18.3,5.9,1.2,1.9,nan,nan,1.6
2024-04-10,26.7,36.67,24.25,3.62,nan,1.71,nan,nan,7.05
