Date,Lee Jae-myung,Kim Dong-yeon,Kim Kyoung-soo,Han Dong-hoon,Oh Se-hoon,Hong Joon-pyo,Yoo Seong-min,Won Hee-ryong,Anh Cheol-soo,Kim Moon-soo,Cho Kuk,Lee Jun-seok,Han Duck-soo
2025-04-19,48.2,1.8,0.6,4.8,nan,6.6,0.8,nan,2.4,5.7,nan,1.7,2.0
2025-04-19,46.1,1.1,0.6,8.1,nan,9.0,nan,nan,2.4,8.2,nan,4.7,nan
2025-04-18,50.2,2.0,1.8,8.5,nan,7.5,nan,nan,3.7,12.2,nan,3.5,nan
2025-04-17,38.0,nan,—,6.0,nan,7.0,nan,nan,nan,7.0,nan,2.0,nan
2025-04-16,49.4,2.3,1.3,8.0,nan,6.1,nan,nan,nan,9.0,nan,nan,2.8
2025-04-16,39.0,2.0,1,6.0,nan,8.0,nan,nan,3.0,8.0,nan,3.0,nan
2025-04-13,44.9,0.6,1.0,7.2,1.3,4.4,2.4,nan,1.5,11.1,nan,3.4,nan
2025-04-12,42.0,1.0,1,7.0,3.0,7.0,1.0,nan,3.0,10.0,nan,2.0,nan
2025-04-12,46.7,1.2,0.4,6.8,2.4,5.7,1.7,nan,2.4,10.0,nan,2.4,1.9
2025-04-12,45.5,1.6,1.0,10.0,2.3,6.4,2.2,nan,3.1,12.5,nan,3.3,nan
2025-04-11,48.8,1.2,1.3,6.2,2.6,5.2,2.7,nan,2.4,10.9,nan,3.0,nan
2025-04-10,38.0,2.0,1,5.0,4.0,6.0,2.0,1.0,3.0,13.0,nan,3.0,nan
2025-04-10,37.0,nan,—,4.0,2.0,5.0,1.0,nan,2.0,9.0,nan,2.0,1.0
2025-04-09,42.0,3.0,1,6.0,5.0,9.0,nan,nan,nan,12.0,nan,3.0,nan
2025-04-09,47.6,1.9,2.1,4.9,3.7,4.3,1.8,1.1,2.1,17.9,nan,1.7,nan
2025-04-09,32.0,1.0,1,5.0,5.0,7.0,2.0,nan,4.0,12.0,nan,2.0,nan
2025-04-07,46.2,2.0,0.9,7.2,4.4,6.4,nan,nan,nan,17.0,nan,3.4,nan
2025-04-06,30.0,3.0,1,6.0,4.0,5.0,2.0,nan,4.0,6.0,nan,2.0,nan
2025-04-05,40.0,nan,—,4.0,3.0,4.0,nan,nan,nan,7.0,2.0,2.0,nan
2025-04-05,45.3,0.9,—,5.5,4.2,6.1,nan,nan,3.0,7.8,nan,2.7,nan
2025-04-05,44.3,1.6,1.3,7.6,5.2,7.6,2.9,nan,nan,12.7,nan,3.1,2.9
2025-04-03,34.0,nan,—,5.0,2.0,4.0,nan,nan,nan,9.0,1.0,1.0,1.0
2025-04-02,33.0,2.0,0,4.0,4.0,4.0,2.0,nan,2.0,9.0,nan,1.0,nan
