Date,Lee Jae-myung,Kim Moon-soo,Lee Jun-seok,Kwon Yeong-guk,Koo Joo-wa,Hwang Kyo-ahn,Song Jin-ho,Other
2025-05-18,47.7,33.3,6.8,nan,0.2,0.1,nan,nan
2025-05-17,48.0,40.0,9.0,1.0,0.0,1.0,0.0,nan
2025-05-17,51.0,32.0,7.0,0.0,0.0,0.0,nan,nan
2025-05-17,52.1,29.5,7.0,0.3,0.2,0.6,0.1,nan
2025-05-17,49.2,38.6,7.6,nan,nan,nan,nan,1.3
2025-05-17,49.2,36.4,9.4,0.4,0.4,1.2,0.2,nan
2025-05-16,50.6,38.6,5.7,0.3,0.5,0.8,0.1,nan
2025-05-16,50.2,35.6,8.7,nan,nan,nan,nan,1.1
2025-05-15,46.5,39.5,7.3,nan,nan,nan,nan,2.7
2025-05-15,47.0,30.0,7.0,0.0,nan,1.0,0.0,nan
2025-05-15,51.4,28.9,7.6,0.3,0.1,0.7,nan,nan
2025-05-15,46.0,31.0,8.0,1.0,0.0,1.0,0.0,nan
2025-05-15,51.0,29.0,8.0,nan,nan,nan,nan,1.0
2025-05-14,48.8,37.6,7.3,nan,nan,nan,nan,2.4
2025-05-14,51.9,33.1,6.6,0.6,0.8,1.7,0.4,nan
2025-05-14,47.4,39.2,7.1,0.8,nan,nan,nan,1.3
2025-05-14,49.0,27.0,7.0,nan,nan,nan,nan,nan
2025-05-13,47.0,39.0,8.0,1.0,nan,1.0,nan,nan
2025-05-13,40.0,21.0,6.0,nan,nan,nan,nan,1.0
2025-05-13,47.5,36.1,8.7,0.4,0.6,1.6,1.1,0.3
2025-05-13,52.0,28.4,7.4,nan,nan,nan,nan,0.8
2025-05-13,52.3,35.9,6.7,nan,nan,nan,nan,1.2
2025-05-13,51.6,35.5,7.2,nan,nan,nan,nan,2.6
2025-05-13,50.5,30.8,8.1,nan,nan,nan,nan,4.7
2025-05-13,51.0,31.0,8.0,nan,nan,nan,nan,nan
2025-05-13,50.0,35.0,8.2,0.6,0.7,1.4,0.4,nan
2025-05-12,47.1,36.7,7.5,1.0,1.6,nan,nan,0.8
2025-05-12,49.5,38.2,5.7,nan,nan,nan,nan,1.5
2025-05-12,46.0,33.0,7.0,nan,nan,nan,nan,nan
