Date,JV,ZZS,AS,NA,ST!,LPV,PRO,KP,LA,S,P21,LKS,SV,JKP,AP!
2025-04-30,12.8,9.7,9.5,16.0,7.3,16.5,8.8,1.4,2.5,5.1,0.3,2.0,4.5,1.7,
2025-01-31,11.4,9.5,9.1,18.1,7.7,14.2,10.6,1.7,2.4,5.4,0.1,1.4,4.0,1.9,
2024-12-31,12.5,7.6,8.4,18.0,6.7,14.6,11.2,1.3,3.4,6.1,0.5,1.4,4.6,1.7,
2024-11-30,14.0,8.9,8.1,16.2,8.0,14.2,11.5,1.1,3.8,6.1,0.2,0.8,3.5,1.6,
2024-10-31,15.9,9.1,9.1,15.2,7.0,11.5,11.1,1.5,2.6,7.6,0.2,1.1,4.0,1.6,
2024-08-31,15.5,7.9,7.6,16.1,7.5,11.8,11.2,1.6,3.7,7.3,0.1,0.7,3.6,3.0,
2024-06-30,18.4,7.2,7.9,16.1,6.0,10.7,10.6,1.6,3.9,8.5,0.3,1.4,2.9,2.4,
2024-04-30,12.7,11.6,8.5,14.5,6.5,10.2,11.5,2.4,2.1,8.7,0.3,1.7,4.1,2.7,
2024-03-31,13.6,10.3,8.2,13.9,8.4,11.1,13.6,2.5,3.1,7.3,0.3,1.1,2.9,2.2,
2024-01-31,16.0,10.1,8.4,13.0,8.2,11.1,13.3,2.5,2.7,5.9,0.7,1.3,2.9,2.7,
2023-12-31,14.4,12.0,8.9,13.1,9.1,11.3,12.0,2.0,3.3,3.6,1.3,2.5,2.2,3.2,
2023-11-30,18.0,13.2,7.6,10.1,9.6,11.5,11.2,2.8,2.0,7.2,0.3,1.5,2.3,2.8,
2023-10-31,17.3,13.7,8.2,12.9,8.7,11.6,11.0,2.3,,4.5,0.7,1.8,2.3,2.7,
2023-09-30,14.5,12.9,8.7,12.0,8.1,11.9,13.8,2.6,1.7,5.1,0.5,1.5,2.5,3.2,
2023-08-31,18.1,12.7,9.3,8.7,9.3,11.9,13.0,2.8,2.1,5.3,0.6,1.1,1.7,2.7,
2023-07-31,22.3,11.8,7.5,8.8,7.5,11.4,14.0,2.5,2.0,4.9,0.4,1.2,2.1,2.6,
2023-06-30,18.9,11.1,8.9,10.2,6.6,14.1,14.7,1.5,2.1,5.6,0.7,0.9,2.0,1.7,
2023-05-31,18.9,12.8,9.1,10.6,7.8,13.5,10.8,1.6,1.2,5.5,1.3,1.3,2.1,2.3,
2023-04-30,19.0,12.7,11.7,10.0,7.8,11.7,11.3,2.9,,4.7,,2.2,,2.9,
2023-03-31,17.7,14.4,9.7,10.9,8.8,9.0,12.8,1.9,1.2,4.5,1.7,2.1,2.4,1.8,
2023-01-31,21.3,14.1,10.3,10.4,7.2,7.8,10.9,2.5,1.7,4.1,2.0,1.7,1.7,2.8,
2022-12-31,18.8,15.1,8.9,11.1,8.0,5.8,11.7,,,4.4,2.2,2.8,1.5,2.8,5.3
2022-11-30,22.5,11.6,11.0,12.1,5.8,5.9,12.3,,,4.4,2.0,2.1,1.5,2.7,5.1
2022-10-31,23.9,13.7,9.7,10.5,6.2,5.5,9.6,,,3.0,2.2,2.2,1.9,2.9,4.6
2022-10-01,18.92,12.4,10.98,9.27,6.78,6.22,6.14,,,4.76,3.66,3.62,3.23,3.08,4.96
