Date,LSDP,TS-LKD,PPNA,DSVL,LS,LVŽS,LP,LLRA−KŠS,NS,DP,LRP,LŽP,TTS,PLT
2025-03-28,18.7,18.4,10.4,11.3,9.8,10.3,5.3,,3.2,,,,,
2025-03-24,22.0,15.3,13.2,15.0,7.3,8.3,,3.0,,4.8,2.1,,,2.7
2025-02-28,15.6,27.1,12.7,10.6,11.2,5.9,5.9,,,,,,,
2025-02-23,22.1,14.4,21.7,16.2,9.0,11.4,5.2,,,,,,,
2025-02-08,22.6,11.7,17.4,17.9,5.4,10.6,2.1,2.0,1.4,4.4,2.1,1.8,,2.0
2025-01-29,16.3,15.9,13.0,12.3,11.8,9.1,4.2,,3.3,,,,,
2024-12-20,18.4,17.3,17.9,11.1,11.5,9.2,3.3,,,,,,,
2024-12-01,22.9,13.7,17.1,14.8,4.8,8.5,2.1,3.5,1.0,3.3,3.4,1.2,0.3,2.9
2024-11-16,24.3,11.8,20.7,10.8,13.5,9.6,,2.2,3.1,,,,,1.9
2024-11-12,18.8,13.4,20.3,14.1,6.9,10.2,3.0,2.7,1.1,3.4,2.4,1.5,0.3,1.9
2024-10-13,19.7,18.35,15.26,9.4,7.85,7.16,4.62,3.96,2.93,2.24,1.93,1.72,1.41,0.77
