Date,SDSM,VMRO-DPMNE,BDI,Levica,VLEN,ZNAM,Other
2024-04-24,20.5,41.2,27.4,4.7,9.5,9.5,0.9
2024-04-20,25.6,38.0,19.0,7.2,14.5,5.0,0.2
2024-04-13,22.8,41.2,25.4,6.5,9.9,6.1,0.8
2024-04-13,26.8,37.5,22.6,6.4,12.7,5.3,
2024-03-24,16.0,40.8,14.6,7.9,11.5,8.2,0.7
2024-03-07,24.6,39.4,23.2,5.5,13.6,5.3,
2024-02-20,21.8,38.6,15.6,6.0,8.6,5.0,2.4
2023-11-09,23.0,35.6,17.9,5.9,9.3,,8.2
2023-10-29,21.8,36.2,14.700000000000001,6.8,9.8,5.6,2.1
2023-05-26,21.6,38.2,17.4,12.3,4.4,5.7,0.8
2023-05-04,17.0,32.0,22.0,11.0,9.0,,7.0
2023-04-14,23.6,39.6,17.7,10.3,6.6,3.1,2.0
2023-03-09,24.0,38.0,25.0,9.0,2.0,,
2023-02-16,22.5,39.2,21.4,8.1,4.1,,3.4
2022-12-19,16.3,33.3,21.1,12.3,7.0,,8.8
2022-11-13,21.2,40.9,17.5,8.9,10.8,,1.1
2022-05-06,30.1,39.4,20.5,5.4,4.699999999999999,,
2021-10-22,31.7,37.7,19.0,6.6,2.6,,
2021-09-09,30.8,27.6,20.9,7.4,7.4,,
2021-06-16,33.0,28.5,21.3,7.5,6.8,,
2021-04-06,27.9,27.9,19.7,9.8,6.6,,
2021-03-04,31.9,34.7,19.3,6.6,1.7,,
2020-12-24,31.7,30.8,19.2,10.6,5.0,,0.3
2020-07-15,35.89,34.57,20.43,4.1,,,3.49
