Date,Sheinbaum,Gálvez,Máynez,Other
2024-05-24,50.0,27.4,10.4,12.2
2024-05-13,47.7,40.1,9.0,3.2
2024-05-11,55.0,32.0,13.0,nan
2024-05-06,48.9,28.1,10.3,12.7
2024-05-05,52.4,29.0,8.1,10.5
2024-05-05,50.0,40.0,7.0,2.0
2024-04-30,55.0,34.0,11.0,nan
2024-04-30,48.9,40.4,6.9,3.8
2024-04-28,53.0,28.5,7.3,11.2
2024-04-26,54.4,21.3,12.8,11.5
2024-04-24,49.0,32.0,8.0,11.0
2024-04-21,53.8,30.1,4.4,11.7
2024-04-21,51.2,24.6,10.7,13.5
2024-04-16,49.7,40.8,6.3,3.2
2024-04-14,59.0,33.0,8.0,nan
2024-04-14,54.3,30.2,4.0,11.5
2024-04-14,49.0,34.0,6.0,11.0
2024-04-14,51.0,39.0,5.0,5.0
2024-04-14,54.0,30.0,7.0,9.0
2024-04-13,51.4,26.7,9.3,12.6
2024-04-05,50.7,40.9,4.6,3.8
2024-04-01,51.0,34.0,7.0,8.0
2024-03-31,50.0,38.0,6.0,3.0
2024-03-25,57.1,23.7,4.4,14.8
2024-03-24,53.5,28.9,6.0,11.6
2024-03-17,63.0,15.0,2.0,20.0
2024-03-17,50.5,28.8,4.8,15.9
2024-03-14,49.4,41.6,5.0,4.0
2024-03-14,51.0,37.0,6.0,6.0
2024-02-28,61.0,20.0,4.4,14.6
2024-02-28,53.0,29.0,3.0,15.0
2024-02-25,50.0,33.0,8.0,8.0
2024-02-20,51.6,27.8,5.1,15.5
2024-02-19,50.4,40.9,3.9,4.8
2024-02-19,67.0,15.0,2.0,16.0
2024-02-14,51.0,35.0,4.0,10.0
2024-02-05,50.8,39.9,4.2,5.1
2024-01-30,50.0,35.0,5.0,9.0
2024-01-22,54.0,27.0,3.0,16.0
2024-01-15,68.1,26.6,5.3,10.3
2024-01-14,52.0,27.1,5.0,15.3
2024-01-13,53.5,28.9,4.5,13.1
2024-01-14,66.0,14.0,2.0,18.0
2023-12-18,58.0,33.0,nan,nan
2023-12-15,48.0,36.0,nan,7.0
2023-12-10,50.2,25.3,nan,18.2
2023-12-05,65.0,13.0,nan,16.0
2023-12-05,55.0,36.0,nan,1.0
2023-11-28,49.0,23.0,nan,11.0
2023-11-28,46.0,25.0,nan,15.0
2023-11-25,50.0,31.0,nan,12.0
