Date,PES,DPS,ES,ZBCG,DCG,URA,BS,SNP,ASh,Others
2025-05-31,20.9,25.7,2.9,21.8,5.9,2.3,6.8,2.5,1.9,9.3
2025-05-29,22.0,23.0,9.0,16.0,8.0,7.0,4.0,,,11.0
2025-05-16,22.5,28.5,3.1,21.9,5.9,2.3,7.2,1.9,1.5,5.2
2025-03-13,20.0,21.0,7.0,20.0,7.0,7.0,3.0,,,15.0
2025-03-10,21.9,25.9,3.5,18.9,6.5,2.6,7.3,2.8,1.9,8.7
2025-03-05,23.2,25.5,3.2,17.7,6.8,2.8,7.2,2.7,1.9,9.0
2025-01-30,25.0,23.0,7.0,20.0,,8.0,4.0,,,13.0
2025-01-30,25.3,19.9,5.1,19.2,5.9,2.8,6.8,1.5,1.5,12.0
2025-01-19,22.5,21.9,4.5,21.7,5.9,2.3,7.1,1.9,1.9,10.3
2024-12-25,21.3,24.3,3.3,20.9,8.1,3.2,6.3,2.1,1.7,8.8
2024-11-15,19.7,25.4,2.8,19.3,8.9,2.7,6.5,1.7,1.9,11.1
2024-10-15,17.2,26.1,2.8,20.1,9.8,2.0,6.1,1.9,2.0,12.0
2024-10-01,14.2,26.8,3.4,20.4,9.7,2.5,5.5,2.3,2.1,13.1
2024-08-07,19.3,23.6,3.7,15.8,8.8,2.9,5.7,2.7,2.1,15.4
2024-05-26,17.7,19.8,5.1,17.3,10.5,4.3,4.9,2.3,2.8,15.3
2024-04-24,19.7,26.8,3.2,17.4,6.8,3.2,4.8,2.45,2.4,13.25
2024-05-23,22.8,21.1,5.800000000000001,13.7,7.0,3.9,6.7,3.7,2.3,13.0
2024-03-15,19.2,24.3,4.3,15.9,7.6,3.5,5.0,2.6,2.5,15.1
2024-03-19,26.3,26.0,4.5,15.5,10.0,3.4,5.3,2.2,1.9,4.9
2023-12-27,24.3,23.9,4.3,16.6,10.0,3.9,7.0,3.0,2.8,4.2
2023-06-01,25.5,23.2,2.98,14.7,12.5,12.5,7.1,3.1,1.9,12.1
