Date,Lab + Green + TPM,Nat + ACT + NZF,TOP
2025-06-15,47.0,48.0,
2025-06-09,46.3,48.7,1.8
2025-05-30,50.300000000000004,46.4,2.2
2025-05-28,44.7,50.0,1.3
2025-05-25,45.0,50.0,3.0
2025-05-04,46.2,51.5,0.5
2025-04-20,47.0,49.0,2.5
2025-04-02,45.4,52.0,2.1
2025-04-01,45.099999999999994,50.9,1.5
2025-03-27,47.3,49.5,1.8
2025-03-23,47.5,47.0,4.0
2025-03-10,48.4,47.1,
2025-03-04,50.6,46.400000000000006,0.5
2025-02-23,47.5,47.5,2.5
2025-02-07,46.7,48.0,1.9
2025-02-04,48.9,48.3,0.5
2025-01-27,50.6,47.2,
2025-01-26,46.5,50.0,1.5
2025-01-13,45.699999999999996,48.50000000000001,2.1
2024-12-15,45.0,51.5,1.0
2024-12-04,46.0,51.0,1.5
2024-12-03,40.7,52.6,1.1
2024-11-28,49.0,47.0,
2024-11-27,48.0,48.0,
2024-11-24,50.5,44.0,3.5
2024-11-10,43.3,53.8,0.9
2024-11-10,46.3,51.0,
2024-10-20,48.0,47.0,2.0
2024-10-09,44.8,50.0,2.6
2024-10-07,43.7,52.199999999999996,2.5
2024-09-22,41.0,55.0,2.5
2024-09-10,42.7,54.599999999999994,1.1
2024-09-10,45.9,51.1,
2024-08-25,43.0,53.0,2.5
2024-08-14,45.2,51.0,1.1
2024-07-21,44.0,50.0,4.5
2024-07-08,41.9,54.0,2.4
2024-06-23,45.5,49.5,2.5
2024-06-19,45.3,51.0,1.5
2024-06-06,46.099999999999994,50.699999999999996,0.8
2024-05-19,47.0,48.5,3.0
2024-05-07,43.300000000000004,52.199999999999996,1.4
2024-04-30,49.0,47.0,
2024-04-24,47.7,47.2,1.2
2024-04-21,43.0,53.0,2.0
2024-04-04,44.9,50.6,1.6
2024-03-24,40.0,56.0,2.5
2024-03-10,42.0,52.0,
2024-03-05,39.1,54.8,2.1
2024-02-25,41.0,55.0,2.5
2024-02-14,43.7,52.0,1.9
2024-02-10,45.9,51.2,1.4
2024-02-07,39.199999999999996,58.3,
2024-01-28,42.0,51.5,4.5
2024-01-10,41.5,54.4,
2023-12-17,42.5,51.5,4.0
2023-12-05,44.6,50.800000000000004,
2023-11-26,36.0,58.0,3.5
2023-11-06,45.5,51.1,2.9
2023-10-14,41.61,52.81,2.22
