Date,Nat,Lab,Green,ACT,NZF,TPM,TOP
2024-05-10,35.0,32.0,,,,,
2024-05-07,37.3,30.0,10.2,9.4,5.5,3.1,1.4
2024-04-30,34.0,33.0,12.0,7.0,6.0,4.0,
2024-04-24,36.0,30.0,14.0,7.0,4.2,3.7,1.2
2024-04-21,36.5,24.5,13.0,11.0,5.5,5.5,2.0
2024-04-04,37.1,25.7,14.6,7.2,6.3,4.6,1.6
2024-03-24,38.0,23.0,13.5,11.5,6.5,3.5,2.5
2024-03-10,38.0,28.0,14.0,8.0,6.0,,
2024-03-05,37.4,25.3,11.3,10.0,7.4,2.5,2.1
2024-02-25,35.5,21.5,15.5,12.0,7.5,4.0,2.5
2024-02-14,38.0,28.0,12.0,8.0,6.0,3.7,1.9
2024-02-10,38.0,29.0,12.0,7.0,6.2,4.9,1.4
2024-02-07,39.6,27.9,9.0,13.7,5.0,2.3,
2024-01-28,38.0,22.0,15.5,7.5,6.0,4.5,4.5
2024-01-10,41.0,28.4,9.5,7.8,5.6,3.6,
2023-12-17,36.0,22.0,15.5,9.5,6.0,5.0,4.0
2023-12-05,36.5,28.8,10.8,6.2,8.1,5.0,
2023-11-26,37.5,21.0,12.5,12.5,8.0,2.5,3.5
2023-11-06,37.0,28.3,13.8,8.1,6.0,3.4,2.9
2023-10-14,38.08,26.92,11.61,8.64,6.09,3.08,2.22
