Date,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,INP
2023-08-14,5.0,7.4,4.7,19.8,7.8,4.4,4.3,30.6,12.1,2.5
2023-08-14,4.1,8.1,4.2,19.1,6.3,6.3,3.9,28.3,12.2,4.8
2023-08-08,4.9,8.8,5.0,17.7,6.0,3.1,3.6,33.0,11.7,2.7
2023-08-04,3.8,9.0,3.2,17.8,7.5,5.2,2.5,31.5,12.4,3.0
2023-08-03,5.4,8.7,3.2,19.1,7.3,6.0,2.9,26.8,13.8,4.6
2023-08-02,5.6,9.1,3.8,18.8,4.9,4.8,4.3,31.8,12.2,2.2
2023-07-06,4.9,6.8,3.9,20.8,7.5,3.8,3.8,29.0,14.6,1.4
2023-07-05,5.8,8.0,2.8,18.5,6.5,5.7,3.1,30.5,13.8,3.0
2023-06-17,5.1,7.6,3.6,20.1,6.7,4.7,3.9,30.9,11.5,3.2
2023-06-12,6.3,9.2,3.7,19.8,5.7,4.8,3.0,32.1,10.7,3.3
2023-06-07,5.8,7.9,3.3,18.4,6.5,4.0,4.1,31.6,13.0,1.3
2023-06-05,4.7,8.4,3.6,19.9,6.2,4.4,4.4,29.8,11.7,3.8
2023-06-05,5.0,8.2,3.8,17.6,5.7,4.5,4.5,31.8,14.1,–
2023-06-02,7.2,8.2,3.6,18.0,6.5,4.5,4.1,31.7,11.4,2.3
2023-05-30,6.6,7.4,3.2,18.7,7.1,4.6,2.9,31.0,13.4,3.3
2023-05-30,8.6,8.3,3.8,16.3,5.2,4.5,3.1,32.1,13.2,2.2
2023-05-19,5.3,9.1,3.8,18.4,5.2,4.7,3.4,34.1,11.9,1.6
2023-05-08,6.3,7.6,3.1,19.5,6.5,4.7,3.9,31.8,14.2,–
2023-05-08,7.0,8.1,3.7,17.9,6.5,4.2,4.1,30.3,13.4,3.0
2023-05-03,5.3,8.4,3.6,17.0,5.9,5.5,4.2,31.8,12.3,2.6
2023-05-02,5.1,9.1,4.9,18.8,6.5,3.7,4.2,32.1,10.9,1.8
2023-04-30,5.7,8.5,3.6,19.8,6.3,4.7,4.1,31.2,10.6,2.4
2023-04-29,5.9,8.9,3.8,17.7,5.5,4.7,4.4,29.8,12.5,–
2023-04-29,5.4,8.5,3.3,20.1,6.8,3.7,3.8,32.6,10.6,1.9
2023-04-17,5.2,8.0,4.2,18.6,5.6,4.6,3.9,31.8,12.8,2.5
2023-04-15,5.4,8.8,4.8,19.3,5.0,5.4,2.8,31.6,9.8,3.6
2023-04-12,5.3,10.0,3.4,18.6,6.3,4.9,4.0,30.8,12.3,0.9
2023-04-11,6.2,8.0,3.2,17.6,5.7,5.5,4.6,32.2,11.1,2.1
2023-04-04,6.6,6.8,3.6,16.9,5.8,4.6,3.9,32.2,14.8,–
2023-03-31,6.4,9.9,4.0,18.0,5.6,4.3,3.1,30.6,12.6,1.5
2023-03-29,5.6,9.6,2.8,17.1,5.7,4.9,3.7,33.8,10.6,2.8
2023-03-27,6.1,8.1,2.9,16.2,5.8,5.4,4.0,34.2,12.5,2.8
2023-03-20,6.3,10.2,2.9,17.0,5.5,5.0,4.0,34.6,11.4,–
2023-03-13,6.3,9.1,4.0,18.1,6.3,5.5,3.9,30.9,10.0,3.5
2023-03-08,5.4,10.6,3.3,16.5,7.2,3.6,3.7,32.9,11.0,2.2
2023-03-06,5.0,7.9,2.4,15.5,6.2,4.8,4.1,36.9,12.2,–
2023-03-03,5.7,9.4,3.5,16.5,6.6,4.7,4.3,29.9,14.4,–
2023-02-28,7.0,9.0,3.6,18.5,7.2,5.1,3.5,30.6,11.8,1.8
2023-02-27,6.9,9.2,3.4,16.0,6.0,3.9,3.4,32.5,13.6,2.1
2023-02-13,6.3,9.5,2.3,18.6,5.3,4.8,3.5,32.4,12.8,–
2023-02-08,6.5,6.9,2.2,21.0,5.4,4.3,4.6,34.6,10.9,–
2023-02-06,6.9,8.2,3.5,21.2,5.6,3.1,3.3,30.8,12.3,2.1
2023-02-06,7.9,8.8,3.6,16.8,5.1,4.1,3.9,31.9,12.8,–
2023-02-05,6.8,10.0,3.8,16.9,7.4,4.6,2.4,29.0,13.1,–
2023-01-31,6.0,8.8,4.0,17.5,5.4,4.9,3.5,31.0,14.5,–
2023-01-27,6.4,8.0,4.3,17.4,5.5,5.0,4.0,31.9,12.6,–
2023-01-11,6.8,7.8,3.4,20.5,6.0,3.9,4.2,29.1,13.1,2.0
2023-01-09,5.8,8.7,3.9,19.2,6.9,4.8,2.8,30.1,13.1,2.1
2023-01-09,6.2,7.6,2.6,18.5,7.1,3.4,3.6,33.5,12.4,–
2023-01-06,6.3,8.7,3.2,19.5,6.2,4.6,3.0,30.4,13.9,2.5
2023-01-04,6.9,9.5,4.1,17.7,6.3,4.0,2.4,31.0,13.2,1.4
2023-01-04,6.5,9.4,4.2,19.1,4.5,4.0,3.9,31.3,12.5,1.5
2023-01-02,5.4,8.4,4.0,19.4,5.9,5.1,2.6,30.9,11.9,1.2
2022-12-17,7.7,8.8,4.1,14.6,3.8,4.2,3.1,35.6,14.2,
2022-12-14,6.3,9.6,4.1,19.9,6.2,4.6,3.4,29.1,11.8,
2022-12-12,7.2,9.3,2.6,18.2,4.5,3.6,3.7,32.8,13.4,
2022-12-10,7.5,9.3,4.1,17.7,5.9,4.6,2.8,32.8,10.2,
2022-12-07,7.2,9.5,3.6,16.3,7.1,4.5,3.3,32.8,11.6,
2022-12-05,6.7,9.5,3.2,18.1,5.4,5.8,3.4,32.7,12.2,
2022-12-02,7.4,8.9,4.1,19.8,5.1,5.6,2.9,30.9,10.6,
2022-11-27,7.3,8.6,3.9,17.1,5.9,4.6,3.4,30.1,12.8,
2022-11-24,9.5,8.1,3.9,17.4,3.5,3.4,3.7,31.6,13.3,
2022-11-23,5.9,8.4,3.3,19.8,4.8,6.0,3.1,29.8,14.7,
2022-11-19,6.3,9.2,3.3,15.4,5.0,4.9,2.8,33.6,12.7,
2022-11-14,4.7,10.0,4.8,16.7,4.5,4.4,4.6,31.6,13.4,
2022-11-10,6.1,8.5,3.9,18.5,6.6,5.0,3.3,32.0,11.9,
2022-11-07,7.5,8.7,3.4,16.9,5.3,3.1,4.5,32.3,13.8,
2022-11-04,6.9,7.3,4.0,20.5,6.0,5.3,3.3,29.4,13.1,
2022-10-31,7.8,8.6,3.8,19.1,6.2,4.6,3.7,28.6,12.1,
2022-10-30,5.9,8.4,3.7,18.2,4.3,3.4,3.6,32.4,14.7,
2022-10-26,6.4,10.1,4.9,18.1,6.9,3.8,3.7,29.3,13.1,
2022-10-21,6.0,8.1,3.8,19.7,5.5,5.0,3.7,28.7,15.0,
2022-10-23,6.7,8.9,4.4,18.0,6.0,5.1,4.0,28.9,13.2,
2022-10-17,7.1,9.3,3.8,18.1,5.2,4.0,3.7,29.3,13.7,
2022-10-12,5.4,10.1,3.4,20.5,5.9,5.0,3.6,30.5,12.3,
2022-10-10,7.0,9.8,3.7,20.0,5.5,4.1,2.9,30.0,13.1,
2022-10-10,5.4,8.2,2.9,22.6,5.6,3.4,3.4,30.2,13.6,
2022-10-02,7.0,9.1,3.1,19.9,6.2,3.4,3.4,29.2,14.4,
2022-09-30,8.1,7.2,4.2,19.4,6.7,4.4,3.5,26.1,14.2,
2022-09-29,8.4,6.3,3.4,19.4,7.7,4.1,2.7,28.2,15.5,
2022-09-25,8.3,7.6,2.8,20.5,3.9,4.3,4.4,28.2,15.5,
2022-09-19,7.5,7.4,4.0,19.1,5.4,5.0,4.3,26.6,16.7,
2022-09-12,6.5,8.9,3.5,19.8,6.0,4.9,3.3,30.2,12.7,
2022-09-12,8.6,9.5,3.0,21.5,6.3,4.5,2.7,28.3,11.0,
2022-09-07,6.0,9.2,4.0,19.2,6.5,4.6,3.7,28.7,14.1,
2022-09-04,6.8,7.4,3.4,19.6,6.4,5.3,3.1,32.4,12.6,
2022-09-02,8.2,8.4,3.7,20.8,4.6,4.5,3.5,27.8,14.1,
2022-08-29,8.5,7.3,3.1,21.5,5.7,4.2,3.4,29.3,13.5,
2022-08-26,7.4,7.4,3.5,21.6,5.7,4.2,3.8,27.2,15.1,
2022-08-22,5.8,8.7,3.8,20.2,6.9,3.8,4.9,28.9,13.4,
2022-08-15,7.5,9.5,3.8,19.9,6.6,4.1,3.9,28.9,12.3,
2022-08-14,5.8,8.9,3.7,19.4,5.9,4.6,3.8,30.0,14.4,
2022-08-08,5.1,8.4,3.1,19.3,6.0,5.0,3.2,29.1,14.8,
2022-08-05,7.0,9.9,3.6,20.4,6.8,4.9,3.3,27.2,13.2,
2022-08-03,6.4,8.5,4.1,22.2,7.2,3.7,2.9,28.7,13.3,
2022-07-06,5.4,10.0,3.6,21.2,5.6,4.0,3.2,28.9,14.0,
2022-06-30,6.9,8.3,3.0,21.4,6.7,4.4,3.1,29.5,13.1,
2022-06-29,6.3,9.0,3.5,23.1,4.7,4.0,3.6,26.8,14.8,
2022-06-20,5.3,8.5,3.8,20.5,7.3,3.5,2.6,29.1,15.8,
2022-06-13,5.7,9.5,4.3,22.2,7.0,4.6,3.5,24.6,14.6,
2022-06-09,6.8,9.0,4.0,20.2,7.4,4.9,3.9,26.8,14.0,
2022-06-08,5.6,8.3,3.0,23.0,6.9,5.3,3.8,27.8,13.1,
2022-06-05,5.4,9.3,2.9,19.7,9.2,4.2,2.8,28.0,14.1,
2022-06-03,7.0,10.0,2.7,21.8,7.7,5.1,2.0,26.3,13.9,
2022-05-30,5.4,9.7,3.6,21.8,6.3,5.4,3.2,26.7,13.0,
2022-05-25,6.9,8.4,4.1,21.8,7.4,6.1,3.6,25.7,13.0,
2022-05-23,6.5,7.3,3.0,23.9,6.1,4.7,4.7,26.8,12.8,
2022-05-15,6.0,7.1,3.2,21.3,8.4,4.9,3.5,28.8,13.4,
2022-05-09,6.8,7.9,2.6,22.8,6.9,3.8,4.4,27.0,13.9,
2022-05-09,5.7,8.4,3.3,22.1,6.4,4.4,3.8,29.0,12.8,
2022-05-04,6.0,7.9,3.5,23.1,8.0,4.9,3.6,26.4,13.0,
2022-05-03,6.5,8.2,4.1,23.1,7.4,4.4,3.5,28.4,11.5,
2022-05-02,6.7,7.6,3.3,24.8,6.6,5.0,3.0,26.5,13.0,
2022-04-27,5.9,8.6,3.9,23.8,9.4,5.5,3.4,26.2,10.6,
2022-04-25,6.6,9.6,3.2,20.9,5.5,4.3,3.1,28.3,14.3,
2022-04-10,5.7,6.0,3.9,24.5,8.6,5.7,3.2,27.6,11.2,
2022-04-06,6.4,7.1,3.2,25.8,7.1,5.6,3.4,25.6,12.7,
2022-04-06,7.2,8.7,3.3,23.8,6.1,4.4,2.5,29.6,11.3,
2022-04-06,6.2,7.8,2.9,23.1,8.0,3.7,4.0,27.6,13.3,
2022-04-01,5.0,8.3,3.4,23.2,6.6,4.3,3.3,27.7,13.9,
2022-03-28,6.9,7.8,4.2,20.9,8.5,4.1,4.6,27.3,12.5,
2022-03-23,6.6,7.1,2.6,24.0,7.6,4.3,3.1,26.4,13.2,
2022-03-20,8.5,5.9,4.2,22.6,6.6,3.9,3.3,28.6,11.2,
2022-03-14,6.5,7.4,4.2,23.0,8.0,4.9,3.6,25.5,13.3,
2022-03-14,7.2,8.7,2.9,22.5,9.2,4.9,2.5,27.5,10.4,
2022-03-07,8.0,6.5,4.4,23.6,7.5,4.3,3.8,26.9,11.6,
2022-03-02,7.3,8.7,4.3,21.8,9.7,5.1,3.1,25.8,11.1,
2022-02-28,8.9,7.9,3.4,22.6,9.1,4.3,4.2,24.9,10.9,
2022-02-23,8.1,8.1,2.8,25.5,8.0,4.7,2.7,26.8,10.5,
2022-02-28,7.8,9.5,3.6,21.7,8.4,5.1,3.9,26.4,10.0,
2022-02-20,10.5,8.3,3.0,22.8,7.5,4.6,2.4,25.4,11.3,
2022-02-14,9.4,8.9,3.3,22.0,8.2,3.5,3.0,25.3,12.5,
2022-02-12,8.1,10.6,3.3,21.9,7.9,4.9,3.1,24.9,11.4,
2022-02-07,10.3,8.2,3.3,21.9,9.5,4.4,3.6,25.8,9.8,
2022-02-02,8.4,8.5,2.6,23.4,7.2,5.0,3.7,25.8,12.2,
2022-01-31,8.3,10.4,3.3,20.0,8.7,3.8,3.6,26.2,12.2,
2022-01-31,8.4,9.7,3.0,21.2,9.0,4.8,3.3,25.4,11.4,
2022-01-26,6.1,9.9,4.2,22.4,10.2,3.4,3.3,24.3,12.6,
2022-01-24,9.5,8.5,3.5,20.8,8.8,3.7,3.1,27.1,11.2,
2022-01-15,5.8,9.2,3.8,22.3,9.3,4.1,5.0,25.6,12.0,
2022-01-10,6.6,9.4,4.3,23.5,9.8,4.4,2.7,25.6,10.6,
2022-01-09,7.8,9.7,4.8,18.9,9.4,4.2,2.8,26.6,12.8,
2022-01-07,6.2,9.1,4.6,21.7,10.7,5.1,2.9,23.7,11.4,
2022-01-05,7.1,8.4,3.6,24.3,9.9,4.4,3.7,24.9,10.9,
2022-01-03,6.2,9.4,3.3,21.1,9.8,4.9,3.2,24.7,13.9,
2021-12-20,6.1,9.1,3.4,21.6,9.9,4.7,3.2,25.4,13.8,
2021-12-20,7.6,9.3,3.7,22.7,10.1,5.3,3.6,23.3,11.0,
2021-12-15,5.8,9.4,2.8,20.7,10.4,6.3,2.9,24.8,12.8,
2021-12-13,6.1,10.4,3.5,22.6,10.0,4.0,3.4,26.3,11.4,
2021-12-13,5.6,8.1,3.5,25.0,9.9,5.8,3.5,23.0,11.7,
2021-12-09,6.9,9.2,3.0,23.9,12.0,4.8,3.1,23.1,11.1,
2021-12-08,5.1,9.6,3.6,21.7,12.3,5.1,3.5,24.8,11.1,
2021-12-07,4.9,9.8,3.3,23.4,10.7,5.1,3.4,24.6,10.0,
2021-11-27,5.0,10.3,3.7,25.0,12.4,3.5,2.6,22.1,12.0,
2021-11-24,5.4,9.3,4.2,24.0,13.4,4.5,2.5,22.3,11.3,
2021-11-22,6.5,9.9,3.4,24.3,11.6,4.4,3.4,20.5,13.0,
2021-11-14,5.1,8.5,4.1,27.3,11.4,5.0,3.9,20.7,11.1,
2021-11-15,4.8,8.5,4.1,25.5,13.1,5.2,2.8,21.7,11.0,
2021-11-08,5.3,8.8,3.0,26.0,13.3,4.8,3.6,20.9,12.0,
2021-11-03,4.6,8.2,4.1,27.9,12.7,4.7,3.3,21.7,10.0,
2021-11-02,5.3,8.6,3.7,26.8,12.0,4.3,3.2,21.4,11.5,
2021-10-31,4.9,8.3,3.4,25.7,15.0,4.1,4.0,20.7,9.8,
2021-10-31,5.9,8.2,4.2,26.8,14.0,4.4,3.0,21.2,9.8,
2021-10-24,4.7,8.9,3.2,28.0,13.2,4.7,3.1,21.1,11.0,
2021-10-19,4.8,8.6,3.9,27.4,12.8,4.6,2.7,21.0,11.0,
2021-10-18,4.8,9.3,3.7,26.7,12.4,5.4,3.4,21.2,10.3,
2021-10-11,5.3,8.5,3.8,25.8,13.1,4.7,3.8,21.5,11.0,
2021-10-06,4.7,8.9,3.5,26.0,13.7,4.3,4.1,20.6,11.6,
2021-10-03,4.9,9.0,3.7,25.6,13.1,4.5,3.4,20.5,12.0,
2021-10-01,5.4,8.3,4.2,27.9,13.2,4.3,3.2,18.9,11.7,
2021-09-25,4.0,8.7,4.4,27.3,12.8,4.3,3.5,20.8,11.2,
2021-09-21,5.4,7.5,5.5,28.2,12.0,4.1,3.1,20.0,11.2,
2021-09-13,4.7,7.6,3.9,26.3,13.5,4.6,3.8,20.4,11.6,
