Date,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,INP
2025-06-14,10,14,1,55,10,8,3,28,40,0
2025-06-03,10,14,1,50,9,8,7,30,40,
2025-05-31,9,9,3,62,7,9,7,24,39,
2025-05-30,12,9,3,59,12,2,3,32,36,
2025-05-19,8,13,1,50,11,8,3,33,42,
2025-05-16,10,12,2,54,10,7,2,33,40,0
2025-05-12,7,10,1,55,8,7,7,37,35,0
2025-05-07,9,11,1,54,9,7,6,38,34,
2025-05-06,10,14,1,54,11,2,2,35,40,
2025-05-05,10,12,2,54,10,7,1,33,40,0
2025-05-05,9,11,1,49,9,8,3,33,46,
2025-05-02,9,12,1,54,9,7,8,32,37,
2025-04-21,9,12,3,57,12,3,2,32,38,
2025-04-07,9,12,3,57,11,3,2,37,35,0
2025-04-07,1,12,3,55,14,3,3,37,41,0
2025-04-02,7,12,2,46,15,10,3,39,35,0
2025-04-01,10,11,2,56,12,2,2,34,40,0
2025-03-31,11,12,1,53,12,7,3,35,35,
2025-03-31,10,11,3,48,10,3,2,41,41,0
2025-03-12,11,16,2,49,8,8,3,35,37,0
2025-03-10,8,11,1,50,7,9,3,38,42,0
2025-03-08,7,10,1,58,8,7,3,29,46,0
2025-03-05,8,11,1,52,8,7,1,36,45,0
2025-03-04,7,11,2,55,9,7,3,30,45,0
2025-03-03,8,11,3,55,10,2,1,33,46,0
2025-02-28,1,15,1,56,9,8,3,36,40,0
2025-02-16,10,13,1,50,11,3,3,36,42,0
2025-02-08,9,13,1,54,11,1,3,28,49,0
2025-02-06,9,12,0,48,12,9,2,33,44,0
2025-02-05,10,12,1,57,11,3,1,28,46,0
2025-02-05,10,13,1,47,11,8,2,32,45,
2025-02-04,1,13,1,49,13,3,2,35,52,0
2025-02-03,10,14,1,34,13,11,3,39,44,
2025-02-03,11,14,3,42,9,8,2,33,47,0
2025-01-31,10,15,1,37,15,8,1,37,47,0
2025-01-30,8,16,3,36,15,9,2,33,47,0
2025-01-20,9,16,2,37,10,2,3,41,49,0
2025-01-13,11,16,2,38,9,10,3,35,45,
2025-01-13,9,14,3,32,11,10,1,44,45,
2025-01-10,9,12,3,42,10,2,3,42,46,0
2025-01-08,11,15,2,36,12,8,2,43,40,
2025-01-06,10,14,2,38,12,8,2,39,44,0
2025-01-06,10,16,1,33,12,9,2,39,47,0
2021-09-13,8,13,3,48,28,8,3,36,21,0
