Date,Fatah,Hamas,Undecided,Other
2024-06-01,25.0,46.0,21.0,6.0
2024-03-10,22.0,47.0,24.0,9.0
2023-12-02,19.0,51.0,26.0,4.0
2023-09-09,34.0,36.0,21.0,9.0
2023-06-11,31.0,34.0,23.0,11.0
2023-03-11,35.0,33.0,22.0,9.0
2022-12-10,34.0,34.0,21.0,10.0
2022-09-17,34.0,32.0,22.0,12.0
2022-06-25,35.0,36.0,20.0,7.0
2022-03-20,42.0,36.0,14.0,8.0
2021-12-11,35.0,38.0,18.0,9.0
2021-10-01,34.3,10.2,53.4,2.1
2021-09-18,32.0,37.0,18.0,13.0
2021-06-12,30.0,41.0,17.0,12.0
2021-03-19,43.0,30.0,18.0,8.0
2020-12-11,38.0,34.0,19.0,10.0
2020-09-12,38.0,34.0,20.0,8.0
2020-06-20,36.0,34.0,23.0,8.0
2020-02-08,38.0,32.0,18.0,12.0
2019-12-14,40.0,32.0,20.0,10.0
2019-09-14,38.0,29.0,23.0,11.0
2019-06-30,39.0,30.0,21.0,10.0
2019-03-16,39.0,32.0,18.0,8.0
2018-12-16,35.0,34.0,21.0,10.0
2018-09-08,36.0,27.0,28.0,10.0
2018-07-01,39.0,32.0,20.0,9.0
2018-03-17,36.0,31.0,25.0,9.0
2006-01-25,41.43,44.45,,14.119999999999997
