Date,Approve,Disapprove,Neither
2025-05-23,2.4,95.9,1.7
2025-05-21,3.6,93.6,2.8
2025-05-09,2.0,94.0,4.0
2025-04-14,3.0,94.0,3.0
2025-04-09,4.0,94.0,2.0
2025-04-09,5.4,90.5,4.1
2025-03-26,4.0,93.0,3.0
2025-03-11,4.0,93.0,3.0
2025-03-07,4.0,92.0,4.0
2025-02-13,6.4,88.3,5.3
2025-02-07,4.0,91.0,5.0
2025-02-05,4.0,94.0,2.0
2025-01-22,6.0,90.0,4.0
2025-01-10,5.0,92.0,3.0
2024-12-10,3.0,95.0,2.0
2024-12-06,4.0,91.0,5.0
2024-11-28,7.5,86.6,5.9
2024-11-20,5.0,91.0,4.0
2024-11-20,5.1,89.5,5.4
2024-11-11,3.0,94.0,3.0
2024-11-08,4.0,91.0,5.0
2024-10-11,4.0,92.0,4.0
2024-10-08,5.0,92.0,3.0
2024-09-26,6.3,85.8,7.9
2024-09-25,5.0,90.0,5.0
2024-09-10,6.0,91.0,3.0
2024-09-06,6.0,90.0,4.0
2024-08-09,6.0,89.0,5.0
2024-08-07,6.0,88.0,6.0
2024-08-06,6.0,91.0,3.0
2024-07-19,7.1,89.2,3.7
2024-07-18,7.0,88.0,5.0
2024-07-05,5.0,90.0,5.0
2024-06-07,6.0,90.0,4.0
2024-06-04,5.0,91.0,4.0
2024-06-02,8.1,88.2,3.7
2024-05-23,5.0,90.0,5.0
2024-05-10,7.0,88.0,5.0
2024-05-09,8.1,82.7,9.2
2024-04-08,7.0,88.0,5.0
2024-04-05,8.0,86.0,6.0
2024-03-22,9.0,88.0,3.0
2024-03-21,7.8,86.3,5.9
2024-03-13,6.4,89.4,4.2
2024-03-05,9.7,81.3,9.0
2024-03-04,10.0,85.0,5.0
2024-02-16,9.6,83.7,6.7
2024-02-09,8.0,83.0,9.0
2024-02-06,10.0,83.0,7.0
2024-01-24,8.3,82.4,9.3
2024-01-12,9.0,83.0,8.0
2024-01-09,10.0,85.0,5.0
2024-01-08,9.5,79.0,11.5
2023-12-10,9.3,84.1,6.6
2023-12-07,9.0,84.0,7.0
2023-12-06,9.0,85.0,6.0
2023-11-23,7.5,85.1,7.4
2023-11-18,9.4,84.3,6.3
2023-11-17,7.3,82.5,10.1
2023-11-10,10.0,83.0,7.0
2023-11-07,11.0,84.0,5.0
2023-10-26,9.9,84.0,6.1
2023-10-13,14.0,80.0,6.0
2023-10-03,15.0,81.0,4.0
2023-09-20,10.1,81.8,8.1
2023-09-15,11.8,78.4,9.8
2023-09-12,15.0,80.0,5.0
2023-09-08,16.0,76.0,8.0
2023-08-24,10.5,79.0,10.6
2023-08-11,14.0,79.0,7.0
2023-08-07,16.0,77.0,7.0
2023-07-21,15.0,83.0,2.0
2023-07-19,10.9,81.6,7.5
2023-07-19,10.5,71.6,17.9
2023-07-15,14.4,80.5,5.2
2023-07-14,14.0,79.0,7.0
2023-07-04,15.0,77.0,8.0
2023-06-22,12.0,80.0,8.0
2023-06-09,14.0,77.0,9.0
2023-06-07,17.0,77.0,6.0
2023-05-25,15.0,79.0,6.0
2023-05-23,13.8,73.0,13.2
2023-05-12,16.0,75.0,9.0
2023-05-09,18.0,76.0,6.0
2023-04-28,16.2,76.9,6.9
2023-04-27,15.0,79.0,6.0
2023-04-14,15.0,77.0,8.0
2023-04-12,18.0,74.0,8.0
2023-03-27,15.9,72.1,12.1
2023-03-26,17.0,76.0,7.0
2023-03-22,15.0,78.0,7.0
2023-03-10,20.1,71.6,8.2
2023-03-07,19.0,74.0,7.0
2023-02-22,15.0,77.0,8.0
2023-02-10,18.0,74.0,8.0
2023-02-07,16.0,76.0,8.0
2023-01-27,21.2,70.6,8.2
2023-01-25,17.0,76.0,7.0
2023-01-23,18.1,66.2,15.7
2023-01-13,20.0,71.0,9.0
2023-01-12,19.0,71.0,10.0
2022-12-16,21.0,68.0,11.0
2022-12-14,27.0,71.0,2.0
