Date,Nawrocki,Trzaskowski,Hołownia,Biejat,Zandberg,Mentzen,Braun,Jakubiak,Stanowski
2025-03-16,25.9,36.4,5.4,2.6,2.5,18.1,0.5,0.9,2.2
2025-03-13,21.0,36.0,6.0,2.0,3.0,17.0,2.0,1.0,2.0
2025-03-13,19.5,32.0,5.7,1.8,1.2,18.9,3.0,0.6,1.4
2025-03-10,23.0,35.0,7.0,3.0,2.0,16.0,4.0,2.0,1.0
2025-03-09,27.1,35.9,3.6,2.1,3.1,19.4,1.1,0.9,
2025-03-09,21.0,37.0,8.0,3.0,2.0,22.0,3.0,,2.0
2025-03-06,23.0,35.0,5.0,2.0,3.0,21.0,2.0,1.0,1.0
2025-03-05,22.3,35.7,6.9,5.3,2.4,15.0,1.7,1.2,1.4
2025-02-26,16.5,33.6,7.9,1.8,2.6,18.9,2.9,2.2,2.8
2025-02-24,24.7,33.7,7.2,3.0,1.4,16.8,,1.8,
2025-02-24,25.7,34.1,7.1,4.4,1.0,16.2,0.6,2.7,1.6
2025-02-21,24.1,34.9,4.2,2.0,2.7,13.6,2.1,1.7,1.3
2025-02-21,26.5,35.2,6.2,3.3,1.4,15.7,0.4,1.0,0.5
2025-02-20,25.0,34.0,5.0,2.0,2.0,17.0,3.0,1.0,3.0
2025-02-18,24.0,33.0,7.0,2.0,2.0,15.0,3.0,1.0,3.0
2025-02-01,24.0,38.0,8.0,6.0,1.0,11.0,1.0,1.0,3.0
2025-02-13,21.7,30.9,4.7,2.1,2.0,16.8,,2.8,1.6
2025-02-10,25.0,35.0,8.0,2.0,2.0,16.0,3.0,2.0,5.0
2025-02-09,25.3,36.7,6.6,5.0,1.7,9.8,1.5,1.6,2.9
2025-02-02,23.9,37.3,6.8,5.0,1.1,8.9,1.7,1.2,3.0
2025-01-29,24.0,32.0,7.0,3.0,2.0,15.0,3.0,1.0,4.0
2025-01-27,24.6,34.1,8.3,2.1,1.2,13.1,,1.9,
2025-01-26,25.0,37.8,6.0,5.6,1.2,9.7,2.0,1.4,2.9
2025-01-24,22.1,35.3,6.8,2.2,1.5,13.2,2.9,0.9,
2025-01-24,27.1,38.9,6.4,4.2,0.9,8.9,1.4,1.2,2.5
2025-01-21,17.0,32.9,6.9,3.4,2.7,13.1,2.2,1.1,
2025-01-19,28.9,35.0,8.9,5.0,0.7,11.5,2.2,1.3,
2025-01-18,27.0,37.0,11.0,3.0,2.0,14.0,3.0,1.0,
2025-01-16,22.0,32.0,9.0,2.0,2.0,10.0,,2.0,
2025-01-12,29.0,34.2,6.7,4.6,1.5,13.0,,1.2,
2025-01-09,22.6,29.8,7.2,3.9,0.4,13.2,,1.4,
2025-01-08,31.0,35.0,6.0,3.0,2.0,12.0,,2.0,
2024-12-22,28.8,36.2,10.2,5.8,,10.1,,1.3,
2024-12-21,26.2,35.7,10.1,6.1,,9.6,,1.6,
2024-12-18,22.0,35.0,8.0,5.0,,14.0,,3.0,
2024-12-01,23.3,38.6,7.4,2.6,,10.7,,1.3,
2024-12-11,28.7,41.96,10.67,3.26,,12.68,,2.73,
2024-12-08,30.3,36.9,7.9,4.8,,7.3,,0.5,
2024-11-01,13.1,38.6,8.5,,,11.8,,3.7,
2024-11-01,26.0,41.0,9.0,,,12.0,,,
