Date,PiS,KO,PL2050,PSL,Lewica,Razem,Konfederacja,Trzecia Droga
2025-07-13,186.0,178.0,0.0,0.0,28.0,0.0,68.0,
2025-07-11,153.0,175.0,0.0,0.0,20.0,0.0,84.0,
2025-06-29,177.0,158.0,0.0,0.0,26.0,14.0,84.0,
2025-06-24,192.0,154.0,0.0,0.0,19.0,0.0,95.0,
2025-06-08,166.0,185.0,,,17.0,12.0,79.0,0.0
2025-05-27,188.0,170.0,,,6.0,0.0,86.0,10.0
2025-05-26,182.0,179.0,,,15.0,0.0,84.0,0.0
2025-05-13,186.0,170.0,,,22.0,0.0,51.0,31.0
2025-05-07,167.0,192.0,,,32.0,0.0,69.0,0.0
2025-04-29,154.0,174.0,,,23.0,0.0,72.0,36.0
2025-04-19,168.0,162.0,,,30.0,0.0,68.0,31.0
2025-04-06,163.0,202.0,,,11.0,0.0,84.0,0.0
2025-04-04,152.0,162.0,,,24.0,,83.0,39.0
2025-03-24,182.0,177.0,,,26.0,,75.0,0.0
2025-03-23,167.0,200.0,,,0.0,0.0,93.0,0.0
2025-02-24,151.0,176.0,,,26.0,0.0,78.0,28.0
2025-02-24,174.0,156.0,,,29.0,,67.0,34.0
2025-02-09,166.0,179.0,,,24.0,0.0,59.0,31.0
2025-01-27,180.0,159.0,,,22.0,,62.0,37.0
2025-01-26,165.0,175.0,,,30.0,0.0,58.0,31.0
2025-01-11,184.0,167.0,,,18.0,0.0,57.0,35.0
2024-11-11,177.0,174.0,,,22.0,,45.0,42.0
2024-11-10,172.0,186.0,,,23.0,,45.0,33.0
2024-10-27,155.0,184.0,,,33.0,,44.0,43.0
2024-10-09,188.0,185.0,,,10.0,,54.0,23.0
2024-09-16,179.0,164.0,,,33.0,,48.0,36.0
2024-09-01,174.0,188.0,,,28.0,,31.0,38.0
2024-07-28,153.0,183.0,,,40.0,,38.0,46.0
2024-07-25,165.0,169.0,,,28.0,,53.0,45.0
2024-07-22,174.0,168.0,,,28.0,,56.0,34.0
2024-06-19,186.0,183.0,,,20.0,,38.0,33.0
2024-06-03,179.0,174.0,,,25.0,,34.0,48.0
2024-05-14,168.0,163.0,,,18.0,,51.0,60.0
2024-05-13,180.0,156.0,,,33.0,,39.0,51.0
2024-04-21,173.0,176.0,,,32.0,,25.0,53.0
2024-04-05,189.0,175.0,,,0.0,,42.0,53.0
2024-04-04,165.0,175.0,,,38.0,,30.0,52.0
2024-03-11,180.0,170.0,,,35.0,,33.0,42.0
2024-02-26,176.0,157.0,,,12.0,,52.0,63.0
2024-02-16,169.0,156.0,,,26.0,,29.0,80.0
2024-02-15,178.0,173.0,,,0.0,,39.0,69.0
2024-02-12,176.0,159.0,,,40.0,,19.0,66.0
2024-01-13,177.0,155.0,,,34.0,,16.0,78.0
2024-01-08,194.0,166.0,,,29.0,,4.0,67.0
2023-10-15,194.0,157.0,,,26.0,,18.0,65.0
