Date,PiS,KO,Lewica,Koalicja,PL2050,Konfederacja,Trzecia Droga
2023-06-27,37.0,31.0,8.0,3.0,5.0,14.0,
2023-06-27,37.0,31.0,8.0,,,14.0,7.0
2023-06-26,34.4,30.8,5.7,,,10.5,7.8
2023-06-25,31.7,28.2,8.0,,,14.0,12.1
2023-06-24,32.7,30.2,9.0,,,12.1,10.8
2023-06-23,34.9,31.4,7.3,,,13.5,10.5
2023-06-22,33.0,31.0,8.0,,,12.0,7.0
2023-06-21,32.0,32.0,6.0,,,7.0,7.0
2023-06-18,34.3,30.7,7.8,,,11.0,9.8
2023-06-18,33.0,27.0,5.0,,,8.0,5.0
2023-06-12,37.0,31.0,8.0,4.0,6.0,10.0,
2023-06-12,34.9,29.1,5.9,,,11.5,10.7
2023-06-11,34.2,29.7,9.7,,,11.5,10.2
2023-06-11,33.5,28.3,9.7,,,11.7,10.6
2023-06-10,35.9,29.6,7.2,,,13.9,11.0
2023-06-07,35.0,29.0,7.0,,,13.0,10.0
2023-06-06,33.9,30.1,8.8,,,12.3,10.1
2023-06-06,31.0,32.0,6.0,,,10.0,10.0
2023-06-06,33.9,31.4,8.0,,,14.9,9.5
2023-06-05,38.0,31.0,7.0,4.0,6.0,11.0,
2023-06-05,37.0,31.0,8.0,,,11.0,8.0
2023-06-04,34.4,29.1,8.6,,,13.4,9.4
2023-06-04,32.8,27.2,8.7,,,10.8,11.3
2023-05-31,32.29,27.72,11.51,,,9.78,13.96
2023-05-30,37.8,28.5,10.2,,,10.1,13.4
2023-05-29,38.0,30.0,8.0,5.0,6.0,10.0,
2023-05-29,38.0,30.0,8.0,,,10.0,9.0
2023-05-29,34.8,28.1,8.3,,,9.5,11.8
2023-05-28,31.8,26.6,10.0,,,10.1,14.1
2023-05-27,32.9,25.6,7.8,,,11.0,13.1
2023-05-26,35.8,25.2,9.5,,,11.5,14.9
2023-05-23,38.9,29.1,8.8,3.8,9.5,10.0,
2023-05-22,38.0,29.0,8.0,5.0,6.0,11.0,
2023-05-21,32.3,25.7,9.7,,,9.9,14.1
2023-05-21,34.5,24.6,9.3,,,11.1,14.2
2023-05-19,34.36,29.15,8.47,,,11.73,12.7
2023-05-19,35.0,24.0,9.0,,,11.0,12.0
2023-05-18,33.0,23.0,6.0,,,8.0,6.0
2023-05-17,31.0,28.0,8.0,,,7.0,10.0
2023-05-16,32.0,25.4,9.4,,,10.0,14.6
2023-05-15,34.06,27.79,10.01,,,10.75,12.42
2023-05-15,35.4,28.4,8.4,,,8.5,12.2
2023-05-15,39.0,29.0,7.0,6.0,7.0,9.0,
2023-05-15,38.0,29.0,8.0,,,10.0,11.0
2023-05-14,32.7,24.5,10.0,,,9.4,14.8
2023-05-12,36.0,26.5,10.8,6.7,6.9,11.0,
2023-05-12,35.3,25.0,10.4,,,10.5,15.2
2023-05-08,38.0,28.0,8.0,,,9.0,7.0
2023-05-08,38.0,27.0,9.0,,,10.0,12.0
2023-05-02,39.0,27.0,9.0,6.0,7.0,8.0,
2023-04-30,32.0,23.8,8.4,,,11.2,14.7
2023-04-24,37.0,28.0,10.0,5.0,7.0,9.0,
2023-04-21,35.7,25.5,9.7,6.8,6.2,11.2,
2023-04-20,36.0,20.0,4.0,3.0,5.0,9.0,
2023-04-19,34.89,28.43,8.56,5.01,9.05,10.82,
2023-04-19,35.0,27.0,6.0,3.0,7.0,7.0,
2023-04-17,39.0,28.0,10.0,5.0,7.0,7.0,
2023-04-17,34.6,28.1,9.1,3.9,7.1,8.8,
2023-04-16,32.47,26.69,11.14,5.67,9.52,10.19,
2023-04-15,33.0,24.8,9.4,6.4,8.0,10.4,
2023-04-10,39.0,28.0,9.0,5.0,8.0,8.0,
2023-04-05,33.5,23.6,9.5,6.5,8.0,11.8,
2023-04-05,36.1,25.8,10.3,7.0,7.9,11.0,
2023-04-03,37.0,29.0,11.0,5.0,7.0,8.0,
2023-04-03,33.9,28.3,7.4,5.0,8.4,8.1,
2023-04-02,32.5,24.0,10.3,5.9,8.7,9.6,
2023-03-27,37.0,30.0,9.0,5.0,7.0,8.0,
2023-03-25,35.72,28.25,8.07,4.78,8.52,11.36,
2023-03-24,36.4,27.9,8.3,7.1,8.1,9.9,
2023-03-23,34.0,27.0,8.0,5.0,6.0,11.0,
2023-03-22,30.0,22.0,8.0,4.0,8.0,7.0,
2023-03-20,37.89,30.65,7.67,3.26,8.44,9.96,
2023-03-20,36.0,30.0,9.0,5.0,8.0,8.0,
2023-03-19,33.8,25.4,9.2,6.4,8.1,9.3,
2023-03-18,34.3,26.4,8.5,6.2,7.9,9.0,
2023-03-16,31.0,26.0,6.0,2.0,9.0,9.0,
2023-03-16,37.0,25.0,9.0,5.0,9.0,8.0,
2023-03-16,33.81,28.36,9.3,4.53,11.27,9.7,
2023-03-16,38.0,18.0,4.0,2.0,6.0,6.0,
2023-03-14,34.2,26.7,9.2,6.8,7.1,8.7,
2023-03-13,32.7,28.0,9.3,5.5,7.6,5.2,
2023-03-13,38.0,29.0,9.0,5.0,7.0,7.0,
2023-03-13,29.4,24.2,9.9,4.1,6.9,9.9,
2023-03-09,36.9,28.6,9.2,7.7,7.1,8.0,
2023-03-06,38.0,29.0,9.0,7.0,8.0,7.0,
2023-03-06,32.8,26.7,8.8,5.3,8.1,7.1,
2023-03-05,34.7,27.9,8.2,6.9,7.1,7.3,
2023-03-04,34.68,31.69,7.92,4.93,9.12,8.52,
2023-03-01,34.4,27.1,9.2,6.6,7.5,7.4,
2023-02-27,37.0,29.0,9.0,6.0,7.0,6.0,
2023-02-27,34.7,33.91,6.74,3.73,7.33,11.13,
2023-02-24,37.5,29.9,9.1,6.6,8.0,6.8,
2023-02-21,35.0,31.0,9.0,5.0,9.0,6.0,
2023-02-20,32.1,30.4,7.7,4.5,9.7,6.4,
2023-02-20,33.0,28.0,9.0,2.0,9.0,5.0,
2023-02-19,33.6,27.2,8.7,7.0,7.5,6.9,
2023-02-19,36.0,22.0,5.0,3.0,7.0,7.0,
2023-02-18,34.7,28.6,9.0,6.4,8.2,6.0,
2023-02-18,34.8,30.85,7.9,5.02,10.33,7.29,
2023-02-13,37.0,28.0,9.0,7.0,8.0,8.0,
2023-02-10,37.7,28.9,9.5,6.4,8.3,6.5,
2023-02-08,28.0,29.0,5.0,3.0,11.0,8.0,
2023-02-06,35.6,28.1,7.2,5.4,9.8,7.5,
2023-02-06,33.7,27.8,7.3,4.2,10.7,6.4,
2023-02-06,38.0,29.0,9.0,6.0,8.0,7.0,
2023-02-05,34.6,28.0,9.1,5.1,8.1,5.2,
2023-02-04,33.9,27.3,8.9,5.1,8.3,5.6,
2023-01-30,35.0,29.0,10.0,5.0,9.0,7.0,
2023-01-29,34.76,29.02,10.16,5.14,11.31,6.84,
2023-01-27,37.0,28.8,8.9,6.6,9.1,7.6,
2023-01-26,22.0,17.4,7.1,2.6,9.1,9.0,
2023-01-23,34.0,27.4,8.4,6.1,8.6,6.4,
2023-01-23,35.0,30.0,10.0,5.0,9.0,7.0,
2023-01-23,31.0,31.0,8.0,2.0,8.0,5.0,
2023-01-22,34.4,27.1,8.4,6.2,9.7,6.5,
2023-01-22,32.0,22.0,5.0,3.0,7.0,7.0,
2023-01-16,37.0,30.0,9.0,5.0,10.0,6.0,
2023-01-16,34.6,27.8,8.4,4.8,9.4,7.2,
2023-01-15,33.4,27.2,8.9,5.9,9.2,7.0,
2023-01-15,34.25,34.4,4.33,4.13,13.2,8.45,
2023-01-13,36.1,29.4,10.1,6.7,8.2,7.4,
2023-01-09,34.0,29.0,9.0,7.0,10.0,7.0,
2023-01-08,32.3,27.0,8.0,5.9,9.3,6.9,
2023-01-06,29.7,25.4,8.9,5.7,9.2,6.6,
2023-01-06,29.5,23.7,8.8,6.2,7.3,6.3,
2023-01-02,37.0,28.0,8.0,5.0,11.0,9.0,
2022-12-30,36.3,28.8,10.3,6.7,9.4,6.7,
2022-12-27,39.0,28.0,9.0,5.0,9.0,7.0,
2022-12-21,34.0,27.0,9.0,4.0,10.0,6.0,
2022-12-20,29.6,23.7,8.2,6.1,9.9,5.5,
2022-12-19,38.0,30.0,8.0,4.0,9.0,6.0,
2022-12-18,31.16,29.95,12.08,5.21,12.09,7.9,
2022-12-16,31.8,27.4,9.4,6.4,10.0,4.0,
2022-12-16,35.3,29.4,11.0,6.7,9.2,6.1,
2022-12-15,32.0,31.0,6.0,3.0,11.0,9.0,
2022-12-12,29.6,29.3,6.8,4.6,9.8,7.2,
2022-12-12,38.0,27.0,8.0,4.0,10.0,9.0,
2022-12-11,30.6,20.8,3.6,3.6,10.5,5.9,
2022-12-08,32.9,26.4,9.4,6.2,9.2,5.5,
2022-12-07,28.0,32.0,10.0,2.0,9.0,5.0,
2022-12-05,38.0,27.0,8.0,4.0,10.0,9.0,
2022-12-04,33.6,26.9,9.7,5.9,10.8,5.0,
2022-12-03,34.2,28.3,9.7,5.2,8.8,5.2,
2022-12-03,33.2,26.8,9.7,5.4,8.6,5.2,
2022-11-28,40.0,28.0,8.0,4.0,8.0,8.0,
2022-11-27,32.51,30.45,10.84,3.87,11.56,8.65,
2022-11-25,35.7,28.4,11.2,7.4,10.4,5.1,
2022-11-21,34.1,28.0,9.2,5.6,10.2,4.9,
2022-11-21,38.0,29.0,9.0,4.0,8.0,9.0,
2022-11-20,33.2,26.6,8.9,5.0,12.3,4.2,
2022-11-17,34.0,20.0,4.0,3.0,10.0,6.0,
2022-11-15,33.8,27.6,10.1,6.6,9.6,4.3,
2022-11-14,31.0,26.4,7.5,5.8,10.5,7.1,
2022-11-14,38.0,28.0,7.0,6.0,8.0,9.0,
2022-11-12,33.6,25.6,9.3,6.6,14.0,3.9,
2022-11-10,35.9,27.7,11.2,6.9,11.6,4.8,
2022-11-09,32.0,27.0,9.0,5.0,12.0,6.0,
2022-11-09,30.0,28.0,7.0,4.0,9.0,4.0,
2022-11-07,35.0,29.0,8.0,4.0,10.0,8.0,
2022-11-05,32.4,26.0,9.6,6.2,13.1,4.4,
2022-11-05,33.7,27.6,10.1,5.7,10.9,5.0,
2022-10-31,32.6,29.0,6.6,5.4,10.3,6.5,
2022-10-31,35.0,28.0,8.0,5.0,9.0,10.0,
2022-10-28,36.4,28.3,9.8,7.1,11.3,5.2,
2022-10-26,34.0,29.6,8.5,4.2,12.5,6.3,
2022-10-24,36.0,29.0,8.0,5.0,10.0,8.0,
2022-10-23,32.1,24.7,7.2,6.7,14.0,3.5,
2022-10-22,33.0,26.7,9.3,6.2,9.6,5.2,
2022-10-20,34.47,26.99,7.03,3.71,18.75,7.1,
2022-10-19,35.56,30.69,9.01,3.26,13.3,5.95,
2022-10-19,36.0,28.0,8.0,5.0,10.0,8.0,
2022-10-19,28.0,31.0,7.0,4.0,10.0,5.0,
2022-10-17,30.6,26.0,6.5,6.8,10.8,7.5,
2022-10-14,37.1,27.7,10.7,6.8,10.1,5.7,
2022-10-13,32.7,27.4,8.4,5.6,11.3,5.6,
2022-10-13,30.0,18.0,6.0,2.0,9.0,5.0,
2022-10-10,36.0,30.0,9.0,3.0,10.0,7.0,
2022-10-09,33.8,26.2,8.8,5.6,13.6,5.0,
2022-10-05,33.9,29.1,8.7,5.9,10.7,5.2,
2022-10-03,37.0,30.0,7.0,4.0,9.0,8.0,
2022-09-26,36.0,28.0,9.0,4.0,11.0,9.0,
2022-09-25,34.1,26.4,9.2,5.0,11.9,6.0,
2022-09-24,32.9,27.1,9.0,6.3,10.6,5.6,
2022-09-23,35.9,26.8,11.0,6.5,12.2,6.1,
2022-09-22,34.8,29.3,9.22,6.05,12.63,6.31,
2022-09-19,37.0,30.0,6.0,5.0,10.0,8.0,
2022-09-15,30.0,21.0,6.0,2.0,10.0,4.0,
2022-09-13,31.6,26.1,9.2,6.2,13.4,5.6,
2022-09-12,36.7,25.6,8.2,3.8,7.9,5.7,
2022-09-12,36.0,26.0,8.0,7.0,10.0,8.0,
2022-09-11,32.9,26.2,8.6,5.2,12.9,4.2,
2022-09-09,37.0,26.1,9.9,6.7,11.8,6.7,
2022-09-08,33.0,26.0,8.0,5.0,12.0,7.0,
