Date,United Opposition (KO + Lewica + Trzecia Droga),Right Wing (PiS + Konfederacja)
2023-07-24,45.0,51.0
2023-07-24,45.0,52.0
2023-07-20,48.0,49.699999999999996
2023-07-20,47.8,46.3
2023-07-19,44.0,41.0
2023-07-17,49.22,44.86
2023-07-17,43.0,48.0
2023-07-17,48.0,47.0
2023-07-17,44.2,43.0
2023-07-16,39.0,38.0
2023-07-14,47.5,48.400000000000006
2023-07-13,47.400000000000006,51.5
2023-07-11,47.599999999999994,50.8
2023-07-10,45.0,51.0
2023-07-10,49.120000000000005,49.79
2023-07-09,50.2,47.9
2023-07-07,49.1,49.1
2023-07-03,47.0,51.0
2023-07-03,47.0,51.0
2023-07-02,46.7,47.2
2023-06-28,47.0,45.0
2023-06-27,47.0,51.0
2023-06-27,46.0,51.0
2023-06-26,44.3,44.9
2023-06-25,48.300000000000004,45.7
2023-06-24,50.0,44.800000000000004
2023-06-23,49.199999999999996,48.4
2023-06-22,46.0,45.0
2023-06-21,45.0,39.0
2023-06-18,48.3,45.3
2023-06-18,37.0,41.0
2023-06-12,49.0,47.0
2023-06-12,45.7,46.4
2023-06-11,49.599999999999994,45.7
2023-06-11,48.6,45.2
2023-06-10,47.800000000000004,49.8
2023-06-07,46.0,48.0
2023-06-06,49.00000000000001,46.2
2023-06-06,48.0,41.0
2023-06-06,48.9,48.8
2023-06-05,48.0,49.0
2023-06-05,47.0,48.0
2023-06-04,47.1,47.8
2023-06-04,47.2,43.599999999999994
2023-05-31,53.19,42.07
2023-05-30,52.1,47.9
2023-05-29,49.0,48.0
2023-05-29,47.0,48.0
2023-05-29,48.2,44.3
2023-05-28,50.7,41.9
2023-05-27,46.5,43.9
2023-05-26,49.6,47.3
2023-05-23,51.2,48.9
2023-05-22,48.0,49.0
2023-05-21,49.5,42.199999999999996
2023-05-21,48.10000000000001,45.6
2023-05-19,50.31999999999999,46.09
2023-05-19,45.0,46.0
2023-05-18,35.0,41.0
2023-05-17,46.0,38.0
2023-05-16,49.4,42.0
2023-05-15,50.22,44.81
2023-05-15,49.0,43.9
2023-05-15,49.0,48.0
2023-05-15,48.0,48.0
2023-05-14,49.3,42.1
2023-05-12,50.9,47.0
2023-05-12,50.599999999999994,45.8
2023-05-08,43.0,47.0
2023-05-08,48.0,48.0
2023-05-02,49.0,47.0
2023-04-30,46.900000000000006,43.2
2023-04-24,50.0,46.0
2023-04-21,48.2,46.900000000000006
2023-04-20,32.0,45.0
2023-04-19,51.05,45.71
2023-04-19,43.0,42.0
2023-04-17,50.0,46.0
2023-04-17,48.2,43.400000000000006
2023-04-16,53.019999999999996,42.66
2023-04-15,48.6,43.4
2023-04-10,50.0,47.0
2023-04-05,47.6,45.3
2023-04-05,51.0,47.1
2023-04-03,52.0,45.0
2023-04-03,49.1,42.0
2023-04-02,48.89999999999999,42.1
2023-03-27,51.0,45.0
2023-03-25,49.620000000000005,47.08
2023-03-24,51.400000000000006,46.3
2023-03-23,46.0,45.0
2023-03-22,42.0,37.0
2023-03-20,50.019999999999996,47.85
2023-03-20,52.0,44.0
2023-03-19,49.099999999999994,43.099999999999994
2023-03-18,49.0,43.3
2023-03-16,43.0,40.0
2023-03-16,48.0,45.0
2023-03-16,53.459999999999994,43.510000000000005
2023-03-16,30.0,44.0
2023-03-14,49.8,42.900000000000006
2023-03-13,50.4,37.900000000000006
2023-03-13,50.0,45.0
2023-03-13,45.1,39.3
2023-03-09,52.6,44.9
2023-03-06,53.0,45.0
2023-03-06,48.9,39.9
2023-03-05,50.099999999999994,42.0
2023-03-04,53.66,43.2
2023-03-01,50.4,41.8
2023-02-27,51.0,43.0
2023-02-27,51.709999999999994,45.830000000000005
2023-02-24,53.6,44.3
2023-02-21,54.0,41.0
2023-02-20,52.3,38.5
2023-02-20,48.0,38.0
2023-02-19,50.4,40.5
2023-02-19,37.0,43.0
2023-02-18,52.2,40.7
2023-02-18,54.099999999999994,42.089999999999996
2023-02-13,52.0,45.0
2023-02-10,53.099999999999994,44.2
2023-02-08,48.0,36.0
2023-02-06,50.5,43.1
2023-02-06,50.0,40.1
2023-02-06,52.0,45.0
2023-02-05,50.300000000000004,39.800000000000004
2023-02-04,49.60000000000001,39.5
2023-01-30,53.0,42.0
2023-01-29,55.63,41.599999999999994
2023-01-27,53.400000000000006,44.6
2023-01-26,36.2,31.0
2023-01-23,50.5,40.4
2023-01-23,54.0,42.0
2023-01-23,49.0,36.0
2023-01-22,51.400000000000006,40.9
2023-01-22,37.0,39.0
2023-01-16,54.0,43.0
2023-01-16,50.4,41.800000000000004
2023-01-15,51.2,40.4
2023-01-15,56.06,42.7
2023-01-13,54.400000000000006,43.5
2023-01-09,55.0,41.0
2023-01-08,50.2,39.199999999999996
2023-01-06,49.2,36.3
2023-01-06,46.0,35.8
2023-01-02,52.0,46.0
2022-12-30,55.2,43.0
2022-12-27,51.0,46.0
2022-12-21,50.0,40.0
2022-12-20,47.9,35.1
2022-12-19,51.0,44.0
2022-12-18,59.33,39.06
2022-12-16,53.199999999999996,35.8
2022-12-16,56.3,41.4
2022-12-15,51.0,41.0
2022-12-12,50.5,36.800000000000004
2022-12-12,49.0,47.0
2022-12-11,38.5,36.5
2022-12-08,51.2,38.4
2022-12-07,53.0,33.0
2022-12-05,49.0,47.0
2022-12-04,53.3,38.6
2022-12-03,52.0,39.400000000000006
2022-12-03,50.5,38.400000000000006
2022-11-28,48.0,48.0
2022-11-27,56.72,41.16
2022-11-25,57.39999999999999,40.800000000000004
2022-11-21,53.0,39.0
2022-11-21,50.0,47.0
2022-11-20,52.8,37.400000000000006
2022-11-17,37.0,40.0
2022-11-15,53.900000000000006,38.099999999999994
2022-11-14,50.199999999999996,38.1
2022-11-14,49.0,47.0
2022-11-12,55.50000000000001,37.5
2022-11-10,57.4,40.699999999999996
2022-11-09,53.0,38.0
2022-11-09,48.0,34.0
2022-11-07,51.0,43.0
2022-11-05,54.900000000000006,36.8
2022-11-05,54.300000000000004,38.7
2022-10-31,51.3,39.1
2022-10-31,50.0,45.0
2022-10-28,56.5,41.6
2022-10-26,54.800000000000004,40.3
2022-10-24,52.0,44.0
2022-10-23,52.6,35.6
2022-10-22,51.800000000000004,38.2
2022-10-20,56.48,41.57
2022-10-19,56.260000000000005,41.510000000000005
2022-10-19,51.0,44.0
2022-10-19,52.0,33.0
2022-10-17,50.099999999999994,38.1
2022-10-14,55.3,42.800000000000004
2022-10-13,52.7,38.300000000000004
2022-10-13,35.0,35.0
2022-10-10,52.0,43.0
2022-10-09,54.2,38.8
2022-10-05,54.39999999999999,39.1
2022-10-03,50.0,45.0
2022-09-26,52.0,45.0
2022-09-25,52.49999999999999,40.1
2022-09-24,53.0,38.5
