Date,AD,PS,Chega,IL,BE,CDU,LIVRE,PAN,Others
2025-05-10,33.1,25.7,16.0,6.8,2.8,3.2,4.9,1.5,6.0
2025-05-09,33.7,25.9,15.3,5.6,3.4,2.7,5.3,1.6,6.5
2025-05-08,33.7,26.3,15.7,5.9,2.5,3.0,5.2,1.3,6.4
2025-05-07,34.2,26.3,16.0,6.3,2.8,3.1,4.0,0.7,6.6
2025-05-06,34.9,26.1,16.7,6.8,2.1,3.2,3.9,0.5,5.8
2025-05-06,32.0,28.0,20.0,6.0,2.0,3.0,4.0,1.5,3.5
2025-05-05,34.8,26.6,16.8,6.8,2.3,3.5,3.8,0.6,4.8
2025-05-05,28.6,28.4,18.1,7.3,3.4,2.4,4.1,2.6,5.1
2025-05-05,32.0,27.0,19.0,5.0,2.0,4.0,3.0,2.0,6.0
2025-05-05,28.8,24.1,17.4,6.1,3.3,3.0,3.1,1.9,12.3
2025-05-04,35.8,27.1,16.5,7.5,1.8,3.2,3.4,0.6,4.1
2025-05-03,35.6,26.9,16.2,6.6,2.1,3.1,3.9,0.9,4.7
2025-05-02,34.5,27.7,15.7,6.9,2.2,3.1,4.0,0.7,5.2
2025-05-01,34.0,27.5,16.6,7.8,1.5,3.3,3.4,0.6,5.3
2025-04-24,32.0,26.0,19.0,6.0,3.0,4.0,5.0,1.0,4.0
2025-04-22,34.1,27.1,15.2,8.3,2.7,2.7,4.3,1.1,4.5
2025-04-21,34.8,28.1,15.2,7.4,1.9,4.1,4.4,0.6,3.5
2025-04-14,33.0,29.0,21.0,4.0,2.0,2.0,1.0,2.0,6.0
2025-04-09,27.2,28.9,17.2,6.7,3.0,5.9,5.1,3.4,2.6
2025-04-08,27.2,30.1,18.6,6.1,2.3,3.2,4.4,1.8,6.3
2025-04-06,28.6,28.7,20.4,7.9,2.0,4.3,3.1,1.0,4.0
2025-04-03,33.3,25.9,13.5,8.1,3.8,2.5,4.3,1.4,7.2
2025-03-29,34.4,27.8,14.9,6.0,2.7,3.4,5.5,0.5,4.8
2025-03-26,30.7,26.8,14.3,10.7,3.1,2.1,4.6,3.1,4.5
2025-03-26,29.0,27.0,17.0,8.0,5.0,3.0,5.0,2.0,4.0
2025-03-24,30.0,32.0,18.0,4.0,4.0,4.0,1.0,1.0,6.0
2025-03-21,28.0,31.0,20.2,6.9,2.8,3.6,2.2,1.5,3.8
2025-03-17,37.7,27.9,16.2,7.7,1.7,2.1,1.9,0.4,4.3
2025-03-13,26.2,27.9,18.5,9.3,5.2,2.7,4.4,2.1,3.7
2025-03-12,32.1,28.0,16.5,7.7,3.4,3.2,2.4,0.6,6.1
2025-03-10,26.9,28.6,17.4,8.0,5.5,3.4,4.5,3.4,2.3
2025-03-08,25.8,30.8,17.3,7.3,4.3,2.4,2.5,0.8,8.8
2025-03-06,33.5,28.8,13.5,6.7,2.9,3.0,2.7,1.9,7.0
2025-02-27,35.6,27.2,17.4,5.1,1.5,3.6,4.8,1.5,3.3
2025-01-28,29.3,28.1,18.4,5.6,3.8,3.5,4.1,2.9,4.3
2025-01-26,33.0,27.3,16.8,6.3,3.1,3.4,3.7,2.0,4.4
2025-01-26,27.8,28.2,17.3,7.0,5.9,3.4,3.9,3.4,3.1
2025-01-21,29.1,26.7,20.5,6.3,4.4,3.2,3.5,2.5,3.8
2025-01-20,33.0,30.0,17.0,4.0,3.0,3.0,2.0,2.0,6.0
2025-01-05,32.9,26.9,16.3,5.7,4.3,4.0,3.1,1.4,5.4
2024-11-27,28.8,30.0,16.2,8.3,5.8,3.3,3.3,3.2,1.0
2024-11-22,28.1,26.7,20.9,6.0,3.3,3.7,4.3,1.6,5.4
2024-11-19,29.8,28.6,18.2,6.8,4.0,2.6,4.1,2.4,3.5
2024-10-23,33.0,29.0,18.0,6.0,4.0,3.0,3.0,2.0,2.0
2024-10-10,28.2,29.5,14.1,7.5,6.0,3.8,3.5,2.0,5.3
2024-10-05,32.1,28.6,15.1,6.3,5.5,3.0,3.5,2.3,3.6
2024-09-04,29.5,31.5,14.8,8.2,6.3,3.6,3.0,1.3,1.8
2024-07-26,28.7,26.0,15.5,9.8,6.3,2.4,5.3,3.6,2.4
2024-07-13,31.0,33.0,14.0,7.0,4.0,3.0,3.0,2.0,3.0
2024-07-08,27.6,29.5,17.5,7.1,4.6,3.5,4.1,2.5,3.6
2024-06-04,29.5,27.1,16.1,9.3,7.1,1.6,5.5,3.1,0.7
2024-05-20,23.7,24.7,17.4,9.0,8.2,2.5,9.4,3.2,1.9
2024-05-18,30.0,29.0,19.0,5.0,4.0,3.0,5.0,2.0,3.0
2024-04-23,24.3,28.7,15.6,7.9,9.7,2.3,5.7,2.9,2.9
2024-03-10,28.8,28.0,18.1,4.9,4.4,3.2,3.2,2.0,7.5
