Date,PS,PSD,Chega,IL,BE,CDU,PAN,LIVRE
2024-02-27,27.0,33.0,17.0,6.0,5.0,2.0,2.0,4.0
2024-02-26,26.0,33.0,17.0,6.0,5.0,2.0,1.0,5.0
2024-02-26,27.0,33.0,17.0,6.0,5.0,3.0,2.0,4.0
2024-02-25,26.0,33.0,17.0,7.0,5.0,2.0,1.0,3.0
2024-02-24,26.0,31.0,17.0,8.0,6.0,2.0,1.0,4.0
2024-02-23,28.0,28.0,20.0,7.0,6.0,2.0,1.0,3.0
2024-02-21,29.0,35.0,17.0,6.0,4.0,2.0,1.0,3.0
2024-02-20,26.0,29.0,20.0,7.0,4.0,2.0,2.0,3.0
2024-02-17,26.0,26.4,20.8,8.4,6.8,3.0,3.1,3.7
2024-02-13,33.1,27.7,16.4,4.9,6.3,2.3,3.3,2.8
2024-02-12,27.4,30.0,18.1,5.5,4.2,2.6,1.1,2.9
2024-02-10,25.6,27.8,18.8,7.5,6.2,3.1,3.7,3.1
2024-02-01,28.0,32.0,19.0,6.0,5.0,2.0,1.0,3.0
2024-01-25,29.0,27.0,21.0,5.0,5.0,3.0,1.0,1.0
2024-01-20,32.7,27.4,16.2,4.2,8.0,2.6,2.9,1.9
2024-01-20,30.9,24.3,19.4,6.3,8.7,4.6,2.6,1.5
2024-01-17,26.7,28.1,17.5,6.3,7.2,3.3,1.2,2.1
2023-12-23,34.1,26.0,16.3,4.1,6.3,2.7,3.7,1.8
2023-12-21,29.3,27.8,13.4,7.6,10.1,2.7,3.5,3.3
2023-12-20,26.5,29.2,15.2,5.8,7.7,2.8,0.8,2.3
2023-12-06,26.0,32.3,17.2,6.7,4.4,2.1,1.4,2.3
2023-11-24,28.0,31.0,16.0,9.0,6.0,3.0,2.0,2.0
2023-11-23,32.9,28.2,16.2,5.0,6.9,3.2,2.9,2.0
2023-11-17,25.5,25.6,14.6,9.1,10.2,3.5,4.7,3.2
2023-11-13,28.0,28.0,18.0,6.0,9.0,3.0,3.0,3.0
2023-11-08,22.2,29.5,16.1,8.7,9.8,4.0,2.8,3.3
2023-10-24,28.6,26.5,14.6,6.7,7.1,3.8,4.8,2.9
2023-10-23,27.3,29.599999999999998,12.7,9.0,7.3,4.4,3.5,1.5
2023-10-05,29.3,28.200000000000003,13.6,5.3,7.1,4.3,3.6,2.8
2023-09-25,31.0,27.0,13.0,3.0,6.0,6.0,2.0,2.0
2023-09-14,30.0,29.400000000000002,12.8,9.3,6.4,4.3,2.1,2.3
2023-08-11,27.9,27.700000000000003,13.4,8.3,8.0,3.7,3.4,2.8
2023-07-15,32.0,34.0,10.0,7.0,7.0,4.0,1.0,2.0
2023-07-11,28.8,28.8,13.0,5.2,8.0,3.2,3.8,2.7
2023-07-06,25.2,25.7,13.6,9.8,9.5,4.6,4.8,2.5
2023-06-21,32.0,36.0,9.0,6.0,6.0,3.0,1.0,1.0
2023-05-31,24.5,28.7,12.9,8.8,10.2,4.1,3.9,2.4
2023-05-28,31.0,31.0,13.0,4.0,5.0,5.0,2.0,1.0
2023-05-05,25.7,27.3,14.7,8.4,9.6,4.2,2.4,2.3
2023-04-14,28.3,29.900000000000002,12.1,6.1,6.3,3.5,4.5,2.7
2023-04-12,28.1,28.5,14.7,8.2,7.8,4.8,2.6,1.2
2023-03-20,30.0,32.0,13.0,4.0,5.0,5.0,2.0,1.0
2023-03-15,28.4,28.8,15.2,7.9,7.2,3.6,1.7,2.7
2023-02-17,32.0,32.0,11.0,8.0,7.0,4.0,2.0,2.0
2023-02-10,28.4,28.700000000000003,14.1,9.0,5.8,4.7,2.9,1.6
2023-01-17,26.9,30.6,14.2,8.0,5.6,2.2,0.9,1.9
2023-01-14,27.1,26.5,12.9,9.5,6.6,4.8,3.1,3.4
2023-01-11,31.1,30.2,10.7,7.6,7.5,3.7,3.7,2.4
2022-12-15,35.9,31.099999999999998,9.1,5.2,3.4,4.3,0.6,2.2
2022-12-15,37.0,29.0,9.0,2.0,7.0,5.0,3.0,0.0
2022-12-14,30.9,27.5,11.0,8.6,8.6,4.4,3.6,1.9
2022-11-20,28.8,27.8,13.6,8.0,7.3,6.4,2.7,2.7
2022-11-17,35.1,31.7,8.2,6.1,3.8,5.1,1.2,2.0
2022-10-22,33.2,29.8,10.8,8.6,7.1,3.0,2.1,2.6
2022-10-17,36.2,31.6,9.3,7.9,3.9,3.8,1.2,1.0
2022-09-24,34.5,32.8,8.9,6.7,3.8,3.2,3.0,2.1
2022-09-18,37.0,28.0,11.0,3.0,4.0,4.0,3.0,0.0
2022-09-15,35.5,30.0,10.7,6.0,6.0,3.4,2.9,2.1
2022-08-10,38.5,27.3,9.8,8.3,5.8,2.6,1.5,2.2
2022-08-10,36.7,30.1,9.5,8.5,4.4,4.2,1.5,1.5
2022-07-15,38.0,31.0,9.0,6.0,5.0,5.0,1.0,2.0
2022-07-11,39.8,24.8,9.4,9.6,6.1,3.2,2.5,1.9
2022-07-10,35.8,31.5,10.2,6.1,5.6,3.3,1.9,2.0
2022-07-04,38.9,26.7,8.3,8.6,5.3,3.9,1.2,1.8
2022-06-14,38.8,27.6,9.3,7.8,5.9,3.6,3.0,1.4
2022-05-15,39.5,24.5,8.8,7.8,5.9,4.1,4.1,2.1
2022-04-18,40.7,27.4,7.8,7.9,4.0,4.1,1.5,1.5
2022-02-20,37.1,33.1,5.6,7.3,4.5,4.3,1.3,2.7
2022-01-30,41.4,30.700000000000003,7.2,4.9,4.4,4.3,1.6,1.3
