Date,Smer,PS,Hlas,OĽaNOap,KDH,SASKA,SNS,Republika,Aliancia,Demokrati,SR,ĽSNS
2025-06-09,18.8,20.2,10.5,8.5,7.5,6.1,3.7,9.7,4.8,4.8,3.4,
2025-06-08,19.8,23.0,9.0,10.7,6.4,5.7,2.5,9.4,3.2,4.9,3.1,1.5
2025-05-26,19.0,21.5,12.1,8.8,7.8,7.2,4.2,7.3,3.5,4.5,3.0,
2025-05-19,19.1,20.9,10.6,7.8,7.3,6.8,3.9,7.9,4.6,4.6,3.2,
2025-05-16,19.6,21.9,8.4,8.6,7.5,6.6,3.0,9.3,4.8,4.7,3.6,1.1
2025-05-04,20.6,22.8,8.9,10.0,6.4,6.1,2.3,8.8,4.0,4.8,3.5,1.3
2025-04-17,20.5,22.5,12.0,8.999999999999998,7.3,7.1,4.1,7.0,4.0,4.2,1.5,
2025-04-08,19.3,21.0,10.9,7.3,8.4,6.6,3.9,8.2,4.7,4.3,,
2025-04-06,19.9,23.4,8.5,9.7,6.9,6.5,1.9,9.2,3.8,4.8,3.7,1.2
2025-03-19,21.2,21.7,12.3,7.3,7.8,6.6,4.0,7.3,4.4,4.0,2.4,0.2
2025-03-14,22.1,21.4,12.5,5.9,7.8,6.3,2.0,7.4,3.9,5.0,2.5,
2025-03-09,21.4,23.8,8.8,9.8,6.0,6.2,2.0,8.1,3.8,4.1,4.1,0.8
2025-02-12,21.7,22.1,11.8,6.6,7.8,6.2,3.7,7.8,4.6,4.6,2.6,
2025-02-12,22.1,24.1,12.5,6.0,6.9,6.4,4.1,5.7,3.1,4.6,2.9,0.3
2025-02-09,22.5,24.6,10.5,8.8,6.6,6.1,1.5,7.4,3.2,3.0,4.1,0.8
2025-01-24,22.5,24.6,13.0,5.7,6.7,7.1,4.2,5.1,3.4,4.6,2.2,0.8
2025-01-17,22.2,23.0,11.1,7.5,7.3,6.3,2.0,7.7,3.7,4.0,2.8,1.1
2025-01-13,18.4,23.9,11.5,9.4,5.9,6.7,2.1,8.9,3.4,4.0,3.6,1.4
2024-12-19,20.3,22.8,13.9,6.4,7.3,6.6,4.6,5.4,3.2,4.3,3.8,0.3
2024-12-09,19.1,24.8,10.7,10.1,5.5,4.8,2.9,9.5,3.2,3.9,3.4,1.4
2024-12-08,20.8,21.5,13.8,5.2,6.9,6.1,3.7,8.1,5.6,4.0,2.2,
2024-11-20,20.7,21.2,14.7,6.699999999999999,6.7,6.9,4.7,5.9,3.7,4.1,3.6,0.4
2024-11-13,21.9,22.6,13.3,3.6,6.2,6.7,3.6,8.6,4.8,4.6,3.3,
2024-11-11,19.1,25.1,10.8,6.0,6.4,6.0,3.3,8.7,3.7,4.4,4.3,1.0
2024-11-01,21.9,22.6,12.8,6.0,6.9,6.2,2.4,7.7,4.0,4.4,3.0,1.2
2024-10-17,21.3,21.3,15.0,5.9,6.2,6.5,4.8,6.8,3.4,4.7,2.6,0.6
2024-10-07,20.5,24.4,12.0,5.4,6.9,6.2,2.9,7.4,3.6,5.1,3.9,1.3
2024-09-26,23.3,22.1,12.8,4.1,6.0,5.6,4.7,7.9,5.2,5.0,3.2,
