Date,OĽaNO,SMER-SD,SR,ĽSNS,PS,SPOLU,SaS,ZĽ,KDH,HLAS-SD,REP
23 Dec 2022,6.3,16.7,6.0,2.0,14.1,–,6.5,2.0,6.1,19.1,9.6
20 Dec 2022,7.4,16.6,8.2,3.1,12.8,1.0,5.6,2.2,5.9,19.0,6.9
12 Dec 2022,8.0,16.1,7.7,1.7,11.8,0.2,9.9,1.7,5.5,20.2,6.6
7 Dec 2022,7.0,15.8,7.3,3.0,10.3,0.7,7.7,2.7,6.0,19.9,7.9
30 Nov 2022,6.1,20.0,5.5,2.1,8.8,–,7.0,3.1,5.0,20.1,7.2
28 Nov 2022,8.0,15.6,7.0,2.9,10.4,–,7.8,3.4,7.4,19.7,6.0
11 Nov 2022,7.5,16.0,6.9,1.9,11.5,0.4,10.8,1.9,6.1,19.5,6.3
8 Nov 2022,3.9,14.2,5.8,3.9,9.8,–,6.5,2.4,5.8,18.6,11.8
21 Oct 2022,7.9,14.8,7.5,2.6,10.9,1.0,8.5,2.8,6.5,20.2,6.8
27 Sep 2022,7.2,15.3,7.0,2.9,9.6,0.7,8.2,2.4,6.2,20.3,7.8
20 Sep 2022,7.8,15.5,7.5,2.7,11.6,–,9.3,1.7,6.5,18.3,7.0
14 Sep 2022,7.9,15.0,7.6,2.3,10.0,,12.9,2.3,6.2,19.3,5.2
4 Sep 2022,6.1,19.1,6.9,3.4,7.1,0.2,15.6,,5.1,17.0,7.1
18 Aug 2022,8.4,14.9,6.6,2.1,9.9,–,13.1,2.1,6.9,19.2,5.3
8 Aug 2022,7.8,15.5,6.4,2.9,11.4,–,12.2,3.0,6.3,17.2,7.3
14 Jul 2022,9.2,14.6,6.0,1.5,9.8,,14.7,2.2,7.2,20.0,5.4
27 Jun 2022,7.1,14.4,7.6,3.3,9.1,1.0,9.6,2.1,6.7,20.5,6.8
10 Jun 2022,8.5,14.8,5.7,1.8,9.9,,14.3,2.2,7.3,20.2,5.2
31 May 2022,8.1,14.9,5.6,2.8,9.1,1.1,11.1,3.1,6.5,20.3,6.8
16 May 2022,10.7,13.5,6.1,1.1,9.7,,14.3,2.1,7.7,18.2,6.2
23 Apr 2022,7.8,17.9,7.2,3.1,5.7,0.5,13.2,1.0,5.3,17.9,6.0
11 Apr 2022,8.9,14.5,6.6,3.0,8.7,0.6,14.0,2.0,6.5,18.9,6.2
6 Apr 2022,8.1,15.1,7.5,4.5,7.3,0.6,10.3,2.5,6.3,19.0,6.9
3 Mar 2022,10.7,14.1,6.7,2.3,11.0,1.6,13.2,2.8,6.8,14.1,7.0
1 Mar 2022,7.8,15.6,6.3,3.8,8.1,,12.0,2.7,6.0,18.5,7.0
14 Feb 2022,8.0,14.5,6.9,2.5,8.7,1.2,14.2,2.3,7.2,17.5,6.9
1 Feb 2022,9.5,15.6,5.7,4.1,10.6,0.9,13.5,2.5,5.0,13.5,5.6
26 Jan 2022,8.0,16.3,6.1,4.3,8.3,0.7,11.1,3.0,5.8,17.8,7.8
17 Jan 2022,9.3,13.8,6.5,2.9,8.5,0.8,14.2,2.2,6.0,18.0,6.2
12 Dec 2021,9.0,13.7,6.5,3.4,8.6,,13.9,2.4,6.0,19.0,5.9
23 Nov 2021,7.9,15.0,6.1,4.8,7.7,1.0,11.5,2.1,6.1,19.2,6.8
16 Nov 2021,9.7,13.0,6.8,3.5,8.7,0.9,13.6,2.2,5.4,18.5,5.6
27 Oct 2021,8.4,15.5,6.3,3.8,6.9,1.1,12.2,2.8,6.1,19.3,5.5
20 Oct 2021,6.8,17.7,9.4,2.4,5.9,1.0,10.5,2.8,5.9,21.0,5.1
7 Oct 2021,9.2,13.8,7.4,2.3,8.6,1.2,14.5,2.1,5.9,18.2,5.0
13 Sep 2021,9.9,13.9,6.8,2.7,8.7,0.8,14.5,1.7,6.6,18.8,5.2
7 Sep 2021,8.2,14.4,6.7,4.6,7.0,,11.7,2.2,6.1,18.5,6.8
6 Sep 2021,10.0,12.7,7.2,3.3,8.6,,12.3,3.9,4.8,16.3,5.4
15 Aug 2021,9.8,11.3,6.6,3.9,8.9,1.2,14.7,3.0,6.3,19.5,4.5
12 Jul 2021,8.8,10.9,7.8,3.5,8.4,1.9,13.8,3.1,6.2,20.8,3.8
11 Jun 2021,9.0,10.6,7.8,3.0,8.3,1.6,13.9,3.6,5.3,21.0,2.8
9 Jun 2021,8.2,12.0,7.6,4.8,6.3,1.5,12.8,3.4,5.8,21.6,4.6
19 May 2021,8.8,11.8,7.2,4.9,6.1,1.3,12.3,3.5,5.7,22.4,4.5
17 May 2021,9.9,9.6,7.4,2.1,8.5,1.6,13.8,4.0,5.0,22.5,3.5
17 Apr 2021,10.0,9.2,7.4,2.9,8.3,0.9,13.8,4.3,4.5,23.9,3.1
7 Apr 2021,9.2,10.9,7.4,4.3,6.2,0.8,11.2,4.8,5.7,22.3,4.7
12 Mar 2021,13.1,8.7,5.9,4.3,8.0,0.3,14.3,4.3,5.2,24.9,—
24 Feb 2021,10.4,9.2,5.2,6.6,6.7,0.6,12.9,5.2,4.9,23.0,—
11 Feb 2021,13.8,8.5,5.1,3.8,7.2,0.7,15.1,5.4,4.9,25.0,—
19 Jan 2021,10.1,9.1,5.1,9.7,5.2,1,13.3,4.2,4.4,24.3,—
19 Dec 2020,14.2,9,5.7,5.7,6.5,0.5,16.2,4.7,4.7,22.8,—
14 Dec 2020,11,9.8,5.4,8.2,6,0.4,15.8,4.4,4.9,20.1,—
25 Nov 2020,14,9.5,6.1,9.6,5.9,1,12.1,4.1,5.1,19.1,—
15 Oct 2020,15.1,10.5,7.3,9.8,5.4,0.3,10.7,4.8,5.2,18.7,—
9 Oct 2020,15.3,8.3,8.8,8.5,6.2,1.8,13.4,4.2,3.0,18.8,—
2 Sep 2020,18.4,10.9,9.1,8.5,5.9,0.6,9.9,3.9,4.5,16.2,—
17 Jul 2020,23.5,10.7,6.4,7.9,5.2,2.2,9.4,4.0,3.0,16.7,—
24 Jun 2020,21.2,19.0,12.8,9.6,6.2,0.8,9.2,3.6,4.6,—,—
21 May 2020,22.9,21.6,11.2,9.7,6.5,0.2,8.0,4.3,4.8,—,—
19 Apr 2020,24.4,21.8,11.5,9.2,7.6,7.6,6.8,3.2,4.5,—,—
17 Apr 2020,29.9,18.3,10.0,6.4,6.9,0.9,9.7,3.0,3.7,—,—
21 Mar 2020,23.3,21.6,11.5,7.3,5.9,5.9,5.8,5.2,4.1,—,—
