Date,PNV,EHB,PSE,EP,Vox,PP,Sumar
2024-04-19,35.0,34.0,13.2,,2.0,8.3,3.0
2024-04-15,34.7,34.5,13.2,2.3,1.8,8.5,3.1
2024-04-15,34.2,34.4,13.1,2.2,2.3,8.4,3.1
2024-04-14,33.9,34.8,13.5,2.3,2.0,8.1,3.4
2024-04-13,34.7,34.1,12.9,2.8,2.0,9.4,2.9
2024-04-12,35.2,33.9,13.3,2.0,1.7,8.3,3.5
2024-04-12,35.6,36.0,13.7,1.8,,9.6,2.3
2024-04-12,35.3,34.3,12.3,2.4,1.9,8.8,3.2
2024-04-12,35.6,34.2,12.6,2.6,2.2,7.5,2.9
2024-04-12,34.8,34.1,13.6,2.0,2.4,8.5,3.3
2024-04-11,34.8,33.9,12.5,2.3,2.3,8.3,2.9
2024-04-11,34.2,34.9,14.0,2.4,1.5,7.7,3.8
2024-04-10,34.5,35.4,13.4,2.3,1.9,8.2,2.2
2024-04-10,33.8,34.4,12.8,3.0,2.0,7.8,3.6
2024-04-09,35.5,33.9,13.2,1.9,1.8,8.4,3.0
2024-04-08,32.6,34.2,13.3,3.1,2.7,6.7,3.1
2024-04-06,33.7,33.6,13.2,2.7,2.2,8.7,3.2
2024-04-05,35.8,34.2,14.2,2.4,,7.8,
2024-04-05,33.8,34.2,13.3,2.6,2.1,8.6,3.8
2024-04-05,35.9,33.0,13.0,2.8,1.7,8.6,3.0
2024-04-04,35.3,33.2,13.3,2.5,1.9,8.7,3.0
2024-04-04,35.0,32.6,13.4,2.0,2.1,9.8,3.6
2024-03-26,34.8,32.9,13.3,2.9,1.8,10.0,3.2
2024-03-26,34.1,33.9,12.4,2.6,2.3,8.6,3.2
2024-03-22,36.1,33.0,13.1,2.5,1.9,7.7,3.7
2024-03-20,35.7,33.7,13.1,2.4,1.9,7.5,2.8
2024-03-19,34.2,33.7,13.8,2.8,2.1,8.1,3.0
2024-03-18,33.4,34.0,13.9,3.0,2.2,8.5,3.1
2024-03-14,36.0,32.7,14.2,3.7,1.4,8.3,2.9
2024-03-14,34.0,34.4,12.0,2.4,2.5,9.3,3.4
2024-03-14,34.3,32.3,14.7,0.9,1.3,10.1,6.0
2024-02-28,33.9,34.2,11.5,2.4,2.5,9.0,4.0
2024-02-15,34.1,31.5,14.6,2.1,2.6,8.9,5.1
2024-02-02,34.6,32.4,14.2,3.0,2.5,7.7,2.7
2024-02-01,33.5,31.0,15.3,0.8,2.2,9.2,5.3
2024-01-29,35.8,32.1,14.8,4.0,1.6,7.3,3.2
2024-01-29,35.8,32.1,14.8,,1.6,7.3,7.2
2024-01-26,34.3,33.0,15.0,,1.6,7.2,7.1
2024-01-17,33.4,31.7,14.4,1.0,2.5,8.9,5.7
2024-01-09,35.8,32.0,15.2,,1.3,8.3,7.0
2024-01-04,32.8,31.9,14.2,1.4,2.5,9.6,6.3
2023-12-27,37.1,32.1,10.6,,2.9,10.6,4.9
2023-12-20,31.5,32.1,15.3,,2.8,9.4,7.7
2023-11-24,37.1,29.9,14.3,6.5,2.1,8.0,
2023-11-24,32.4,32.9,14.4,7.6,2.5,9.5,
2023-09-15,32.1,32.5,17.0,5.1,2.8,7.9,
2023-06-15,34.7,31.2,12.3,9.2,2.6,9.5,
2022-04-29,36.2,29.0,12.2,8.8,2.0,8.6,
2022-02-25,39.3,27.3,14.3,7.0,2.7,6.2,
2021-12-03,39.6,27.5,14.0,6.7,2.2,6.7,
2021-10-01,39.4,27.7,13.9,6.8,1.9,6.9,
2021-09-15,40.0,27.3,13.5,6.4,1.7,8.2,
2021-05-21,39.0,27.5,13.6,6.6,1.7,7.7,
2020-07-12,38.7,27.6,13.5,8.0,1.9,6.7,
