Date,PSC,ERC,Junts,VOX,ECP,CUP,Cs,PP,AC
2024-05-08,27.8,16.3,23.3,7.6,5.1,3.9,1.0,8.1,3.6
2024-05-07,28.2,15.0,22.5,8.2,4.8,6.0,1.0,7.2,3.0
2024-05-07,27.0,17.6,21.3,8.7,6.0,3.9,0.5,9.4,2.8
2024-05-06,28.6,17.5,20.8,7.3,5.4,4.5,0.7,9.3,3.0
2024-05-06,26.9,17.6,21.9,8.4,6.1,4.0,0.9,8.7,2.4
2024-05-06,29.4,19.1,21.0,6.9,5.7,5.0,0.5,8.3,2.7
2024-05-06,28.5,17.3,21.0,7.3,5.5,4.6,0.6,9.3,3.2
2024-05-06,29.3,17.0,21.5,7.4,5.2,4.4,,9.6,3.3
2024-05-05,28.8,16.4,19.9,7.6,5.9,4.1,,9.9,3.6
2024-05-05,25.3,16.4,23.4,8.0,5.9,4.6,,7.7,3.4
2024-05-04,29.0,16.1,21.2,7.3,5.7,3.9,1.0,9.3,3.8
2024-05-02,27.8,17.5,22.4,5.7,5.2,4.1,1.0,8.7,3.2
2024-04-30,31.5,16.7,16.8,6.7,6.5,3.9,0.8,10.8,3.7
2024-05-02,28.4,16.6,22.0,7.2,4.8,3.7,1.2,9.8,2.8
2024-05-05,28.6,14.2,22.2,7.3,5.2,5.4,1.5,7.7,3.4
2024-05-05,27.1,18.3,20.8,7.5,4.7,4.7,1.2,9.2,3.4
2024-05-03,28.4,17.0,20.8,7.3,5.5,4.5,,9.9,3.2
2024-05-03,27.4,17.2,19.5,8.2,6.5,4.7,,8.2,4.1
2024-05-02,27.7,17.2,20.5,7.3,5.7,4.0,,10.7,2.9
2024-04-30,27.9,18.1,20.9,7.7,5.7,4.9,0.9,9.4,3.0
2024-05-02,26.4,17.7,20.4,8.4,6.3,4.2,,8.9,2.4
2024-05-01,28.4,17.2,20.1,7.5,5.7,4.1,,7.7,3.2
2024-04-30,28.3,17.4,20.5,7.4,5.8,4.6,1.0,9.6,3.1
2024-04-27,27.3,17.6,21.0,7.4,5.9,5.1,,9.8,
2024-04-27,27.2,18.2,20.1,7.0,6.3,4.9,1.1,9.7,2.7
2024-04-25,28.5,18.0,21.9,7.2,5.4,5.1,0.9,9.1,2.5
2024-04-23,25.6,17.8,19.5,8.3,6.9,5.0,2.0,9.2,3.9
2024-04-22,27.6,16.5,21.4,7.3,6.0,4.7,0.7,9.6,2.7
2024-04-24,27.0,16.4,21.6,8.0,6.3,4.3,1.6,10.3,2.3
2024-04-17,27.8,18.9,21.3,6.3,6.7,4.8,1.2,9.0,1.2
