Date,Pro-Independence (ERC + Junts + CUP + AC),Rest (PSC + VOX + ECP + Cs + PP)
2024-05-03,45.50000000000001,50.3
2024-05-02,44.6,51.400000000000006
2024-05-02,44.699999999999996,49.99999999999999
2024-05-01,44.6,49.300000000000004
2024-04-30,45.6,52.1
2024-04-27,43.7,50.400000000000006
2024-04-27,45.9,51.3
2024-04-25,47.5,51.1
2024-04-23,46.199999999999996,52.0
2024-04-22,45.300000000000004,51.2
2024-04-24,44.599999999999994,53.2
2024-04-17,46.2,51.00000000000001
2024-04-15,42.60000000000001,53.4
2024-04-22,42.8,53.1
2024-04-23,46.400000000000006,50.5
2024-04-19,45.3,49.9
2024-04-19,46.4,50.8
2024-04-21,45.5,51.099999999999994
2024-04-10,47.5,51.099999999999994
2024-03-29,46.4,50.3
2024-03-25,48.4,50.19999999999999
2024-03-22,43.6,53.900000000000006
2024-03-20,39.9,56.099999999999994
2024-03-21,41.0,53.5
2024-03-18,45.3,46.8
2024-03-16,45.099999999999994,51.9
2024-03-15,45.3,46.8
2024-03-07,37.0,47.0
2024-03-16,47.099999999999994,48.699999999999996
2024-02-26,48.400000000000006,48.29999999999999
2024-02-21,47.4,50.0
2024-01-10,45.2,51.599999999999994
2023-11-28,44.5,52.800000000000004
2023-11-07,34.0,49.0
2023-10-10,44.1,53.89999999999999
2023-09-09,45.10000000000001,51.0
2023-06-26,40.0,44.0
2023-03-24,38.0,45.0
2022-12-10,46.4,47.699999999999996
2022-10-21,36.0,44.0
2022-10-14,46.2,46.6
2022-10-13,46.4,46.800000000000004
2022-07-07,39.0,44.0
2022-05-30,47.3,47.1
2022-05-19,44.10000000000001,49.6
2022-05-12,44.3,51.4
2022-03-28,39.0,41.0
2021-10-14,49.5,47.3
2021-09-22,47.800000000000004,48.8
2021-07-13,50.3,47.0
2021-05-19,50.3,45.4
2021-05-14,47.0,49.699999999999996
2021-05-12,49.2,47.4
2021-04-01,48.49999999999999,46.800000000000004
2021-02-14,48.10000000000001,47.0
