Date,Tripartito (PSC + ERC + Comuns),Independentista no extrema derecha (Junts + ERC + CUP),Independentista (Junts + ERC + CUP + AC),Izquierda no independentista (PSC + Comuns),Gran alianza no independentista (PSC + PP),Derecha (PP + VOX + Cs)
2024-05-12,68.0,59.0,61.0,48.0,57.0,26.0
2024-05-10,72.0,67.0,73.0,47.0,53.0,26.0
2024-05-10,69.0,69.0,75.0,45.0,52.0,24.0
2024-05-09,73.0,70.0,74.0,47.0,53.0,25.0
2024-05-09,72.0,69.0,75.0,47.0,53.0,24.0
2024-05-08,72.0,70.0,74.0,48.0,54.0,24.0
2024-05-08,75.0,70.0,76.0,49.0,54.0,23.0
2024-05-07,73.0,70.0,73.0,48.0,54.0,24.0
2024-05-07,76.0,69.0,72.0,48.0,52.0,25.0
2024-05-06,72.0,64.0,66.0,46.0,53.0,23.0
2024-05-06,76.0,70.0,72.0,48.0,52.0,24.0
2024-05-06,77.0,69.0,73.0,48.0,54.0,21.0
2024-05-06,71.0,65.0,68.0,45.0,53.0,23.0
2024-05-06,70.0,64.0,67.0,45.0,53.0,23.0
2024-05-05,74.0,41.0,43.0,48.0,54.0,24.0
2024-05-05,76.0,76.0,82.0,46.0,50.0,24.0
2024-05-04,77.0,66.0,71.0,51.0,58.0,25.0
2024-05-02,74.0,71.0,75.0,46.0,54.0,20.0
2024-05-02,75.0,68.0,71.0,49.0,58.0,27.0
2024-05-05,71.0,68.0,72.0,48.0,53.0,22.0
2024-05-05,74.0,68.0,71.0,45.0,54.0,25.0
2024-05-03,71.0,65.0,68.0,46.0,54.0,25.0
2024-05-03,76.0,68.0,75.0,50.0,53.0,24.0
2024-05-02,76.0,65.0,68.0,50.0,56.0,23.0
2024-04-30,64.0,66.0,68.0,37.0,45.0,24.0
2024-05-02,76.0,68.0,70.0,48.0,53.0,25.0
2024-05-01,74.0,62.0,63.0,48.0,55.0,24.0
2024-04-30,72.0,64.0,66.0,46.0,53.0,23.0
2024-04-27,73.0,68.0,68.0,45.0,53.0,25.0
2024-04-27,73.0,67.0,69.0,45.0,52.0,23.0
2024-04-25,72.0,68.0,68.0,45.0,52.0,22.0
2024-04-23,75.0,70.0,76.0,47.0,53.0,27.0
2024-04-22,72.0,67.0,70.0,46.0,54.0,25.0
2024-04-24,75.0,70.0,70.0,48.0,54.0,25.0
2024-04-17,74.0,66.0,66.0,46.0,52.0,23.0
2024-04-15,78.0,63.0,63.0,50.0,58.0,22.0
2024-04-22,76.0,65.0,67.0,48.0,54.0,23.0
2024-04-23,72.0,69.0,71.0,44.0,49.0,20.0
2024-04-19,77.0,70.0,71.0,47.0,54.0,23.0
2024-04-19,73.0,68.0,69.0,45.0,51.0,21.0
2024-04-21,73.0,64.0,65.0,46.0,53.0,24.0
2024-04-10,70.0,67.0,67.0,44.0,52.0,24.0
2024-03-29,75.0,67.0,67.0,46.0,52.0,22.0
2024-03-25,71.0,69.0,69.0,43.0,50.0,23.0
2024-03-22,79.0,64.0,64.0,51.0,56.0,24.0
2024-03-20,76.0,62.0,62.0,50.0,56.0,23.0
2024-03-21,77.0,65.0,65.0,48.0,49.0,22.0
2024-03-18,73.0,68.0,70.0,44.0,49.0,21.0
2024-03-16,75.0,65.0,65.0,47.0,54.0,23.0
2024-03-15,79.0,73.0,76.0,47.0,52.0,23.0
2024-03-07,59.0,45.0,45.0,39.0,39.0,21.0
2024-03-16,74.0,71.0,71.0,43.0,50.0,23.0
2024-02-26,74.0,71.0,71.0,44.0,48.0,20.0
2024-02-21,73.0,69.0,69.0,44.0,51.0,22.0
2024-01-10,77.0,67.0,67.0,45.0,51.0,23.0
2023-11-28,80.0,67.0,67.0,47.0,49.0,21.0
2023-11-07,64.0,43.0,43.0,42.0,43.0,20.0
2023-10-10,73.0,67.0,67.0,45.0,47.0,23.0
2023-09-09,77.0,69.0,69.0,46.0,49.0,20.0
2023-06-26,58.0,49.0,49.0,35.0,38.0,22.0
2023-03-24,58.0,47.0,47.0,36.0,36.0,22.0
2022-12-10,78.0,70.0,70.0,42.0,40.0,20.0
2022-10-21,57.0,45.0,45.0,35.0,38.0,22.0
2022-10-14,79.0,74.0,74.0,46.0,48.0,19.0
2022-10-13,75.0,70.0,70.0,40.0,39.0,20.0
2022-07-07,58.0,48.0,48.0,35.0,39.0,22.0
2022-05-30,77.0,74.0,74.0,39.0,38.0,19.0
2022-05-19,80.0,70.0,70.0,46.0,42.0,23.0
2022-05-12,78.0,68.0,68.0,45.0,43.0,22.0
2022-03-28,63.0,52.0,52.0,38.0,37.0,23.0
2021-10-14,80.0,75.0,75.0,42.0,43.0,18.0
2021-09-22,84.0,74.0,74.0,44.0,41.0,20.0
2021-07-13,78.0,76.0,76.0,43.0,44.0,16.0
2021-05-19,81.0,78.0,78.0,44.0,42.0,17.0
2021-05-14,83.0,73.0,73.0,47.0,44.0,21.0
2021-05-12,78.0,76.0,76.0,43.0,44.0,16.0
2021-04-01,76.0,74.0,74.0,42.0,39.0,19.0
2021-02-14,74.0,74.0,74.0,41.0,36.0,20.0
2024-05-10,64.0,59.0,62.0,42.0,47.0,21.0
2024-05-10,64.0,62.0,65.0,42.0,49.0,23.0
2024-05-09,65.0,62.0,65.0,42.0,48.0,21.0
2024-05-09,65.0,61.0,64.0,43.0,50.0,22.0
2024-05-08,64.0,62.0,65.0,43.0,49.0,20.0
2024-05-08,66.0,61.0,64.0,43.0,49.0,19.0
2024-05-07,66.0,64.0,65.0,44.0,49.0,19.0
2024-05-07,69.0,61.0,61.0,45.0,51.0,23.0
2024-05-06,70.0,62.0,62.0,45.0,50.0,22.0
2024-05-06,71.0,61.0,62.0,45.0,50.0,17.0
2024-05-06,71.0,65.0,67.0,45.0,52.0,22.0
2024-05-05,73.0,40.0,42.0,47.0,54.0,24.0
2024-05-05,66.0,66.0,68.0,40.0,43.0,17.0
2024-05-04,67.0,57.0,59.0,44.0,51.0,21.0
2024-05-02,69.0,66.0,67.0,43.0,50.0,17.0
2024-05-02,68.0,60.0,61.0,44.0,51.0,20.0
2024-05-05,65.0,63.0,66.0,44.0,50.0,20.0
2024-05-05,70.0,64.0,65.0,43.0,50.0,22.0
2024-05-03,68.0,62.0,63.0,44.0,52.0,23.0
2024-05-03,65.0,57.0,59.0,43.0,46.0,19.0
2024-05-02,70.0,62.0,63.0,46.0,53.0,22.0
2024-05-02,72.0,61.0,61.0,46.0,50.0,22.0
2024-04-27,71.0,65.0,65.0,44.0,51.0,24.0
2024-04-27,71.0,66.0,66.0,44.0,51.0,23.0
2024-04-23,63.0,60.0,62.0,40.0,45.0,21.0
2024-04-22,67.0,61.0,61.0,43.0,50.0,21.0
