Date,Pro-Independence (ERC + Junts + CUP + AC),Rest (PSC + VOX + ECP + Cs + PP)
2024-04-22,66.48496240601504,68.51503759398497
2024-04-24,64.54379562043796,70.45620437956204
2024-04-17,66.0,69.0
2024-04-15,63.0,72.0
2024-04-22,64.69811320754717,70.30188679245283
2024-04-23,71.0,64.0
2024-04-19,67.5,67.5
2024-04-19,69.0,66.0
2024-04-21,65.0,70.0
2024-04-10,67.0,68.0
2024-03-29,67.0,68.0
2024-03-25,69.0,66.0
2024-03-22,62.23048327137546,72.76951672862452
2024-03-20,62.0,73.0
2024-03-21,65.0,70.0
2024-03-18,70.0,65.0
2024-03-16,65.0,70.0
2024-03-15,69.98161764705883,65.01838235294117
2024-03-07,57.857142857142854,77.14285714285714
2024-03-16,70.26022304832713,64.73977695167287
2024-02-26,71.0,64.0
2024-02-21,69.0,66.0
2024-01-10,67.0,68.0
2023-11-28,67.0,68.0
2023-11-07,55.285714285714285,79.71428571428572
2023-10-10,67.0,68.0
2023-09-09,69.0,66.0
2023-06-26,62.405660377358494,72.59433962264151
2023-03-24,60.42857142857143,74.57142857142857
2022-12-10,71.5909090909091,63.409090909090914
2022-10-21,59.55882352941176,75.44117647058823
2022-10-14,72.23247232472325,62.767527675276746
2022-10-13,72.6923076923077,62.307692307692314
2022-07-07,61.714285714285715,73.28571428571428
2022-05-30,75.68181818181817,59.31818181818182
2022-05-19,68.00751879699249,66.99248120300751
2022-05-12,68.0,67.0
2022-03-28,62.123893805309734,72.87610619469027
2021-10-14,75.0,60.0
2021-09-22,73.0,62.0
2021-07-13,76.0,59.0
2021-05-19,76.78438661710038,58.215613382899626
2021-05-14,69.98161764705883,65.01838235294117
2021-05-12,76.0,59.0
2021-04-01,74.0,61.0
2021-02-14,74.0,61.0
