Date,Pro-Independence (ERC + Junts + CUP + AC),Rest (PSC + VOX + ECP + Cs + PP)
2024-04-15,63.0,71.0
2024-04-22,60.0,74.0
2024-04-23,71.0,63.0
2024-04-19,64.0,70.0
2024-04-19,69.0,65.0
2024-04-21,65.0,69.0
2024-04-10,67.0,67.0
2024-03-29,67.0,67.0
2024-03-25,69.0,65.0
2024-03-22,60.0,74.0
2024-03-20,62.0,72.0
2024-03-21,65.0,69.0
2024-03-18,70.0,64.0
2024-03-16,65.0,69.0
2024-03-15,65.0,69.0
2024-03-07,45.0,89.0
2024-03-16,69.0,65.0
2024-02-26,71.0,63.0
2024-02-21,69.0,65.0
2024-01-10,67.0,67.0
2023-11-28,67.0,67.0
2023-11-07,43.0,91.0
2023-10-10,67.0,67.0
2023-09-09,69.0,65.0
2023-06-26,49.0,85.0
2023-03-24,47.0,87.0
2022-12-10,70.0,64.0
2022-10-21,45.0,89.0
2022-10-14,71.0,63.0
2022-10-13,70.0,64.0
2022-07-07,48.0,86.0
2022-05-30,74.0,60.0
2022-05-19,64.0,70.0
2022-05-12,68.0,66.0
2022-03-28,52.0,82.0
2021-10-14,75.0,59.0
2021-09-22,72.0,62.0
2021-07-13,76.0,58.0
2021-05-19,75.0,59.0
2021-05-14,68.0,66.0
2021-05-12,76.0,58.0
2021-04-01,74.0,60.0
2021-02-14,74.0,60.0
