Date,Rest (PSC + VOX + ECP + Cs + PP),Pro-Independence (ERC + Junts + CUP + AC)
2024-04-10,68.0,66.0
2024-03-29,68.0,66.0
2024-03-25,66.0,68.0
2024-03-22,70.0,64.0
2024-03-20,73.0,61.0
2024-03-21,70.0,64.0
2024-03-18,65.0,69.0
2024-03-16,70.0,64.0
2024-03-15,61.0,73.0
2024-03-07,60.0,74.0
2024-03-16,63.0,71.0
2024-02-26,64.0,70.0
2024-02-21,66.0,68.0
2024-01-10,68.0,66.0
2023-11-28,68.0,66.0
2023-11-07,62.0,72.0
2023-10-10,68.0,66.0
2023-09-09,66.0,68.0
2023-06-26,57.0,77.0
2023-03-24,58.0,76.0
2022-12-10,62.0,72.0
2022-10-21,57.0,77.0
2022-10-14,61.0,73.0
2022-10-13,60.0,74.0
2022-07-07,57.0,77.0
2022-05-30,58.0,76.0
2022-05-19,63.0,71.0
2022-05-12,67.0,67.0
2022-03-28,61.0,73.0
2021-10-14,60.0,74.0
2021-09-22,60.0,74.0
2021-07-13,59.0,75.0
2021-05-19,55.0,79.0
2021-05-14,63.0,71.0
2021-05-12,59.0,75.0
2021-04-01,61.0,73.0
2021-02-14,61.0,73.0
