Date,PP,PSOE,Compromís,VOX,Podemos,SALF
2025-02-26,23.3,27.9,22.0,21.9,2.5,
2024-12-04,25.4,24.6,21.4,17.2,3.3,3.1
2024-11-27,25.8,25.9,19.0,17.9,2.3,3.8
2024-11-25,30.2,29.3,14.7,16.4,3.6,
2024-11-16,24.2,30.0,21.4,19.9,2.0,
2024-11-11,30.9,27.5,16.6,16.4,3.5,
2024-11-08,32.3,26.7,15.0,13.1,4.1,5.8
2024-11-08,24.8,29.5,21.5,19.3,1.7,
2024-10-27,38.2,30.4,16.9,10.2,2.5,
2024-10-05,42.2,28.8,11.7,9.1,3.0,3.3
2024-09-30,41.7,31.3,10.6,8.2,3.0,
2024-09-27,40.1,29.3,11.8,11.2,3.1,
2024-07-17,39.8,29.3,13.2,9.8,2.5,3.1
2024-07-13,40.7,30.5,11.4,10.2,3.4,
2024-03-22,41.1,26.8,16.2,10.2,,
2024-02-26,35.8,30.2,16.7,12.1,1.5,
2023-12-21,40.8,27.2,15.8,10.2,,
2023-10-07,39.3,28.1,17.4,11.3,,
2023-05-28,35.7,28.7,14.5,12.6,3.6,
