Date,Podemos,Compromís,PSOE,PP,VOX,SALF
2025-03-15,0.0,15.0,28.0,38.0,15.0,
2025-02-26,0.0,22.0,29.0,25.0,23.0,
2024-12-04,0.0,20.0,28.0,29.0,18.0,0.0
2024-11-27,0.0,20.0,27.0,28.0,19.0,0.0
2024-11-16,0.0,22.0,32.0,25.0,20.0,
2024-11-11,0.0,16.0,31.0,33.0,17.0,
2024-11-08,0.0,15.0,28.0,37.0,14.0,5.0
2024-11-08,0.0,22.0,32.0,25.0,20.0,
2024-10-27,0.0,16.0,33.0,41.0,9.0,
2024-10-05,0.0,12.0,32.0,47.0,8.0,0.0
2024-09-30,0.0,11.0,34.0,46.0,8.0,
2024-09-27,0.0,11.0,32.0,44.0,12.0,
2024-07-17,0.0,13.0,32.0,44.0,9.0,0.0
2024-07-13,0.0,11.0,33.0,46.0,9.0,
2024-03-22,,16.0,28.0,46.0,9.0,
2024-02-26,0.0,16.0,33.0,38.0,12.0,
2023-12-21,,15.0,29.0,45.0,10.0,
2023-10-13,,11.0,33.0,43.0,12.0,
2023-10-07,,17.0,29.0,42.0,11.0,
2023-05-28,0.0,15.0,31.0,40.0,13.0,
