Date,Government,Opposition
2025-04-10,167.0,183.0
2025-04-04,170.0,180.0
2025-03-28,168.0,182.0
2025-03-22,167.0,183.0
2025-03-21,158.0,190.0
2025-03-21,160.0,190.0
2025-03-20,161.0,189.0
2025-03-14,165.0,185.0
2025-03-07,159.0,189.0
2025-03-07,167.0,183.0
2025-03-07,160.0,190.0
2025-02-28,157.0,193.0
2025-02-28,165.0,185.0
2025-02-21,161.0,189.0
2025-02-20,160.0,190.0
2025-02-17,160.0,190.0
2025-02-14,161.0,187.0
2025-02-13,163.0,187.0
2025-02-07,155.0,191.0
2025-02-07,166.0,184.0
2025-02-06,159.0,191.0
2025-02-06,166.0,184.0
2025-01-31,156.0,194.0
2025-01-31,166.0,184.0
2025-01-31,158.0,192.0
2025-01-24,168.0,182.0
2025-01-23,155.0,195.0
2025-01-17,168.0,182.0
2025-01-11,160.0,190.0
2025-01-10,167.0,183.0
2025-01-09,163.0,187.0
2025-01-03,157.0,193.0
2025-01-03,166.0,184.0
2024-12-30,161.0,189.0
2024-12-27,154.0,191.0
2024-12-27,167.0,183.0
2024-12-26,157.0,193.0
2024-12-22,161.0,189.0
2024-12-21,161.0,189.0
2024-12-13,167.0,183.0
2024-12-12,158.0,192.0
2024-12-11,163.0,187.0
2024-12-06,168.0,182.0
2024-12-04,159.0,191.0
2024-11-29,156.0,189.0
2024-11-29,166.0,184.0
2024-11-26,168.0,182.0
2024-11-24,155.0,193.0
2024-11-23,163.0,187.0
2024-11-22,159.0,191.0
2024-11-22,170.0,180.0
2024-11-15,172.0,178.0
2024-11-15,161.0,189.0
2024-11-08,158.0,192.0
2024-11-08,168.0,182.0
2024-10-31,161.0,189.0
2024-10-25,166.0,184.0
2024-10-24,166.0,184.0
2024-10-24,163.0,187.0
2024-10-18,163.0,187.0
2024-10-18,165.0,185.0
2024-10-11,166.0,184.0
2024-10-11,165.0,185.0
2024-10-09,167.0,183.0
2024-10-04,172.0,178.0
2024-09-27,168.0,182.0
2024-09-27,172.0,177.0
2024-09-21,168.0,182.0
2024-09-20,174.0,175.0
2024-09-13,173.0,176.0
2024-09-06,166.0,184.0
2024-09-06,167.0,183.0
2024-09-06,173.0,176.0
2024-08-31,168.0,182.0
2024-08-30,175.0,174.0
2024-08-29,166.0,184.0
2024-08-23,173.0,176.0
2024-08-16,172.0,177.0
2024-08-09,173.0,177.0
2024-08-08,166.0,184.0
2024-07-31,175.0,175.0
2024-07-26,178.0,172.0
2024-07-20,171.0,179.0
2024-07-20,169.0,181.0
2024-07-19,179.0,171.0
2024-07-18,170.0,180.0
2024-07-12,178.0,172.0
2024-07-05,177.0,173.0
2024-07-04,167.0,183.0
2024-06-28,175.0,175.0
2024-06-28,173.0,177.0
2024-06-22,167.0,183.0
2024-06-21,176.0,173.0
2024-06-15,161.0,187.0
2024-06-14,170.0,180.0
2024-06-14,172.0,177.0
2024-05-31,174.0,176.0
2024-05-29,168.0,182.0
2024-05-24,173.0,177.0
2024-05-19,162.0,188.0
2024-05-18,163.0,187.0
2024-05-17,172.0,178.0
2024-05-04,157.0,193.0
2024-05-04,174.0,176.0
2024-04-26,175.0,175.0
2024-04-23,167.0,182.0
2024-04-13,164.0,186.0
2024-04-12,160.0,190.0
2024-04-12,167.0,182.0
2024-04-05,166.0,183.0
2024-04-04,164.0,184.0
2024-03-29,165.0,184.0
2024-03-27,159.0,187.0
2024-03-26,167.0,183.0
2024-03-22,166.0,183.0
2024-03-21,161.0,189.0
2024-03-16,164.0,186.0
2024-03-15,166.0,184.0
2024-03-09,164.0,186.0
2024-03-08,160.0,189.0
2024-03-06,162.0,188.0
2024-03-01,164.0,185.0
2024-02-29,165.0,185.0
2024-02-24,171.0,179.0
2024-02-23,165.0,184.0
2024-02-22,162.0,188.0
2024-02-16,177.0,173.0
2024-02-09,169.0,181.0
2024-02-09,177.0,173.0
2024-02-02,176.0,174.0
2024-02-01,173.0,177.0
2024-01-26,177.0,173.0
2024-01-19,177.0,173.0
2024-01-18,170.0,180.0
2024-01-12,178.0,172.0
2024-01-05,169.0,181.0
2024-01-05,168.0,182.0
2024-01-05,177.0,173.0
2023-12-31,170.0,180.0
2023-12-31,167.0,183.0
2023-12-29,175.0,175.0
2023-12-27,171.0,179.0
2023-12-26,173.0,176.0
2023-12-22,177.0,173.0
2023-12-16,169.0,177.0
2023-12-15,177.0,173.0
2023-12-08,176.0,174.0
2023-12-02,175.0,175.0
2023-12-01,171.0,179.0
2023-11-25,173.0,177.0
2023-11-24,168.0,182.0
2023-11-23,177.0,173.0
2023-11-23,168.0,182.0
2023-11-17,176.0,174.0
2023-11-10,172.0,178.0
2023-11-10,173.0,177.0
2023-11-04,171.0,174.0
2023-11-03,176.0,174.0
2023-11-03,175.0,175.0
2023-11-03,176.0,174.0
2023-10-27,170.0,180.0
2023-10-27,178.0,171.0
2023-10-26,171.0,179.0
2023-10-20,184.0,165.0
2023-10-13,186.0,163.0
2023-10-07,187.0,162.0
2023-10-05,177.0,173.0
2023-09-29,189.0,160.0
2023-09-28,176.0,174.0
2023-09-23,172.0,178.0
2023-09-22,190.0,159.0
2023-09-21,172.0,178.0
2023-09-15,188.0,161.0
2023-09-09,186.0,163.0
2023-09-01,187.0,162.0
2023-08-25,186.0,163.0
2023-08-24,177.0,173.0
2023-08-18,187.0,163.0
2023-08-11,188.0,162.0
2023-08-04,188.0,162.0
2023-07-25,188.0,162.0
2023-07-23,179.0,171.0
