Date,PP,PSOE,VOX,Sumar,ERC,JxCat,EHB,PNV,BNG,CCa,UPN,Podemos,SALF
2025-06-27,152.0,111.0,44.0,12.0,7.0,5.0,6.0,6.0,2.0,1.0,1.0,3.0,0.0
2025-06-27,156.0,97.0,49.0,5.0,8.0,8.0,7.0,6.0,2.0,1.0,1.0,10.0,0.0
2025-06-21,157.0,105.0,42.0,6.0,6.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,
2025-06-21,153.0,105.0,43.0,13.0,7.0,7.0,7.0,5.0,2.0,1.0,1.0,4.0,0.0
2025-06-20,154.0,98.0,47.0,6.0,7.0,8.0,7.0,6.0,2.0,1.0,1.0,10.0,1.0
2025-06-13,150.0,107.0,47.0,6.0,7.0,8.0,7.0,6.0,2.0,1.0,1.0,8.0,0.0
2025-06-12,131.0,112.0,57.0,12.0,7.0,4.0,,,,,,4.0,0.0
2025-06-06,148.0,116.0,38.0,10.0,7.0,8.0,6.0,6.0,2.0,1.0,1.0,7.0,0.0
2025-05-30,150.0,116.0,37.0,9.0,7.0,8.0,6.0,6.0,2.0,1.0,1.0,7.0,0.0
2025-05-29,145.0,110.0,48.0,11.0,7.0,7.0,7.0,6.0,2.0,1.0,1.0,5.0,
2025-05-28,149.0,118.0,39.0,12.0,7.0,5.0,6.0,6.0,2.0,1.0,1.0,4.0,0.0
2025-05-23,150.0,115.0,42.0,8.0,6.0,8.0,6.0,6.0,2.0,1.0,1.0,5.0,
2025-05-23,141.0,120.0,40.0,9.0,7.0,8.0,6.0,6.0,2.0,1.0,1.0,9.0,0.0
2025-05-22,148.0,119.0,40.0,9.0,7.0,7.0,6.0,6.0,2.0,1.0,1.0,4.0,0.0
2025-05-22,151.0,116.0,38.0,9.0,7.0,8.0,7.0,5.0,2.0,1.0,1.0,5.0,0.0
2025-05-21,145.0,128.0,43.0,5.0,7.0,5.0,6.0,6.0,2.0,1.0,0.0,2.0,0.0
2025-05-16,144.0,121.0,38.0,9.0,6.0,8.0,6.0,6.0,2.0,1.0,1.0,8.0,0.0
2025-05-09,144.0,122.0,37.0,9.0,7.0,8.0,6.0,6.0,2.0,1.0,1.0,7.0,0.0
2025-05-06,149.0,119.0,38.0,8.0,7.0,8.0,6.0,5.0,2.0,1.0,1.0,6.0,0.0
2025-05-02,142.0,126.0,36.0,8.0,7.0,8.0,6.0,6.0,2.0,1.0,1.0,7.0,0.0
2025-04-25,150.0,117.0,40.0,7.0,7.0,8.0,7.0,5.0,2.0,1.0,1.0,4.0,0.0
2025-04-25,144.0,122.0,37.0,8.0,7.0,8.0,6.0,6.0,2.0,1.0,1.0,8.0,0.0
