Date,PSOE,PP,Sumar,Podemos,VOX,ERC,JxCat,PNV,EHB,SALF
2025-05-23,28.8,33.1,6.7,4.4,13.9,,,,,1.9
2025-05-23,27.6,34.5,5.4,5.1,14.5,1.6,1.9,1.2,1.3,
2025-05-23,28.3,33.2,5.8,5.6,14.3,1.6,2.0,1.3,1.3,2.0
2025-05-22,28.4,34.1,5.8,4.7,13.7,1.7,1.7,1.1,1.3,2.1
2025-05-22,29.0,34.9,5.4,4.1,13.5,1.6,1.9,1.1,1.4,2.0
2025-05-21,30.4,34.4,5.8,2.7,14.1,1.7,1.5,1.2,1.3,1.7
2025-05-19,28.7,35.9,6.2,5.1,12.3,,,,,
2025-05-16,28.6,33.7,5.4,5.4,14.0,1.5,2.0,1.2,1.3,2.1
2025-05-09,29.5,33.7,5.6,5.5,13.8,1.6,2.0,1.3,1.4,2.0
2025-05-08,32.0,29.3,6.1,4.3,13.7,1.6,1.1,1.1,0.8,1.5
2025-05-06,28.4,34.5,5.7,5.5,13.5,1.7,1.9,1.2,1.3,1.9
2025-05-02,29.8,33.2,5.4,5.4,13.6,1.6,2.0,1.3,1.4,1.9
2025-04-27,29.3,33.9,5.4,3.1,13.4,,,,,2.1
2025-04-25,28.1,33.5,6.5,5.3,14.3,,,,,1.8
2025-04-25,29.5,34.8,5.5,4.0,13.5,1.7,1.9,1.0,1.4,2.2
2025-04-25,29.4,33.7,5.3,5.5,13.9,1.6,1.9,1.3,1.3,2.0
2025-04-18,29.8,33.5,5.8,5.5,14.0,1.6,1.9,1.3,1.3,2.0
2025-04-17,28.6,34.3,5.4,4.4,14.1,1.6,1.8,1.2,1.4,
2025-04-15,27.8,34.2,5.6,4.9,14.6,1.7,1.9,1.2,1.3,
2025-04-15,27.9,33.9,6.9,4.8,12.6,1.7,1.5,1.0,1.1,2.4
2025-04-10,29.5,33.8,5.9,5.2,13.7,1.6,1.9,1.3,1.3,2.1
2025-04-08,30.5,29.5,6.8,4.5,15.0,,,,,1.9
2025-04-08,32.6,26.1,6.2,4.0,15.2,1.7,1.1,0.7,1.0,1.9
2025-04-04,29.9,34.0,6.0,5.0,13.5,1.7,1.8,1.3,1.3,2.1
2025-03-31,29.5,32.6,5.1,3.3,14.1,,,,,2.7
2025-03-28,28.6,35.3,5.5,,13.9,,1.6,,1.4,
2025-03-28,29.0,33.3,6.2,4.7,13.9,1.8,2.0,1.3,1.4,2.0
2025-03-22,28.5,33.5,6.6,4.7,14.0,1.8,1.9,1.3,1.3,2.1
2025-03-21,28.3,34.0,6.5,4.2,13.9,1.7,2.1,1.2,1.3,2.2
2025-03-21,30.2,33.1,5.5,4.3,14.1,,,,,2.0
2025-03-21,28.0,34.4,6.3,5.3,14.0,1.7,1.9,1.2,1.3,1.9
2025-03-20,28.2,33.6,6.4,4.5,14.0,1.7,1.8,1.1,1.4,2.1
2025-03-16,29.1,35.4,6.3,4.5,12.0,,,,,
2025-03-14,29.1,33.2,6.2,4.5,14.4,1.8,2.0,1.3,1.3,2.0
2025-03-07,28.5,34.1,5.8,4.7,14.5,1.6,1.8,1.2,1.4,
2025-03-07,28.5,33.0,6.6,4.8,14.8,1.8,2.0,1.3,1.3,2.2
2025-03-07,34.5,29.2,7.6,3.8,11.7,1.7,1.4,0.9,1.1,1.9
2025-03-07,27.8,33.8,6.4,5.2,12.9,1.6,1.8,0.9,0.8,2.9
2025-03-06,27.0,32.1,7.5,3.3,14.6,1.8,1.4,,,2.5
2025-02-28,27.5,34.3,6.1,5.0,14.7,1.7,1.8,1.0,1.3,1.8
2025-02-28,28.8,32.5,6.5,4.9,15.5,1.7,1.9,1.3,1.3,2.1
2025-02-24,29.6,32.2,5.9,3.6,14.1,,,,,1.9
2025-02-21,29.9,33.1,6.4,4.2,14.2,,,,,2.3
2025-02-21,28.2,33.3,6.2,5.2,15.2,1.7,1.9,1.3,1.3,2.4
2025-02-20,28.0,33.9,6.1,4.7,14.2,1.6,1.8,1.3,1.4,1.9
2025-02-17,27.9,34.3,6.5,5.4,14.2,1.7,1.9,1.1,1.2,2.0
2025-02-14,27.8,33.8,6.6,4.4,14.3,1.8,2.1,1.1,1.4,2.1
2025-02-13,28.4,32.7,6.4,5.5,15.4,1.7,1.9,1.3,1.3,2.6
2025-02-07,27.9,34.8,5.6,4.7,14.3,1.6,1.8,1.1,1.5,
2025-02-07,29.1,32.5,6.0,5.2,15.0,1.7,2.0,1.3,1.3,2.9
2025-02-06,28.0,34.0,6.2,4.6,14.1,1.7,1.7,1.3,1.4,2.1
2025-02-06,30.8,31.0,6.4,4.3,14.5,,,,,1.7
