Date,Govt (PSOE + Sumar + EHB + ERC + PNV + JxCat + Podemos),Right (PP + VOX + SALF)
2025-04-25,39.9,49.599999999999994
2025-04-25,46.0,50.5
2025-04-25,46.29999999999999,49.6
2025-04-18,47.199999999999996,49.5
2025-04-17,44.4,48.4
2025-04-15,44.4,48.800000000000004
2025-04-15,44.9,48.9
2025-04-10,46.699999999999996,49.6
2025-04-08,41.8,46.4
2025-04-08,47.30000000000001,43.199999999999996
2025-04-04,46.99999999999999,49.6
2025-03-31,37.9,49.400000000000006
2025-03-28,37.1,49.199999999999996
2025-03-28,46.4,49.199999999999996
2025-03-22,46.099999999999994,49.6
2025-03-21,45.300000000000004,50.1
2025-03-21,40.0,49.2
2025-03-21,45.699999999999996,50.3
2025-03-20,45.1,49.7
2025-03-16,39.9,47.4
2025-03-14,46.199999999999996,49.6
2025-03-07,45.0,48.6
2025-03-07,46.29999999999999,50.0
2025-03-07,51.0,42.8
2025-03-07,44.5,49.599999999999994
2025-03-06,40.99999999999999,49.2
2025-02-28,44.4,50.8
2025-02-28,46.39999999999999,50.1
2025-02-24,39.1,48.2
2025-02-21,40.5,49.599999999999994
2025-02-21,45.8,50.9
2025-02-20,44.9,49.99999999999999
2025-02-17,45.7,50.5
2025-02-14,45.199999999999996,50.199999999999996
2025-02-13,46.49999999999999,50.7
2025-02-07,44.2,49.099999999999994
2025-02-07,46.6,50.4
2025-02-06,44.900000000000006,50.2
2025-02-06,41.5,47.2
2025-02-06,44.800000000000004,49.5
2025-02-06,49.39999999999999,43.00000000000001
2025-01-31,44.5,50.5
2025-01-31,45.99999999999999,50.300000000000004
2025-01-31,44.00000000000001,50.00000000000001
2025-01-27,37.699999999999996,49.3
2025-01-24,40.0,50.400000000000006
2025-01-24,46.400000000000006,50.199999999999996
2025-01-23,44.300000000000004,51.199999999999996
2025-01-20,40.2,48.699999999999996
2025-01-17,45.800000000000004,50.4
2025-01-11,45.400000000000006,50.50000000000001
2025-01-10,45.4,50.3
2025-01-09,39.9,48.5
2025-01-09,43.99999999999999,50.699999999999996
2025-01-09,47.699999999999996,44.5
2025-01-03,44.6,50.1
2025-01-03,45.9,50.6
2024-12-30,45.5,50.1
2024-12-30,40.4,49.9
2024-12-27,43.9,49.0
2024-12-27,45.4,50.800000000000004
2024-12-26,38.6,49.199999999999996
2024-12-26,44.0,50.099999999999994
2024-12-22,44.60000000000001,49.8
2024-12-21,44.8,51.5
2024-12-13,45.0,50.800000000000004
2024-12-12,44.300000000000004,49.89999999999999
2024-12-11,45.7,46.900000000000006
2024-12-09,48.500000000000014,43.39999999999999
2024-12-06,45.0,49.6
2024-12-04,43.199999999999996,48.3
2024-12-04,44.6,49.8
2024-11-29,44.5,49.0
2024-11-29,44.6,49.9
2024-11-27,37.699999999999996,49.5
2024-11-26,45.0,50.3
2024-11-24,43.199999999999996,51.0
2024-11-23,46.1,48.7
2024-11-22,38.7,49.7
2024-11-22,43.99999999999999,50.199999999999996
2024-11-22,45.39999999999999,49.4
2024-11-15,45.6,49.3
2024-11-15,46.0,49.199999999999996
2024-11-14,37.7,50.4
2024-11-11,40.6,47.300000000000004
2024-11-08,44.8,49.5
2024-11-08,44.300000000000004,49.900000000000006
2024-11-07,40.2,47.9
2024-11-07,49.6,43.1
2024-10-31,45.099999999999994,49.699999999999996
2024-10-25,45.199999999999996,49.3
2024-10-24,45.7,49.0
2024-10-24,45.9,48.9
2024-10-18,38.8,50.099999999999994
2024-10-18,40.800000000000004,48.900000000000006
2024-10-18,44.4,49.800000000000004
2024-10-18,45.99999999999999,49.4
2024-10-11,45.199999999999996,49.6
2024-10-11,46.49999999999999,49.4
2024-10-11,41.5,47.9
2024-10-11,48.3,45.0
2024-10-09,46.300000000000004,49.00000000000001
2024-10-04,46.79999999999999,48.7
2024-09-27,38.5,50.0
2024-09-27,45.29999999999999,48.3
2024-09-27,46.9,48.5
2024-09-26,44.2,48.5
2024-09-21,45.7,48.99999999999999
2024-09-20,36.1,48.0
2024-09-20,47.199999999999996,48.699999999999996
2024-09-19,41.5,48.6
2024-09-13,46.89999999999999,48.800000000000004
2024-09-13,41.4,47.8
2024-09-06,45.5,50.1
2024-09-06,41.5,48.099999999999994
2024-09-06,49.099999999999994,44.5
2024-09-06,46.2,49.199999999999996
2024-09-06,47.1,48.8
2024-08-31,46.0,49.6
2024-08-30,47.19999999999999,48.2
2024-08-29,45.39999999999999,48.4
2024-08-23,44.4,48.8
2024-08-23,39.300000000000004,49.300000000000004
2024-08-23,47.199999999999996,48.7
2024-08-16,46.800000000000004,49.0
2024-08-09,41.1,47.7
2024-08-09,46.99999999999999,48.9
2024-08-08,45.099999999999994,48.3
2024-07-31,47.29999999999999,48.1
2024-07-26,48.39999999999999,47.5
2024-07-22,41.5,48.9
2024-07-20,45.7,48.3
2024-07-20,46.30000000000001,49.699999999999996
2024-07-19,48.9,47.199999999999996
2024-07-18,46.699999999999996,46.699999999999996
2024-07-12,48.3,47.5
2024-07-10,42.900000000000006,47.1
2024-07-05,47.39999999999999,47.300000000000004
2024-07-04,42.0,48.5
2024-07-04,49.10000000000001,45.1
2024-07-04,45.79999999999999,49.60000000000001
2024-06-28,47.2,47.9
2024-06-28,46.1,47.4
2024-06-27,39.5,48.5
2024-06-24,40.1,48.099999999999994
2024-06-22,47.0,49.3
2024-06-21,47.4,48.1
2024-06-15,46.2,49.0
2024-06-14,48.2,47.199999999999996
2024-06-14,46.3,49.599999999999994
2024-06-14,40.1,49.6
2024-06-11,42.7,45.3
2024-06-09,45.5,48.400000000000006
2024-06-06,47.699999999999996,47.2
2024-06-06,42.4,46.99999999999999
2024-06-06,49.5,44.3
2024-05-31,44.900000000000006,45.3
2024-05-31,50.0,45.800000000000004
2024-05-30,41.3,46.9
2024-05-29,47.00000000000001,46.7
2024-05-24,48.89999999999999,46.3
2024-05-19,46.699999999999996,48.6
2024-05-18,45.8,47.8
2024-05-17,48.599999999999994,46.0
2024-05-13,40.7,47.9
2024-05-09,41.0,46.8
2024-05-08,41.6,47.0
2024-05-08,50.4,40.599999999999994
2024-05-04,44.800000000000004,50.5
2024-05-04,49.699999999999996,45.800000000000004
2024-04-26,52.10000000000001,40.2
2024-04-26,49.7,46.0
2024-04-23,49.099999999999994,46.2
