Date,Govt (PSOE + Sumar + EHB + ERC + PNV + JxCat + Podemos),Right (PP + VOX)
2024-01-12,50.400000000000006,45.0
2024-01-09,42.49999999999999,48.0
2024-01-08,42.4,45.6
2024-01-05,46.5,49.6
2024-01-05,51.0,40.400000000000006
2024-01-05,51.0,44.5
2023-12-31,47.199999999999996,47.7
2023-12-31,45.6,49.7
2023-12-29,50.400000000000006,45.2
2023-12-27,47.8,47.8
2023-12-26,47.400000000000006,48.400000000000006
2023-12-22,50.9,45.400000000000006
2023-12-16,46.9,48.1
2023-12-15,41.0,48.1
2023-12-15,43.0,46.1
2023-12-15,50.60000000000001,45.5
2023-12-11,41.6,47.8
2023-12-08,50.1,45.9
2023-12-07,41.3,47.8
2023-12-07,48.8,41.7
2023-12-02,50.2,46.099999999999994
2023-12-01,47.300000000000004,48.8
2023-11-27,41.8,46.5
2023-11-25,48.2,47.5
2023-11-24,46.0,49.300000000000004
2023-11-23,43.8,47.7
2023-11-23,49.8,45.2
2023-11-23,47.900000000000006,48.0
2023-11-18,40.1,48.0
2023-11-17,40.5,47.9
2023-11-17,50.2,46.0
2023-11-17,42.8,45.7
2023-11-13,42.0,47.5
2023-11-10,48.400000000000006,47.4
2023-11-10,49.6,46.6
2023-11-06,48.599999999999994,43.9
2023-11-04,47.99999999999999,47.0
2023-11-03,41.0,46.7
2023-11-03,48.1,47.6
2023-11-03,48.0,47.1
2023-11-03,50.599999999999994,45.8
2023-10-30,42.9,45.900000000000006
2023-10-27,47.00000000000001,48.8
2023-10-27,50.900000000000006,45.400000000000006
2023-10-26,48.300000000000004,47.7
2023-10-22,42.900000000000006,47.3
2023-10-20,42.8,44.800000000000004
2023-10-20,51.9,44.3
2023-10-13,52.49999999999999,43.8
2023-10-10,44.3,44.8
2023-10-07,52.99999999999999,43.1
2023-10-06,50.19999999999999,42.300000000000004
2023-10-05,49.3,46.599999999999994
2023-10-04,42.6,46.4
2023-10-02,43.2,45.900000000000006
2023-09-29,53.4,42.7
2023-09-28,48.9,47.400000000000006
2023-09-23,47.4,48.6
2023-09-22,53.3,42.9
2023-09-21,48.1,47.3
2023-09-17,43.199999999999996,46.2
2023-09-15,52.900000000000006,43.2
2023-09-12,51.0,42.8
2023-09-09,53.400000000000006,44.1
2023-09-07,44.1,45.3
2023-09-01,48.10000000000001,46.9
2023-09-01,53.3,44.2
2023-08-28,44.3,44.699999999999996
2023-08-25,53.0,44.400000000000006
2023-08-24,49.699999999999996,46.900000000000006
2023-08-18,53.0,44.599999999999994
2023-08-11,52.7,44.6
2023-08-07,43.9,44.8
2023-08-04,52.50000000000001,44.599999999999994
2023-07-25,52.1,44.5
2023-07-23,50.1,45.5
