Date,PSOE,PP,Sumar,Podemos,VOX,ERC,JxCat,PNV,EHB
2024-01-05,32.0,35.0,9.4,2.4,9.5,1.9,2.0,1.6,1.7
2023-12-31,30.2,36.4,10.9,,11.3,1.8,1.8,1.1,1.4
2023-12-31,29.2,38.7,10.8,,11.0,1.1,1.8,1.0,1.7
2023-12-29,31.6,35.5,9.4,2.2,9.7,1.9,2.0,1.6,1.7
2023-12-27,30.3,37.0,10.1,1.1,10.8,1.9,1.8,1.1,1.5
2023-12-26,29.8,37.2,11.8,,11.2,2.0,1.6,1.1,1.1
2023-12-22,31.4,35.1,10.2,2.1,10.3,1.9,2.0,1.6,1.7
2023-12-16,30.1,37.1,10.9,,11.0,1.7,1.8,1.1,1.3
2023-12-15,29.9,37.1,8.8,2.3,11.0,,,,
2023-12-15,33.2,36.1,9.8,,10.0,,,,
2023-12-15,31.3,34.9,9.9,2.2,10.6,1.9,2.0,1.6,1.7
2023-12-11,29.6,35.5,12.0,,12.3,,,,
2023-12-08,31.2,35.4,9.4,2.6,10.5,1.9,1.9,1.5,1.6
2023-12-07,29.0,37.0,12.3,,10.8,,,,
2023-12-07,31.8,33.2,11.8,,8.5,1.9,1.3,0.9,1.1
2023-12-02,31.7,34.9,11.3,,11.2,1.9,2.0,1.6,1.7
2023-12-01,30.5,37.4,11.1,,11.4,2.1,1.4,1.1,1.1
2023-11-27,30.5,35.0,11.3,,11.5,,,,
2023-11-27,,37.3,11.3,,11.4,2.1,1.4,,
2023-11-25,30.8,36.2,11.4,,11.3,1.7,1.8,1.1,1.4
2023-11-24,30.1,38.7,10.2,,10.6,1.1,2.1,0.8,1.7
2023-11-23,27.3,35.2,12.5,,12.5,2.0,2.0,,
2023-11-23,31.8,34.4,11.2,,10.8,1.8,1.9,1.5,1.6
2023-11-23,30.7,36.2,11.0,,11.8,1.9,1.7,1.2,1.4
2023-11-18,29.0,36.9,11.1,,11.1,,,,
2023-11-17,28.8,36.3,11.7,,11.6,,,,
2023-11-17,31.1,34.5,12.0,,11.5,1.9,1.9,1.6,1.7
2023-11-17,32.9,36.0,9.9,,9.7,,,,
2023-11-13,30.3,35.9,11.7,,11.6,,,,
2023-11-10,30.6,36.5,11.3,,10.9,2.0,1.9,1.1,1.5
2023-11-10,31.1,35.0,11.6,,11.6,1.8,1.8,1.6,1.7
2023-11-06,31.3,33.9,11.8,,10.0,1.9,1.4,0.9,1.3
2023-11-04,31.0,35.8,11.0,,11.2,1.8,1.8,1.0,1.4
2023-11-03,31.1,37.2,9.9,,9.5,,,,
2023-11-03,31.2,36.7,11.2,,10.9,1.9,1.5,1.1,1.2
2023-11-03,29.7,35.5,12.0,,11.6,1.8,2.0,1.1,1.4
2023-11-03,31.7,34.4,11.6,,11.4,1.9,2.0,1.6,1.8
2023-10-30,31.2,34.7,11.7,,11.2,,,,
2023-10-27,30.2,37.8,11.0,,11.0,1.1,2.1,1.0,1.6
2023-10-27,32.1,34.2,11.8,,11.2,1.8,1.9,1.6,1.7
2023-10-26,31.3,35.6,11.2,,12.1,1.7,1.7,1.1,1.3
2023-10-22,32.6,34.9,10.3,,12.4,,,,
2023-10-20,32.6,34.7,10.2,,10.1,,,,
2023-10-20,32.2,33.8,12.5,,10.5,1.8,1.9,1.7,1.8
2023-10-13,32.1,33.4,13.2,,10.4,1.9,1.9,1.6,1.8
2023-10-11,,,,,,,,,
2023-10-10,32.3,34.1,12.0,,10.7,,,,
2023-10-07,32.1,32.6,13.7,,10.5,1.9,1.9,1.6,1.8
2023-10-06,32.6,32.2,12.7,,10.1,1.9,1.3,0.8,0.9
2023-10-05,31.8,34.9,11.6,,11.7,1.7,1.8,1.0,1.4
2023-10-04,30.8,34.5,11.8,,11.9,,,,
2023-10-02,32.1,34.2,11.1,,11.7,,,,
2023-09-29,32.1,31.9,14.1,,10.8,1.9,1.9,1.6,1.8
2023-09-28,30.8,36.1,12.5,,11.3,1.8,1.6,1.0,1.2
2023-09-23,30.9,37.0,10.8,,11.6,1.4,1.9,0.9,1.5
2023-09-22,32.3,31.9,14.1,,11.0,1.8,1.8,1.6,1.7
2023-09-21,30.9,35.4,11.5,,11.9,1.6,1.7,1.0,1.4
2023-09-17,32.3,34.1,10.9,,12.1,,,,
2023-09-15,32.5,32.1,14.0,,11.1,1.6,1.7,1.5,1.6
2023-09-12,33.5,31.7,11.9,,11.1,1.7,1.7,0.9,1.3
2023-09-09,33.2,32.5,14.0,,11.6,1.6,1.6,1.4,1.6
2023-09-07,31.8,33.6,12.3,,11.7,,,,
2023-09-01,31.0,35.5,11.2,,11.4,1.7,1.7,1.1,1.4
2023-09-01,33.4,32.6,14.0,,11.6,1.5,1.5,1.3,1.6
2023-08-28,32.3,33.8,12.0,,10.9,,,,
2023-08-25,33.5,32.7,13.9,,11.7,1.4,1.5,1.2,1.5
2023-08-24,31.7,34.2,12.4,,12.7,1.8,1.5,1.0,1.3
2023-08-18,33.6,32.8,13.7,,11.8,1.4,1.6,1.2,1.5
2023-08-11,33.4,32.5,13.6,,12.1,1.4,1.6,1.2,1.5
2023-08-07,31.2,31.9,12.7,,12.9,,,,
2023-08-04,33.2,32.3,13.4,,12.3,1.5,1.7,1.2,1.5
2023-07-25,33.0,31.8,13.1,,12.7,1.6,1.8,1.2,1.4
2023-07-23,31.7,33.1,12.3,,12.4,1.9,1.7,1.1,1.4
