Date,PP,CpM,PSOE,VOX,Cs,UP,AM
14 Dec 2022,32.6,43.9,7.0,11.8,0.2,0.0,0.0
5 Nov 2022,36.7,41.0,6.7,9.9,0.1,0.0,0.0
11 Sep 2022,36.7,37.0,7.8,13.6,0.1,0.0,0.0
12 Jul 2022,33.7,33.0,12.9,16.4,1.2,1.0,1.8
12 Jun 2022,34.1,38.9,8.3,13.5,0.1,0.0,0.0
12 May 2022,32.8,33.5,12.9,16.5,1.2,1.2,1.8
3 Apr 2022,31.8,39.7,7.5,16.4,0.3,0.0,0.0
30 Mar 2022,32.3,33.7,13.1,16.5,1.2,1.2,1.8
18 Dec 2021,34.3,38.1,9.5,12.6,0.3,0.0,0.0
13 Dec 2021,32.5,36.3,11.8,14.8,0.0,0.0,0.0
13 Nov 2021,36.6,33.2,12.5,14.9,1.7,0.0,0.0
3 Sep 2021,36.1,34.3,12.7,10.3,0.6,0.0,0.0
5 Jun 2021,34.2,32.5,13.0,15.0,1.2,0.0,0.0
3 Mar 2021,33.1,34.3,10.5,16.4,0.7,0.0,0.0
15 Feb 2021,37.0,34.7,13.6,10.5,2.0,0.0,0.0
12 Dec 2020,34.1,38.9,9.7,11.7,1.9,0.0,0.0
27 Sep 2020,37.0,35.7,12.8,9.9,1.2,0.0,0.0
18 Jul 2020,39.0,35.9,14.7,6.8,0.9,0.0,0.0
23 Jun 2020,39.1,32.7,14.9,9.5,1.8,0.0,0.0
15 May 2020,43.9,28.9,14.4,6.9,3.2,0.0,0.0
7 May 2020,46.5,29.7,12.7,6.3,2.4,0.0,0.0
18 Feb 2020,40.1,37.3,11.8,5.1,2.8,0.0,0.0
26 May 2019,37.8,30.6,14.4,7.8,5.6,1.2,0.0
