Date,PSOE,PP,Cs,UP,PR+,VOX
13 Dec 2022,39.8,39.5,3.0,7.2,4.3,6.2
2 Dec 2022,44.9,32.7,0.6,6.3,0.6,5.7
1 May 2022,31.0,47.0,3.9,5.4,6.5,6.3
14 Mar 2022,40.1,34.8,2.9,8.1,4.4,8.4
2 Feb 2022,39.7,36.7,3.1,7.7,4.3,7.7
12 Dec 2021,35.8,35.3,4.0,6.6,5.1,11.6
12 Sep 2021,40.5,38.1,3.8,5.6,4.4,6.1
23 Jul 2021,39.8,38.9,2.9,5.1,4.6,7.3
23 Mar 2021,41.5,35.1,4.6,5.3,4.3,5.6
31 Jan 2021,37.5,35.4,6.3,6.3,4.9,8.3
3 Jun 2020,33.5,37.1,5.9,7.8,4.2,9.1
15 May 2020,42.9,34.8,6.4,4.7,4.7,5.5
6 May 2020,30.0,34.8,7.9,6.0,5.8,6.0
26 May 2019,38.7,33.1,11.5,6.6,4.6,3.9
