Date,PRC,PP,PSOE,Cs,VOX,UP
2 Dec 2022,14.7,28.8,28.6,2.6,11.0,7.0
13 Aug 2022,28.9,28.9,18.3,2.0,11.4,7.5
6 Mar 2022,31.5,26.1,19.5,3.9,10.0,5.0
27 Feb 2022,29.9,27.6,20.0,2.3,10.3,7.1
1 Dec 2021,30.0,27.5,20.0,2.0,10.0,7.0
31 May 2021,28.2,28.1,20.7,2.5,10.5,6.0
28 Apr 2021,26.1,28.9,21.7,2.9,9.8,6.1
28 Feb 2021,32.5,24.8,20.0,4.8,10.2,5.800000000000001
25 Oct 2020,31.0,22.4,16.6,3.9,17.9,5.6
15 May 2020,32.5,30.0,18.6,5.0,5.9,4.9
8 May 2020,37.9,21.2,20.4,4.3,6.8,7.0
7 Feb 2020,32.5,22.4,22.5,3.9,8.6,7.1
26 May 2019,37.6,24.0,17.6,7.9,5.1,5.0
