Date,PP,PSOE,VOX,MDyC,Caballas,Cs,CY!,CA
14 Sep 2022,36.3,20.2,18.4,7.1,0.0,0.4,6.0,9.9
10 Jul 2022,25.4,20.8,31.9,9.2,0.0,0.0,7.2,2.2
3 Feb 2022,33.8,27.4,23.4,5.1,0.0,1.4,5.7,0.0
19 Dec 2021,23.8,22.1,32.9,11.6,0.0,0.0,5.8,0.0
30 Sep 2021,28.6,23.6,25.7,10.3,9.0,1.5,0.0,0.0
23 May 2021,26.6,23.3,28.2,10.1,7.8,0.0,0.0,0.0
15 Feb 2021,31.7,21.1,22.4,10.2,10.4,1.9,0.0,0.0
12 Dec 2020,25.0,20.1,28.3,8.9,12.7,0.0,0.0,0.0
26 Sep 2020,38.9,22.1,15.6,10.9,8.9,2.3,0.0,0.0
13 Sep 2020,29.8,20.5,23.4,11.4,9.7,0.0,0.0,0.0
23 Jun 2020,35.4,26.1,14.5,8.3,9.2,1.8,0.0,0.0
26 May 2020,39.3,18.2,8.4,16.8,12.0,1.4,0.0,0.0
15 May 2020,40.0,24.2,16.4,7.6,6.4,2.4,0.0,0.0
2 Feb 2020,39.1,24.9,7.9,12.5,10.1,1.6,0.0,0.0
