Date,Opposition,Government
2024-01-12,51.6,46.5
2023-11-11,52.2,46.0
2023-11-10,52.7,45.1
2023-09-22,53.1,45.8
2023-09-08,52.6,45.4
2023-08-11,51.8,46.4
2023-06-09,57.0,40.8
2023-06-26,53.4,45.2
2023-06-16,52.2,45.9
2023-06-11,52.2,45.5
2023-05-30,52.9,45.3
2023-05-14,52.2,46.2
2023-05-05,51.5,46.2
2023-04-22,51.8,46.6
2023-04-21,52.2,47.1
2023-04-08,51.4,46.9
2023-04-07,51.1,47.1
2023-03-17,53.2,45.5
2023-03-03,51.2,46.8
2023-02-18,52.9,45.7
2023-02-11,51.4,45.8
2023-02-04,52.3,45.9
2023-01-29,53.8,44.7
2023-01-28,51.0,47.0
2023-01-22,49.2,49.9
2023-01-21,52.7,46.3
2023-01-07,51.6,46.8
2023-01-02,52.9,45.8
2022-12-17,53.0,45.0
2022-12-10,52.2,45.8
2022-12-04,51.4,46.5
2022-11-27,53.7,44.7
2022-11-26,53.0,44.0
2022-11-12,53.9,45.0
2022-11-07,52.2,46.3
2022-10-29,53.6,45.1
2022-10-25,54.9,43.3
2022-10-22,51.6,47.2
2022-10-15,54.4,44.2
2022-10-10,49.8,48.1
2022-10-01,54.1,44.3
2022-09-17,54.4,44.0
2022-09-12,53.8,45.0
2022-09-03,53.4,44.8
2022-08-20,55.6,43.2
2022-08-15,57.2,41.2
2022-07-30,54.7,43.7
2022-07-16,53.0,45.0
2022-07-07,52.3,45.8
2022-06-25,50.3,47.7
2022-06-21,53.8,44.9
2022-06-19,52.7,45.7
2022-06-18,54.0,44.0
2022-06-07,50.8,47.3
2022-06-04,52.4,46.5
2022-05-24,54.2,44.2
2022-05-21,54.4,43.1
2022-05-11,53.1,45.1
2022-05-10,54.0,44.0
2022-04-30,55.0,43.5
2022-04-24,51.3,46.8
2022-04-23,54.0,43.8
2022-04-13,52.8,45.5
2022-04-12,51.9,46.0
2022-04-03,50.8,47.8
2022-04-02,54.2,44.5
2022-03-26,54.2,43.7
2022-03-16,52.5,45.8
2022-03-15,52.6,46.3
2022-03-06,49.7,48.6
2022-02-26,52.4,45.7
2022-02-26,54.2,44.6
2022-02-16,52.6,45.5
2022-02-15,52.0,46.8
2022-02-06,50.6,46.8
2022-01-29,54.5,43.9
2022-01-29,53.9,44.1
2022-01-19,53.5,44.8
2022-01-09,49.9,48.2
2022-01-01,52.3,46.1
2022-09-11,48.9,49.6
