Date,V,S,MP,C,L,M,KD,SD
2025-06-24,7.3,36.7,5.3,5.3,2.8,18.2,3.8,19.0
2025-06-13,7.4,35.3,5.5,5.4,2.1,18.3,3.8,20.2
2025-06-08,7.6,34.7,5.1,5.9,2.4,18.6,3.7,19.3
2025-05-28,7.1,36.2,6.5,5.5,2.8,18.3,3.4,18.0
2025-05-26,6.9,34.7,6.4,5.7,2.0,17.9,4.3,19.6
2025-05-25,7.7,36.0,5.6,5.8,2.7,17.4,3.3,20.0
2025-05-18,7.5,34.5,5.0,6.5,2.6,18.5,2.9,20.4
2025-05-04,7.6,35.6,5.7,4.8,2.8,18.1,4.4,18.9
2025-04-28,7.6,35.4,5.7,4.1,2.8,21.1,3.0,18.2
2025-04-22,7.6,33.6,6.6,4.8,2.4,20.3,3.9,18.3
2025-04-21,8.0,37.0,6.0,5.0,2.0,19.0,3.0,19.0
2025-04-21,8.1,36.7,4.6,4.3,2.5,19.9,3.2,19.2
2025-04-06,7.7,35.5,5.9,3.6,2.8,20.3,3.4,18.7
2025-03-30,7.5,33.9,6.6,4.2,2.7,18.8,4.6,19.7
2025-03-16,8.6,34.6,5.3,4.3,2.6,20.3,3.2,19.4
2025-03-16,8.0,35.0,5.0,4.0,3.0,20.0,3.0,20.0
2025-03-09,7.6,34.2,6.2,4.2,2.8,19.2,4.4,19.2
2025-02-25,7.8,36.3,5.6,4.5,3.2,18.9,2.7,19.6
2025-02-24,8.0,32.8,6.6,5.1,2.8,19.7,4.0,19.2
2025-02-21,6.9,35.4,5.8,4.2,3.0,19.4,3.0,20.5
2025-01-12,7.2,33.7,6.1,4.6,2.9,19.3,4.0,20.3
2025-01-06,7.1,33.8,6.2,4.8,3.4,18.6,3.2,21.6
2024-11-11,8.0,32.0,7.5,4.7,2.8,19.5,4.0,19.7
2024-11-10,7.7,34.5,5.9,4.5,3.0,19.1,4.1,19.4
2024-09-22,7.8,33.5,6.8,5.0,3.4,19.7,3.5,19.2
2024-09-08,8.7,33.0,6.0,5.0,3.2,20.3,3.2,18.7
2024-08-11,8.1,32.7,6.1,4.9,2.9,20.0,3.6,19.9
2024-06-09,11.1,24.8,13.9,7.3,4.4,17.5,5.7,13.2
2024-06-26,9.9,31.0,7.2,5.3,3.7,19.2,3.7,18.6
2024-06-16,8.5,32.7,5.6,5.4,3.3,19.1,4.6,18.9
2024-06-11,9.1,33.0,5.8,4.3,2.6,18.3,3.4,21.3
2024-05-30,8.2,35.0,5.2,4.5,3.2,19.8,2.8,19.5
2024-05-14,7.9,35.1,5.0,4.2,2.3,19.3,3.6,21.0
2024-05-05,7.8,34.3,5.1,4.3,3.6,18.9,3.5,20.2
2024-04-22,8.7,33.6,5.1,4.4,2.7,20.1,2.9,20.9
2024-04-21,7.7,34.6,4.9,5.0,3.7,20.5,3.3,19.6
2024-04-08,7.8,35.2,4.4,4.0,2.7,20.2,3.2,20.8
2024-04-07,7.7,34.7,4.5,4.2,3.4,20.5,3.7,19.5
2024-03-17,7.8,36.2,4.6,4.6,3.1,19.5,3.8,19.1
2024-03-03,8.4,33.8,4.5,4.6,2.9,19.6,3.6,20.7
2024-02-18,8.9,35.4,3.8,4.8,3.3,18.7,3.2,20.5
2024-02-11,6.6,36.6,4.2,4.0,2.8,18.6,3.3,21.1
2024-02-04,7.8,35.7,4.5,4.3,3.4,17.5,3.6,21.4
2024-01-29,8.2,36.6,4.5,4.5,3.1,17.3,3.2,21.1
2024-01-28,9.0,34.0,4.0,5.0,3.0,18.0,4.0,21.0
2024-01-22,7.2,33.4,4.2,4.4,5.0,18.6,3.0,23.3
2024-01-21,7.8,35.4,4.4,5.1,3.1,18.5,3.6,21.1
2024-01-07,7.0,35.9,4.7,4.0,3.3,17.2,3.8,22.5
2024-01-02,7.2,37.0,5.3,3.4,2.7,17.5,2.6,23.0
2023-12-17,9.0,35.0,4.0,5.0,3.0,15.0,3.0,24.0
2023-12-10,7.8,35.7,4.4,4.3,2.7,17.0,3.6,22.5
2023-12-04,7.2,34.9,5.1,4.2,3.2,16.0,3.1,24.2
2023-11-27,7.3,38.3,4.3,3.8,3.2,16.2,2.7,22.6
2023-11-26,8.0,36.0,5.0,4.0,3.0,16.0,4.0,21.0
2023-11-12,7.7,37.8,4.2,4.2,2.7,17.4,2.8,22.1
2023-11-07,8.9,36.0,3.9,3.4,2.5,17.2,4.3,22.3
2023-10-29,7.3,37.6,4.7,3.7,3.0,17.4,3.5,21.2
2023-10-25,8.1,37.9,4.8,4.1,2.3,16.1,2.9,22.0
2023-10-22,7.0,35.2,4.4,5.0,3.7,19.7,3.2,20.6
2023-10-15,7.4,37.8,4.4,4.8,2.7,18.2,2.6,20.7
2023-10-10,7.6,33.1,4.5,4.6,4.9,18.0,2.9,22.3
2023-10-01,8.1,37.4,4.6,4.0,3.0,17.5,3.6,20.2
2023-09-17,7.8,37.0,5.7,3.9,3.0,19.1,3.7,18.2
2023-09-12,8.6,37.2,4.2,3.8,2.8,17.3,4.1,20.8
