Date,V,S,MP,C,L,M,KD,SD
2022-09-11,6.8,30.3,5.1,6.7,4.6,19.1,5.3,20.5
2022-09-07,7.4,29.5,6.2,7.0,5.8,17.1,6.1,20.2
2022-09-06,8.0,27.8,5.7,8.6,4.8,17.3,5.9,20.6
2022-09-06,7.0,30.1,5.8,7.1,5.0,17.0,6.2,21.0
2022-09-07,8.6,26.4,7.9,6.5,6.8,16.2,6.9,19.8
2022-09-06,7.7,27.9,7.5,7.0,5.4,17.7,6.3,19.7
2022-09-05,7.5,28.7,5.6,8.8,4.4,17.9,6.1,19.9
2022-09-05,7.7,27.7,8.1,7.4,5.5,18.6,6.0,18.1
2022-09-04,6.9,30.0,5.7,7.7,4.7,18.6,5.5,20.0
2022-09-04,8.0,28.9,5.5,8.8,4.2,17.4,6.6,20.0
2022-09-04,7.5,29.4,5.1,8.2,5.1,17.6,6.2,19.6
2022-09-06,8.4,28.4,5.3,7.6,4.2,18.2,6.2,20.4
2022-09-04,7.2,30.0,7.8,7.5,4.8,17.6,5.9,18.8
2022-09-03,7.7,28.5,4.8,7.6,5.9,18.1,6.2,19.4
2022-09-03,8.2,29.8,4.8,7.5,4.3,18.1,6.8,19.8
2022-09-07,7.8,28.7,4.8,7.5,4.9,18.0,5.9,20.6
2022-09-04,8.3,29.2,4.3,8.1,5.3,18.3,5.3,20.5
2022-09-03,7.3,31.1,7.6,8.3,5.4,16.6,5.4,18.0
2022-09-02,7.4,28.5,4.8,7.8,5.8,17.3,6.6,20.1
2022-09-02,8.5,28.7,4.9,7.0,4.4,17.6,7.1,21.0
2022-09-02,8.1,30.9,6.6,8.1,5.5,16.2,5.1,18.8
2022-09-01,8.8,26.5,5.4,6.7,5.1,18.7,7.1,20.9
2022-09-01,7.6,29.0,4.9,7.5,6.2,16.8,6.3,20.0
2022-09-01,8.8,30.4,5.7,8.0,7.4,14.8,5.6,18.4
2022-08-31,8.4,26.6,5.9,6.8,5.3,18.9,7.2,20.0
