Date,Opposition,Government
2024-04-08,194,155
2024-04-07,195,154
2024-03-17,202,147
2024-03-03,195,154
2024-02-18,194,155
2024-02-11,197,152
2024-02-04,200,149
2024-01-29,204,145
2024-01-28,191,158
2024-01-22,179,170
2024-01-21,199,150
2024-01-07,197,152
2024-01-02,190,159
2023-12-17,201,148
2023-12-10,199,150
2023-12-04,195,154
2023-11-27,196,153
2023-11-26,198,151
2023-11-12,201,148
2023-11-07,177,172
2023-10-29,196,153
2023-10-25,206,143
2023-10-22,196,153
2023-10-15,204,145
2023-10-10,179,170
2023-10-01,204,145
2023-09-17,201,148
2023-09-12,189,160
2023-09-03,196,153
2023-08-20,211,138
2023-08-15,213,136
2023-07-30,207,142
2023-07-16,201,148
2023-07-07,192,157
2023-06-25,180[citation needed] [under discussion],169
2023-06-21,204,145
2023-06-19,196,153
2023-06-18,200,149
2023-06-07,181[citation needed] [under discussion],168
2023-06-04,199,150
2023-05-24,207,142
2023-05-21,209,140
2023-05-11,194,155
2023-05-10,200,149
2023-04-30,210,139
2023-04-24,184,165
2023-04-23,207,142
2023-04-13,201,148
2023-04-12,193,156
2023-04-03,189,160
2023-04-02,208,141
2023-03-26,200,149
2023-03-16,179,170
2023-03-15,193,156
2023-03-06,179,171
2023-02-26,197,152
2023-02-26,206,143
2023-02-16,194,155
2023-02-15,184,165
2023-02-06,182,167
2023-01-29,199,150
2023-01-29,200,149
2023-01-19,196,153
2023-01-09,179,170
2023-01-01,193,156
2022-12-18,192,157
2022-12-15,198,151
2022-12-07,176,173
2022-12-06,177,172
2022-11-28,202,147
2022-11-27,191,158
2022-11-24,185,164
2022-11-17,192,157
2022-11-07,166,183
2022-11-01,168,181
2022-10-30,178,171
2022-10-23,173,176
2022-10-13,176,173
2022-10-08,171,178
2022-10-04,167,182
2022-10-02,174,175
2022-09-25,177,172
2022-09-11,173,176
