Date,DPP,KMT,TPP,Other/Undecided
2023-10-25,33.7,24.6,23.9,17.8
2023-10-24,34.0,26.0,29.0,10.0
2023-10-17,29.7,21.1,25.6,23.6
2023-10-16,32.1,18.7,24.8,24.4
2023-10-16,34.7,27.4,25.5,12.3
2023-10-14,42.85,22.87,26.09,8.2
2023-10-03,32.2,20.0,26.8,21.1
2023-09-26,36.0,26.0,28.0,11.0
2023-09-25,30.0,20.0,21.0,30.0
2023-09-24,33.3,16.4,28.0,22.3
2023-09-24,34.9,16.8,20.8,27.5
2023-09-21,40.0,22.4,21.6,15.9
2023-09-20,33.4,17.2,27.4,22.1
2023-09-14,29.2,21.5,19.6,29.7
2023-09-09,36.5,29.5,22.9,11.0
2023-08-28,34.3,16.2,27.1,22.4
2023-08-24,42.5,17.0,21.1,19.3
2023-08-24,37.0,22.0,28.0,13.0
2023-08-21,35.8,17.9,29.6,16.6
2023-08-20,35.4,25.6,24.2,14.9
2023-08-19,40.99,22.79,25.8,10.12
2023-08-15,43.4,13.6,26.6,16.3
2023-08-13,33.4,15.9,23.2,27.4
2023-08-02,32.3,15.8,23.1,28.8
2023-08-01,33.5,21.4,29.57,15.53
2023-07-30,35.6,24.3,28.8,11.3
2023-07-26,33.0,25.0,32.0,10.0
2023-07-25,35.1,19.9,24.0,20.4
2023-07-20,33.8,15.6,24.9,6.0
2023-07-18,36.4,20.2,27.8,15.7
2023-07-16,38.48,21.29,28.34,11.89
2023-07-16,30.2,15.3,25.4,29.1
2023-07-12,32.4,17.6,25.9,24.1
2023-07-10,34.8,19.3,30.8,15.0
2023-07-06,35.5,17.2,24.2,23.1
2023-07-02,29.9,16.0,29.8,23.8
2023-07-02,34.0,17.0,25.0,24.0
2023-07-01,32.77,21.31,30.74,15.19
2023-07-01,29.3,18.5,30.8,21.4
2023-06-29,35.9,17.1,28.6,18.4
2023-06-20,31.89,17.93,24.62,21.97
2023-06-16,30.0,23.0,33.0,14.0
2023-06-13,36.5,20.4,29.1,14.0
2023-06-10,37.8,21.9,31.3,9.1
2023-06-09,31.2,17.9,21.5,29.4
2023-06-01,35.7,25.9,24.9,13.5
2023-05-30,35.4,22.6,25.5,16.5
2023-05-25,35.8,18.3,25.9,20.0
2023-05-25,36.4,27.7,23.1,12.8
2023-05-24,34.0,23.0,23.0,20.0
2023-05-23,26.6,24.7,21.1,27.6
2023-05-21,28.0,24.0,22.0,27.0
2023-05-18,29.8,29.2,20.8,20.2
2023-05-18,27.0,30.0,23.0,20.0
