Date,DPP,KMT,TPP,Other
2020-01-11,57.13,38.61,,4.26
2024-01-01,38.9,35.8,22.4,2.8
2023-12-31,35.6,24.1,24.2,16.2
2023-12-31,35.4,33.4,22.1,3.1
2023-12-30,33.0,30.0,24.0,13.0
2023-12-30,32.0,27.0,21.0,20.0
2023-12-29,35.8,27.3,22.1,14.8
2023-12-29,33.7,23.7,27.7,14.8
2023-12-29,36.89,32.83,28.64,1.63
2023-12-28,36.6,33.8,22.2,7.4
2023-12-28,37.0,33.0,22.0,9.0
2023-12-27,30.9,27.9,23.8,17.5
2023-12-26,38.1,34.8,19.2,7.8
2023-12-25,33.3,26.5,23.2,17.0
2023-12-25,29.5,22.7,27.8,20.1
2023-12-24,32.4,28.2,24.6,14.8
2023-12-21,38.2,33.9,16.1,11.7
2023-12-21,36.2,34.8,20.7,8.2
2023-12-21,33.0,32.0,24.0,11.0
2023-12-20,32.5,27.2,26.7,13.6
2023-12-17,31.0,31.0,21.0,17.0
2023-12-16,31.4,29.6,20.5,18.5
2023-12-15,38.5,35.1,19.6,6.8
2023-12-12,34.7,28.8,21.2,15.3
2023-12-12,36.0,32.0,22.0,9.0
2023-12-11,33.5,25.2,23.7,17.5
2023-11-28,36.6,30.5,17.7,15.3
2023-11-28,41.12,31.05,25.31,2.52
2023-11-26,34.0,31.0,23.0,12.0
2023-11-26,31.0,29.0,21.0,20.0
2023-11-24,34.8,32.5,21.2,11.6
2023-10-25,33.7,24.6,23.9,17.8
2023-10-24,34.0,26.0,29.0,10.0
2023-10-17,29.7,21.1,25.6,23.6
2023-10-16,32.1,18.7,24.8,24.4
2023-10-03,32.2,20.0,26.8,21.1
2023-09-26,36.0,26.0,28.0,11.0
2023-09-24,33.3,16.4,28.0,22.3
2023-09-24,34.9,16.8,20.8,27.5
2023-09-21,40.0,22.4,21.6,15.9
2023-09-20,33.4,17.2,27.4,22.1
2023-08-28,34.3,16.2,27.1,22.4
2023-08-24,42.5,17.0,21.1,19.3
2023-08-24,37.0,22.0,28.0,13.0
2023-08-21,35.8,17.9,29.6,16.6
2023-08-15,43.4,13.6,26.6,16.3
2023-08-13,33.4,15.9,23.2,27.4
2023-07-26,33.0,25.0,32.0,10.0
2023-07-25,35.1,19.9,24.0,20.4
2023-07-18,36.4,20.2,27.8,15.7
2023-07-16,30.2,15.3,25.4,29.1
2023-07-10,34.8,19.3,30.8,15.0
2023-07-02,29.9,16.0,29.8,23.8
2023-07-02,34.0,17.0,25.0,24.0
2023-07-01,29.3,18.5,30.8,21.4
2023-06-29,35.9,17.1,28.6,18.4
2023-06-20,31.89,17.93,24.62,21.97
2023-06-16,30.0,23.0,33.0,14.0
2023-06-13,36.5,20.4,29.1,14.0
2023-06-01,35.7,25.9,24.9,13.5
2023-05-30,35.4,22.6,25.5,16.5
2023-05-25,35.8,18.3,25.9,20.0
2023-05-24,34.0,23.0,23.0,20.0
2023-05-23,26.6,24.7,21.1,27.6
2023-05-18,29.8,29.2,20.8,20.2
2023-05-18,27.0,30.0,23.0,20.0
