Date,Erdoğan,Kılıçdaroğlu,Oğan,İnce
2023-05-09,46.9,49.1,2.7,1.3
2023-05-02,44.6,50.1,3.0,2.3
,50.6,44.8,1.7,2.9
2023-05-08,46.1,49.1,3.5,1.3
2023-05-04,48.6,46.9,2.4,2.1
2023-05-03,44.5,49.96,2.3,3.2
2023-05-02,44.7,50.2,2.3,2.8
,43.6,50.9,3.0,2.5
,45.4,50.9,2.0,1.7
2023-05-01,44.8,44.1,5.8,5.3
2023-05-03,50.8,41.9,3.6,3.7
2023-05-03,46.4,49.1,2.2,2.3
2023-05-02,44.3,52.7,1.6,1.4
2023-05-02,47.8,45.9,3.0,3.3
2023-05-02,48.8,44.1,3.5,3.6
2023-05-02,49.1,46.3,1.9,2.7
2023-05-02,47.5,47.0,2.2,3.3
2023-05-01,44.6,48.0,3.1,4.3
2023-04-30,42.5,48.6,5.2,3.7
2023-04-30,43.3,51.9,2.3,2.7
2023-04-30,47.2,49.1,1.3,2.3
2023-04-29,48.9,45.8,2.4,2.9
2023-04-28,41.9,47.3,5.0,5.8
2023-04-28,44.1,51.7,1.2,3.0
2023-04-28,48.6,44.1,3.0,4.3
2023-04-27,51.1,42.0,2.8,4.1
2023-04-27,44.8,53.1,0.5,1.6
2023-04-26,44.6,48.7,2.0,4.7
2023-04-26,44.4,47.4,2.1,6.1
2023-04-25,48.7,46.6,1.1,3.6
2023-04-25,41.5,49.5,2.5,6.5
2023-04-24,43.7,49.4,2.4,4.5
2023-04-22,42.4,49.3,2.2,6.1
2023-04-20,51.4,41.8,2.2,4.6
2023-04-18,47.1,49.4,2.3,1.2
2023-04-20,46.7,46.8,2.6,3.9
2023-04-16,43.0,48.6,2.8,5.8
2023-04-16,46.1,44.1,2.1,7.7
2023-04-16,38.4,47.9,4.8,9.0
2023-04-16,43.7,47.8,1.1,3.4
2023-04-14,50.8,43.1,1.6,4.5
2023-04-13,45.6,49.2,1.3,3.9
2023-04-12,43.9,47.4,2.2,6.5
2023-04-11,41.5,48.9,2.4,7.2
2023-04-10,42.3,50.9,2.0,4.8
2023-04-09,46.8,45.7,1.6,6.0
2023-04-08,42.9,51.4,1.6,4.1
2023-04-08,45.9,43.9,1.7,8.3
2023-04-04,45.8,46.2,2.4,5.6
2023-04-03,41.1,42.6,2.2,5.0
2023-04-02,43.2,53.4,1.3,2.1
2023-04-02,46.8,42.2,2.6,8.4
2023-04-01,50.6,41.8,2.1,5.5
2023-03-31,42.0,44.6,–,–
2023-03-30,44.5,39.7,1.5,14.3
2023-03-29,41.6,46.4,2.9,9.1
2023-03-21,44.0,51.3,1.2,3.5
2023-03-20,44.3,45.5,–,3.1
2023-03-18,47.4,45.3,0.7,6.5
2023-03-17,39.7,53.5,1.4,2.9
2023-03-15,43.2,45.4,3.6,5.5
2023-03-15,42.3,53.1,1.5,3.1
2023-03-17,32.1,36.8,12.2,7.9
2023-03-15,45.7,51.1,–,–
2023-03-14,43.1,46.2,3.1,7.6
