Date,İmamoğlu CHP,Erdoğan AKP
2025-05-22,55.6,44.4
2025-05-22,54.2,45.8
2025-05-01,58.7,41.3
2025-05-01,56.2,43.8
2025-05-01,56.6,43.4
2025-04-12,55.2,44.8
2025-04-08,57.2,42.8
2025-04-04,56.0,44.0
2025-04-01,58.4,41.6
2025-03-28,46.4,53.6
2025-03-18,55.5,44.5
2025-03-01,55.6,44.4
2025-02-20,58.6,41.4
2025-02-19,54.4,45.6
2025-02-11,55.2,44.8
2025-02-01,52.5,47.5
2025-02-01,53.2,46.8
2025-01-11,53.3,46.7
2025-01-05,52.8,47.2
2025-01-01,54.1,45.9
2024-12-29,53.5,46.5
2024-12-27,54.7,45.3
2024-12-12,44.4,55.6
2024-11-29,54.8,45.2
2024-10-29,54.6,45.4
2024-09-01,57.8,42.2
