Date,CHP,AKP,DEM,MHP,ZP,İYİ,YRP,TİP,A
2025-02-27,31.3,30.5,8.2,8.9,5.2,4.5,5.1,1.3,
2025-02-25,31.2,29.0,8.7,8.0,5.0,5.3,4.2,1.8,2.4
2025-02-22,31.6,30.9,9.3,9.0,3.9,4.3,3.7,1.4,1.6
2025-02-14,29.5,29.1,7.5,8.6,5.1,4.7,5.0,1.6,1.1
2025-02-11,30.7,31.4,10.9,7.6,4.4,5.2,3.8,1.5,2.3
2025-02-08,29.7,31.5,8.7,9.3,4.1,4.2,4.3,1.6,1.3
2025-02-07,30.3,31.9,9.0,9.3,6.7,3.1,3.8,1.3,
2025-02-04,30.2,30.6,7.9,8.6,6.1,4.9,5.8,1.1,0.3
2025-02-04,31.4,27.9,9.4,7.5,6.0,5.6,4.6,1.9,2.1
2025-02-03,30.4,30.0,9.0,9.1,6.7,6.7,2.8,,2.3
2025-02-02,29.8,31.2,8.9,8.3,6.9,4.2,5.8,1.6,
2025-02-01,32.3,30.2,9.3,8.3,7.1,6.0,5.4,,
2025-01-30,31.6,31.2,8.8,9.1,4.6,5.1,3.7,1.3,1.6
2025-01-25,29.8,29.3,7.4,8.8,4.9,4.5,5.2,1.6,1.2
2025-01-24,29.1,29.3,8.1,9.5,7.6,7.0,3.2,,2.4
2025-01-20,29.3,34.4,9.3,9.2,3.1,5.5,3.4,,
2025-01-20,30.6,29.3,8.5,8.6,5.2,6.0,3.9,1.6,2.1
2025-01-14,31.9,29.6,9.6,8.9,3.6,4.4,3.9,1.6,1.4
2025-01-07,30.9,31.4,9.5,8.4,4.5,3.6,3.2,2.5,1.9
2025-01-07,29.0,30.2,7.5,9.2,4.2,4.4,5.1,1.5,0.9
2025-01-07,29.4,31.6,8.7,9.7,4.2,5.1,4.9,1.3,
2025-01-05,30.6,30.9,8.7,8.0,5.0,5.8,4.9,1.6,1.3
2024-12-29,30.1,28.3,9.2,7.7,5.9,5.7,4.8,1.9,2.9
2024-12-28,31.3,30.8,8.4,10.9,4.0,4.0,3.4,1.4,2.3
2024-12-27,27.1,30.0,8.6,10.1,4.5,7.1,3.8,2.1,2.1
2024-12-27,27.0,32.2,11.7,8.3,7.2,4.6,4.2,3.1,
2024-12-25,30.1,33.6,9.3,9.4,2.3,5.1,4.5,,
2024-12-23,28.7,30.8,7.4,9.1,4.1,4.9,5.3,1.6,0.9
2024-12-21,29.4,32.8,10.8,,,5.7,,,
2024-12-13,29.4,32.8,8.7,9.6,5.6,3.4,5.4,,
2024-12-12,27.3,33.6,9.8,9.3,5.3,4.9,4.2,2.3,1.8
2024-12-12,30.7,32.5,9.1,9.6,3.4,5.2,3.2,1.4,1.9
2024-12-07,35.6,30.9,6.1,8.4,4.7,6.4,1.3,1.1,1.5
2024-12-03,32.4,31.3,10.5,7.1,4.3,4.5,3.6,1.3,2.1
2024-12-01,27.0,33.5,8.5,9.0,3.5,8.3,2.2,1.8,
2024-12-01,28.0,33.3,10.5,8.6,3.6,6.4,4.2,1.6,
2024-12-01,32.3,30.3,9.4,9.2,5.3,5.7,4.5,,2.1
2024-11-29,30.3,29.4,9.2,6.8,5.6,6.4,3.5,1.7,2.7
2024-11-28,31.2,28.1,7.5,8.1,4.0,4.3,5.0,1.5,1.4
2024-11-27,30.0,29.5,10.1,8.1,5.4,7.0,4.1,,3.1
2024-11-25,33.1,32.9,6.9,8.1,2.8,6.0,3.2,,2.9
2024-11-20,30.3,30.0,9.8,7.6,4.2,6.0,3.5,0.9,1.7
2024-11-17,32.8,31.1,8.7,8.1,5.2,4.9,3.5,1.3,1.4
2024-11-15,31.7,34.4,12.7,8.4,1.1,6.5,1.5,0.9,
2024-11-12,31.2,30.1,7.5,7.5,4.3,7.5,6.5,1.1,
2024-11-04,29.6,31.9,8.4,7.7,6.4,5.7,3.5,1.4,3.4
2024-11-04,31.1,29.4,11.6,7.5,7.8,3.1,4.4,,
2024-11-03,29.4,28.7,10.2,9.2,4.8,4.3,4.6,1.1,2.5
2024-11-03,32.4,29.1,10.0,9.0,3.5,5.6,6.6,1.3,
2024-11-03,30.7,27.4,11.0,9.4,4.3,5.2,5.8,1.3,2.4
2024-11-02,30.5,29.4,7.5,10.5,4.0,3.9,5.1,1.3,
2024-11-01,33.4,32.9,9.8,9.0,2.7,6.6,3.7,,
2024-11-01,31.9,32.6,8.2,8.4,,6.3,,,
2024-10-29,31.2,29.0,8.9,6.3,6.0,6.7,4.8,1.6,
2024-10-27,30.1,30.0,9.5,7.7,6.6,8.3,4.2,1.5,
2024-10-24,26.9,32.1,8.7,7.5,8.4,6.2,3.4,2.3,
2024-10-24,31.7,32.5,8.6,9.0,4.3,4.7,3.5,1.3,
2024-10-15,32.1,30.9,10.7,,,5.6,,,
2024-10-14,36.0,33.7,7.9,6.5,3.7,2.2,5.4,,
2024-10-13,27.7,34.7,11.1,11.8,,7.4,,,
2024-10-09,33.5,27.1,10.6,9.5,5.6,5.2,4.5,,
2024-10-05,34.1,30.4,9.4,9.8,2.4,4.3,4.5,1.2,
2024-10-01,33.4,28.2,9.2,7.3,6.2,7.0,6.2,,
2024-10-01,30.1,31.4,10.0,10.4,3.9,4.4,3.5,1.4,
2024-10-01,32.2,29.3,10.0,11.7,4.0,3.1,5.9,1.4,
2024-10-01,32.5,30.6,11.6,10.3,5.9,2.2,3.8,,
2024-10-01,33.6,28.4,10.2,10.7,3.2,4.6,6.4,1.5,
2024-09-29,30.3,30.9,8.5,11.4,3.6,3.9,4.9,1.4,
2024-09-29,33.1,30.7,9.3,9.6,3.5,3.9,4.4,1.5,
2024-09-27,30.4,26.3,12.2,9.9,3.2,5.8,6.6,1.3,
2024-09-22,32.7,28.9,8.3,11.7,4.7,3.6,3.7,2.0,
2024-09-20,32.7,29.1,10.1,9.1,6.1,1.8,6.4,2.6,
2024-09-19,28.8,34.4,10.5,9.8,5.8,2.2,4.7,,
2024-09-19,31.4,31.9,9.6,9.3,3.7,4.9,3.9,1.7,
2024-09-18,34.5,28.0,9.8,10.2,4.3,5.3,4.0,2.8,
2024-09-16,34.7,30.2,9.6,9.4,3.9,4.0,3.7,1.2,
2024-09-11,34.1,30.3,9.4,8.7,2.6,3.8,4.9,2.4,
2024-09-01,30.3,33.5,11.1,10.4,,5.4,,,
2024-09-01,31.8,29.2,9.1,10.8,4.2,3.8,3.6,1.9,
2024-09-01,36.6,25.1,9.3,10.5,5.7,6.7,4.3,,
2024-09-01,32.6,30.5,8.3,9.9,3.5,4.7,4.3,1.6,
2024-08-30,34.5,31.1,9.5,10.3,2.5,5.3,5.4,1.5,
2024-08-27,31.7,29.5,8.7,11.2,3.4,4.5,5.1,1.5,
2024-08-27,34.5,29.8,9.3,10.1,3.8,4.4,4.6,1.1,
2024-08-17,28.2,33.0,10.1,7.0,4.0,5.3,5.1,3.0,
2024-08-16,33.2,30.6,9.1,10.8,2.1,5.3,5.7,1.3,
2024-08-16,31.7,32.2,10.2,10.4,4.5,2.5,4.8,,
2024-08-01,32.5,28.2,,8.7,,6.2,,,
2024-08-01,34.7,29.4,8.0,9.9,3.9,3.2,6.5,1.0,
2024-08-01,36.2,23.8,10.7,11.2,4.8,5.3,5.0,,
2024-08-01,33.1,34.2,9.2,9.0,3.3,3.6,4.4,,
2024-07-29,31.8,29.2,8.8,10.3,4.1,3.9,5.7,1.5,
2024-07-27,32.5,30.9,8.8,10.5,2.5,5.8,5.9,1.7,
2024-07-22,31.4,31.1,9.1,10.5,3.3,4.0,5.2,1.3,
2024-07-17,33.2,31.5,9.1,9.5,3.5,4.7,4.3,1.0,
2024-07-16,33.8,26.1,10.3,7.6,5.7,5.8,4.7,1.4,
2024-07-12,29.6,32.5,9.6,10.7,4.5,2.9,5.6,,
2024-07-08,35.2,25.5,11.1,10.1,4.7,3.9,3.3,0.7,
2024-07-07,33.4,30.8,8.0,9.8,3.0,5.0,6.2,1.7,
2024-07-07,32.1,29.0,9.6,10.4,5.0,6.1,4.3,,
2024-07-01,28.5,29.0,11.3,11.0,,5.0,,,
2024-07-01,34.7,28.3,10.1,10.4,5.1,5.5,4.8,,
2024-07-01,35.4,31.8,10.3,6.7,5.3,1.7,3.5,1.8,
2024-07-01,31.2,30.0,8.6,8.6,2.2,6.4,7.5,1.1,
2024-06-30,34.5,31.0,9.1,9.1,4.0,4.4,3.8,1.1,
2024-06-30,30.6,30.3,9.2,10.7,3.6,2.4,8.2,,
2024-06-26,35.2,34.3,12.4,5.6,3.2,3.6,4.2,0.5,
2024-06-20,30.8,33.1,9.1,10.5,3.8,3.5,5.5,,
2024-06-14,33.2,30.6,9.7,10.9,3.2,4.2,5.8,,
2024-06-14,35.0,32.1,9.0,7.1,3.6,2.7,6.0,1.4,
2024-06-11,32.8,32.4,10.5,7.0,,5.8,4.5,,
2024-06-03,33.9,31.4,9.7,8.3,3.7,4.7,4.4,1.2,
2024-06-01,27.7,32.3,9.9,11.5,,6.3,,,
2024-06-01,32.5,33.0,9.1,10.2,4.1,5.3,4.3,,
2024-05-28,31.5,30.6,9.6,10.1,3.2,3.9,5.7,1.6,
2024-05-23,33.6,31.7,9.7,8.2,3.1,2.5,5.1,2.6,
2024-05-18,37.9,32.3,7.8,6.4,3.3,4.3,5.3,0.9,
