Date,AKP,HDP,İYİ,MHP,DEVA,GP,SAADET,MP,CHP
2023-01-01 00:00:00,42.1,5.1,4.6,3.1,1.0,1.0,0.0,2.2,23.7
2022-12-18 00:00:00,34.5,6.1,6.5,2.6,0.7,0.2,0.2,0.8,32.599999999999994
2022-12-14 00:00:00,43.7,6.8,6.0,0.0,0.0,0.0,0.0,0.0,31.5
2022-11-30 00:00:00,49.9,10.0,2.4,0.0,0.9,0.1,0.6,0.6,35.5
2022-10-14 00:00:00,32.3,7.4,6.2,3.5,0.7,0.4,0.2,0.4,34.599999999999994
2022-09-26 00:00:00,39.7,8.6,7.0,8.3,0.0,0.0,0.0,0.0,31.599999999999998
2022-09-20 00:00:00,42.1,12.4,0.0,0.0,0.0,0.0,0.0,0.0,39.4
2022-09-09 00:00:00,48.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,40.5
2022-08-27 00:00:00,47.9,8.5,2.9,0.0,0.0,0.0,0.0,0.0,39.7
2022-08-15 00:00:00,36.5,9.5,7.6,8.3,0.0,0.0,0.0,0.0,33.0
2022-08-15 00:00:00,30.3,8.3,7.1,4.6,1.1,0.0,0.0,0.9,31.1
2022-07-14 00:00:00,30.1,8.2,5.4,0.0,0.0,0.0,0.0,0.0,28.1
2022-07-08 00:00:00,33.5,7.5,5.6,1.5,0.7,0.4,0.0,0.2,28.9
2022-07-09 00:00:00,32.6,8.4,6.3,2.1,1.4,0.0,0.0,0.7,26.8
2022-07-01 00:00:00,29.3,9.8,12.5,6.0,6.3,1.5,1.2,1.5,28.8
2022-06-30 00:00:00,46.3,6.7,2.6,0.0,0.0,0.0,0.0,0.0,42.6
2022-06-28 00:00:00,33.7,8.0,5.4,0.0,0.0,0.0,0.0,0.0,28.3
2022-06-24 00:00:00,40.2,4.6,10.4,2.2,1.7,0.0,0.0,2.1,32.199999999999996
2022-06-21 00:00:00,31.2,7.1,7.8,0.0,3.6,2.1,1.4,0.0,32.4
2022-06-14 00:00:00,30.5,6.5,6.8,1.4,1.0,0.4,0.0,0.4,32.9
2022-05-15 00:00:00,36.1,4.7,3.2,0.0,0.0,0.0,0.0,0.0,32.2
2022-05-12 00:00:00,39.2,4.7,8.0,2.8,1.9,0.0,0.0,2.7,32.1
2022-05-08 00:00:00,31.6,6.8,7.0,0.0,2.1,1.4,0.0,0.0,35.8
2022-05-09 00:00:00,32.2,7.3,5.3,1.2,0.7,0.0,0.0,0.2,37.9
2022-04-28 00:00:00,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1
2022-04-09 00:00:00,40.1,15.2,0.0,0.0,0.0,0.0,0.0,0.0,30.2
