Date,Lab,Con,Lib Dem,SNP,Reform,Green,Plaid Cymru,Others
2025-06-30,126.0,81.0,73.0,42.0,290.0,7.0,4.0,9.0
2025-06-18,178.0,46.0,81.0,38.0,271.0,7.0,7.0,4.0
2025-06-17,118.0,29.0,69.0,26.0,377.0,4.0,4.0,5.0
2025-04-01,165.0,165.0,67.0,35.0,180.0,4.0,5.0,11.0
2025-03-28,180.0,133.0,49.0,30.0,227.0,4.0,4.0,5.0
2025-01-29,174.0,178.0,57.0,37.0,175.0,4.0,2.0,5.0
2025-01-05,287.0,163.0,63.0,22.0,76.0,4.0,4.0,13.0
2024-12-16,228.0,222.0,58.0,37.0,72.0,2.0,4.0,9.0
2024-12-09,278.0,157.0,47.0,24.0,120.0,3.0,2.0,1.0
2024-07-04,411.0,121.0,72.0,9.0,5.0,4.0,4.0,6.0
