Date,Lab,Con,Lib Dem,SNP,DUP,IA,Ref,Green,Plaid Cymru,SDLP,APNI,TUV,UUP,Ind,Sinn Féin
2024-07-04,411.0,121.0,72.0,9.0,5.0,0.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,6.0,7.0
2024-07-23,404.0,121.0,72.0,9.0,5.0,0.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,13.0,7.0
2024-09-02,404.0,121.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,8.0,7.0
2024-09-28,403.0,121.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,9.0,7.0
2024-10-27,402.0,121.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,10.0,7.0
2025-02-05,406.0,121.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,6.0,7.0
2025-02-08,405.0,121.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,7.0,7.0
2025-02-10,404.0,121.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,8.0,7.0
2025-03-07,404.0,121.0,72.0,9.0,5.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,9.0,7.0
2025-03-17,404.0,121.0,72.0,9.0,5.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,8.0,7.0
2025-04-04,403.0,121.0,72.0,9.0,5.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,9.0,7.0
2025-05-01,403.0,121.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,9.0,7.0
2025-05-13,403.0,120.0,72.0,9.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,10.0,7.0
2025-07-05,403.0,120.0,72.0,9.0,5.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,11.0,7.0
