Date,Working Majority
2019-12-13,87.0
2020-05-23,87.0
2020-05-29,87.0
2020-07-15,85.0
2020-09-28,85.0
2020-10-01,85.0
2020-10-29,85.0
2020-12-30,87.0
2021-03-16,88.0
2021-03-24,89.0
2021-03-27,89.0
2021-03-28,89.0
2021-04-04,88.0
2021-05-06,89.0
2021-05-10,90.0
2021-05-13,89.0
2021-05-25,87.0
2021-06-17,86.0
2021-06-18,84.0
2021-07-01,83.0
2021-10-07,82.0
2021-10-15,81.0
2021-11-05,80.0
2021-12-02,81.0
2021-12-17,80.0
2022-01-07,81.0
2022-01-11,79.0
2022-01-19,77.0
2022-02-03,78.0
2022-02-11,78.0
2022-03-03,77.0
2022-04-02,75.0
2022-04-29,73.0
2022-05-03,74.0
2022-05-04,75.0
2022-05-12,77.0
2022-06-24,75.0
2022-06-26,75.0
2022-07-01,73.0
2022-07-19,71.0
2022-09-07,71.0
2022-09-27,71.0
2022-10-07,69.0
2022-10-13,69.0
2022-10-15,71.0
2022-10-21,72.0
2022-11-01,70.0
2022-11-10,71.0
2022-11-30,72.0
2022-12-01,71.0
2022-12-03,73.0
2022-12-07,71.0
2022-12-16,70.0
2022-12-19,69.0
2022-12-29,69.0
2023-01-11,67.0
2023-02-09,66.0
2023-03-03,66.0
2023-04-05,64.0
2023-04-23,64.0
2023-05-10,64.0
2023-05-25,64.0
2023-06-01,64.0
2023-06-09,64.0
2023-06-12,62.0
2023-06-19,63.0
2023-07-05,63.0
2023-07-20,62.0
2023-08-01,63.0
2023-08-29,62.0
2023-09-07,63.0
2023-10-05,62.0
2023-10-12,64.0
2023-10-17,62.0
2023-10-20,60.0
2023-10-26,58.0
2023-10-30,58.0
2023-11-04,56.0
2023-12-19,57.0
2023-12-20,57.0
2024-01-08,56.0
2024-01-17,57.0
2024-01-29,57.0
2024-02-01,57.0
2024-02-16,55.0
2024-02-24,53.0
2024-02-29,52.0
2024-03-11,52.0
2024-03-13,52.0
2024-03-25,53.0
2024-03-29,53.0
2024-04-09,51.0
2024-04-12,51.0
2024-04-17,49.0
2024-04-27,47.0
2024-05-03,46.0
2024-05-08,44.0
2024-05-23,48.0
2024-05-27,46.0
2024-05-28,46.0
2024-05-29,46.0
