Date,SF,DUP,APNI,UUP,SDLP,TUV,Green,Aontú,PBP
2024-11-04,29.0,19.0,13.0,10.0,10.0,11.0,2.0,1.0,2.0
2024-08-19,30.0,18.0,15.0,12.0,8.0,9.0,2.0,1.0,1.0
2024-05-13,29.0,21.0,15.0,11.0,8.0,8.0,1.0,2.0,1.0
2024-02-12,31.0,24.0,14.0,10.0,7.0,6.0,1.0,2.0,1.0
2023-10-30,31.0,28.0,16.0,8.0,6.0,4.0,2.0,1.0,1.0
2023-08-14,31.0,26.0,15.0,10.0,6.0,5.0,2.0,2.0,1.0
2023-04-24,29.0,25.0,13.0,11.0,7.0,7.0,2.0,2.0,1.0
2023-03-14,30.6,23.9,15.4,11.3,6.7,4.8,3.2,0.2,2.2
2023-01-23,31.0,25.0,15.0,10.0,7.0,7.0,1.0,2.0,1.0
2022-11-07,32.0,27.0,15.0,9.0,7.0,5.0,2.0,1.0,1.0
2022-08-15,30.0,24.0,16.0,11.0,7.0,6.0,2.0,2.0,1.0
2022-07-10,30.9,20.1,15.3,9.6,10.0,4.7,2.8,1.6,2.2
2022-05-05,29.0,21.3,13.5,11.2,9.1,7.6,1.9,1.5,1.1
