Date,SF,DUP,APNI,UUP,SDLP,TUV,Green,Aontú,PBP,Other
2025-05-19,27.0,17.0,15.0,9.0,10.0,11.0,1.0,0.0,0.0,0.0
2025-02-17,28.0,19.0,16.0,9.0,10.0,8.0,0.0,0.0,0.0,0.0
2024-11-04,28.0,18.0,16.0,8.0,8.0,9.0,0.0,0.0,2.0,1.0
2024-08-19,28.0,22.0,17.0,10.0,6.0,6.0,0.0,0.0,0.0,1.0
2024-05-13,28.0,27.0,17.0,9.0,7.0,1.0,0.0,0.0,0.0,1.0
2024-02-12,28.0,28.0,17.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0
2023-10-30,29.0,31.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2023-08-14,29.0,28.0,17.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0
2023-04-24,29.0,28.0,15.0,9.0,7.0,1.0,0.0,0.0,0.0,1.0
2023-03-14,28.0,27.0,18.0,7.0,6.0,0.0,2.0,0.0,2.0,0.0
2023-01-23,29.0,28.0,17.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0
2022-11-07,29.0,30.0,17.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0
2022-08-15,29.0,28.0,17.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0
2022-07-10,29.0,24.0,18.0,8.0,8.0,0.0,1.0,0.0,2.0,0.0
2022-05-05,27.0,25.0,17.0,9.0,8.0,1.0,0.0,0.0,1.0,2.0
