Date,SNP,Con,Lab,Lib Dem,Green,Reform
2024-07-04,30.0,12.7,35.3,9.7,3.8,7.0
2024-07-02,34.0,15.0,31.0,9.0,3.0,6.0
2024-06-28,30.0,16.0,35.0,9.0,2.0,7.0
2024-06-27,32.0,11.0,38.0,7.0,3.0,8.0
2024-06-26,31.0,13.0,35.0,8.0,3.0,8.0
2024-06-25,34.0,14.0,34.0,7.0,,
2024-06-25,31.0,14.0,37.0,7.0,3.0,8.0
2024-06-25,29.0,11.0,35.0,11.0,5.0,8.0
2024-06-18,33.0,15.0,38.0,7.0,,
2024-06-18,31.0,11.0,34.0,7.0,6.0,11.0
2024-06-14,30.0,14.0,34.0,9.0,4.0,7.0
2024-06-10,34.0,14.0,35.0,8.0,4.0,5.0
2024-06-09,36.0,13.0,36.0,5.0,3.0,4.0
2024-06-07,30.0,13.0,34.0,8.0,6.0,7.0
2024-06-02,29.0,17.0,39.0,8.0,3.0,4.0
2024-05-28,33.0,17.0,37.0,7.0,,
2024-05-27,32.0,17.0,36.0,9.0,,
2024-05-25,30.0,17.0,35.0,10.0,3.0,4.0
2024-05-17,29.0,12.0,39.0,8.0,7.0,4.0
2024-05-09,31.0,14.0,38.0,8.0,4.0,4.0
2024-05-08,33.0,17.0,37.0,7.0,,
2024-05-03,29.0,16.0,34.0,8.0,4.0,6.0
2024-04-29,33.0,14.0,34.0,8.0,4.0,5.0
2024-04-12,32.0,16.0,32.0,9.0,4.0,5.0
2024-04-07,32.0,17.0,33.0,8.0,2.0,5.0
2024-04-02,31.0,14.0,33.0,7.0,5.0,7.0
2024-03-11,34.0,16.0,34.0,6.0,4.0,4.0
2024-02-20,38.0,15.0,33.0,8.0,,
2024-02-04,33.0,18.0,34.0,8.0,2.0,4.0
2024-01-31,39.0,14.0,32.0,6.0,4.0,
2024-01-25,36.0,16.0,34.0,8.0,,
2024-01-25,33.0,16.0,36.0,7.0,,
2024-01-11,35.0,17.0,35.0,9.0,2.0,2.0
2023-11-27,34.0,17.0,36.0,6.0,3.0,3.0
2023-11-26,40.0,15.0,30.0,6.0,3.0,
2023-10-30,32.0,23.0,32.0,8.0,2.0,2.0
2023-10-25,32.0,16.0,38.0,6.0,4.0,
2023-10-11,35.0,19.0,35.0,6.0,,
2023-10-06,33.0,20.0,32.0,5.0,5.0,2.0
2023-10-05,34.0,21.0,32.0,9.0,2.0,
2023-09-14,37.0,18.0,28.0,8.0,4.0,
2023-09-13,38.0,16.0,27.0,7.0,6.0,4.0
2023-09-04,35.0,15.0,35.0,8.0,4.0,
2023-08-18,37.0,17.0,35.0,6.0,,
2023-08-08,36.0,15.0,32.0,6.0,6.0,3.0
2023-08-06,37.0,17.0,34.0,7.0,2.0,
2023-07-02,35.0,21.0,32.0,7.0,2.0,
2023-06-28,37.0,17.0,34.0,9.0,,
2023-06-15,34.0,18.0,34.0,7.0,,
2023-06-14,38.0,17.0,34.0,7.0,,
2023-06-13,33.0,17.0,36.0,7.0,4.0,
2023-06-05,37.0,20.0,28.0,9.0,3.0,
2023-05-21,41.0,16.0,29.0,6.0,3.0,
2023-05-03,38.0,18.0,31.0,9.0,2.0,
2023-05-02,35.0,18.0,32.0,9.0,3.0,
2023-04-20,37.0,17.0,28.0,8.0,5.0,2.0
2023-04-03,40.0,17.0,32.0,7.0,1.0,
2023-04-01,36.0,19.0,31.0,10.0,2.0,
2023-03-31,39.0,19.0,33.0,6.0,,
2023-03-30,39.0,19.0,31.0,5.0,,
2023-03-13,39.0,16.0,29.0,6.0,6.0,3.0
2023-03-10,40.0,18.0,32.0,6.0,2.0,
2023-03-10,40.0,16.0,33.0,6.0,,
2023-03-05,39.0,22.0,29.0,6.0,2.0,
2023-02-20,38.0,19.0,29.0,6.0,4.0,2.0
2023-02-17,43.0,17.0,30.0,6.0,,
2023-02-17,42.0,17.0,32.0,6.0,,
2023-02-15,38.0,16.0,35.0,6.0,3.0,
2023-02-07,42.0,18.0,29.0,6.0,,
2023-01-26,42.0,15.0,29.0,6.0,3.0,3.0
2023-01-12,43.0,18.0,29.0,7.0,,
2023-01-01,44.0,16.0,31.0,6.0,,
2022-12-21,43.0,19.0,30.0,6.0,,
2022-12-09,43.0,14.0,29.0,6.0,4.0,3.0
2022-12-05,51.0,13.0,25.0,6.0,3.0,
2022-11-27,41.0,16.0,31.0,8.0,2.0,
2022-10-11,42.0,16.0,30.0,6.0,2.0,
2022-10-07,45.0,15.0,30.0,5.0,,
2022-10-04,45.0,12.0,31.0,7.0,3.0,1.0
2022-10-04,46.0,15.0,30.0,8.0,,
2022-09-29,44.0,15.0,31.0,6.0,,
2022-08-19,44.0,20.0,23.0,8.0,,
2022-07-01,47.0,19.0,23.0,8.0,,
2022-06-28,46.0,18.0,25.0,8.0,,
2022-05-29,44.0,19.0,23.0,10.0,3.0,
2022-05-23,46.0,19.0,22.0,6.0,3.0,1.0
2022-04-29,42.0,21.0,24.0,7.0,,
2022-03-31,42.0,19.0,26.0,6.0,4.0,
2022-03-28,45.0,19.0,27.0,6.0,,
2022-02-04,44.0,20.0,24.0,8.0,2.0,
2021-12-22,48.0,17.0,22.0,7.0,3.0,
2021-11-22,48.0,20.0,18.0,6.0,3.0,2.0
2021-11-12,48.0,21.0,20.0,7.0,,
2021-10-26,48.0,21.0,21.0,7.0,,
2021-09-10,47.0,23.0,19.0,7.0,,
2021-09-08,51.0,21.0,17.0,5.0,2.0,
2021-06-24,47.0,25.0,18.0,6.0,,
2021-05-04,48.0,22.0,19.0,5.0,4.0,1.0
2021-05-04,48.0,22.0,20.0,7.0,1.0,
2021-05-03,47.0,25.0,20.0,6.0,1.0,
2021-04-30,48.0,20.0,20.0,7.0,3.0,
2021-04-26,46.0,22.0,22.0,8.0,,
