Date,SNP,Con,Lab,Green,Lib Dem,Alba,Reform
2025-05-05,29.0,12.0,18.0,9.0,10.0,3.0,20.0
2025-04-22,28.0,16.0,22.0,10.0,9.0,2.0,12.0
2025-04-11,25.0,15.0,15.0,14.0,12.0,7.0,10.0
2025-03-13,29.0,13.0,20.0,8.0,9.0,3.0,16.0
2025-01-20,27.0,15.0,16.0,13.0,12.0,5.0,11.0
2025-01-14,30.0,15.0,17.0,10.0,11.0,4.0,13.0
2025-01-13,31.0,14.0,21.0,9.0,10.0,2.0,13.0
2024-12-24,26.0,14.0,17.0,13.0,10.0,6.0,11.0
2024-12-06,32.0,16.0,18.0,8.0,10.0,5.0,12.0
2024-11-15,27.0,15.0,25.0,10.0,9.0,3.0,11.0
2024-11-01,29.0,14.0,22.0,9.0,9.0,3.0,11.0
2024-09-13,28.0,14.0,26.0,10.0,10.0,3.0,10.0
2024-09-11,30.0,12.0,25.0,8.0,8.0,,12.0
2024-08-29,27.0,12.0,28.0,10.0,10.0,2.0,9.0
2024-08-22,28.0,14.0,28.0,8.0,7.0,5.0,9.0
2024-06-27,27.0,14.0,34.0,8.0,9.0,1.0,6.0
2024-06-25,31.0,17.0,29.0,9.0,9.0,,
2024-06-25,30.0,16.0,34.0,7.0,8.0,2.0,
2024-06-18,29.0,16.0,29.0,12.0,10.0,,
2024-06-14,28.0,16.0,27.0,9.0,8.0,5.0,7.0
2024-06-07,29.0,14.0,29.0,11.0,9.0,2.0,5.0
2024-06-02,31.0,15.0,28.0,7.0,9.0,4.0,6.0
2024-05-09,27.0,14.0,33.0,9.0,9.0,3.0,5.0
2024-05-08,26.0,18.0,32.0,11.0,10.0,,
2024-05-03,27.0,17.0,28.0,9.0,8.0,4.0,6.0
2024-04-29,31.0,17.0,28.0,8.0,8.0,3.0,3.0
2024-04-12,28.0,19.0,25.0,9.0,10.0,3.0,4.0
2024-04-07,26.0,17.0,29.0,9.0,9.0,3.0,5.0
2024-04-02,29.0,16.0,29.0,9.0,8.0,3.0,5.0
2024-03-11,28.0,16.0,29.0,9.0,9.0,3.0,5.0
2024-02-04,27.0,16.0,29.0,9.0,9.0,3.0,5.0
2024-01-31,33.0,13.0,31.0,11.0,7.0,1.0,2.0
2024-01-25,31.0,16.0,29.0,9.0,8.0,3.0,
2024-01-25,30.0,19.0,29.0,9.0,7.0,3.0,2.0
2024-01-11,25.0,17.0,30.0,11.0,10.0,3.0,4.0
2023-11-26,33.0,15.0,26.0,10.0,8.0,4.0,1.0
2023-10-30,28.0,21.0,27.0,9.0,8.0,3.0,4.0
2023-10-25,30.0,14.0,30.0,11.0,8.0,4.0,3.0
2023-10-11,28.0,20.0,29.0,13.0,8.0,,
2023-10-06,28.0,19.0,28.0,11.0,7.0,3.0,2.0
2023-10-05,29.0,18.0,30.0,12.0,8.0,0.0,
2023-10-05,26.0,19.0,25.0,12.0,12.0,3.0,2.0
2023-09-14,35.0,18.0,25.0,8.0,8.0,2.0,
2023-09-13,33.0,16.0,25.0,11.0,8.0,2.0,3.0
2023-09-04,25.0,15.0,30.0,14.0,9.0,4.0,3.0
2023-08-18,30.0,15.0,30.0,9.0,9.0,,5.0
2023-08-08,32.0,14.0,28.0,11.0,8.0,2.0,3.0
2023-08-06,29.0,18.0,30.0,9.0,9.0,2.0,3.0
2023-07-02,29.0,19.0,26.0,8.0,12.0,2.0,4.0
2023-06-28,30.0,18.0,29.0,10.0,9.0,,2.0
2023-06-15,30.0,17.0,28.0,12.0,8.0,4.0,
2023-06-14,28.0,18.0,28.0,13.0,11.0,,
2023-06-13,30.0,16.0,27.0,8.0,11.0,3.0,1.0
2023-06-05,25.0,18.0,25.0,13.0,10.0,3.0,3.0
2023-05-21,35.0,17.0,27.0,12.0,5.0,2.0,1.0
2023-05-03,32.0,19.0,26.0,10.0,7.0,3.0,2.0
2023-05-02,25.0,19.0,27.0,13.0,10.0,2.0,2.0
2023-04-20,30.0,17.0,26.0,12.0,9.0,2.0,2.0
2023-04-03,32.0,17.0,23.0,8.0,7.0,,2.0
2023-04-01,30.0,19.0,24.0,11.0,13.0,,2.0
2023-03-31,33.0,18.0,30.0,10.0,7.0,,
2023-03-30,31.0,20.0,27.0,10.0,6.0,5.0,
2023-03-13,35.0,16.0,25.0,11.0,8.0,2.0,3.0
2023-03-10,32.0,17.0,27.0,12.0,8.0,,
2023-03-05,29.0,20.0,26.0,10.0,11.0,,1.0
2023-02-20,35.0,18.0,27.0,9.0,7.0,2.0,2.0
2023-02-17,35.0,18.0,27.0,8.0,8.0,2.0,1.0
2023-02-17,32.0,16.0,27.0,14.0,9.0,,
2023-02-15,33.0,17.0,28.0,11.0,7.0,1.0,3.0
2023-02-07,33.0,17.0,25.0,12.0,7.0,,2.0
2023-01-26,36.0,17.0,26.0,9.0,6.0,4.0,3.0
2023-01-12,33.0,18.0,25.0,12.0,8.0,,2.0
2023-01-01,33.0,15.0,26.0,12.0,9.0,2.0,2.0
2022-12-21,32.0,18.0,24.0,13.0,10.0,,
2022-12-09,40.0,13.0,24.0,11.0,6.0,3.0,2.0
2022-12-05,43.0,14.0,21.0,13.0,6.0,1.0,
2022-11-25,38.0,15.0,24.0,8.0,12.0,1.0,3.0
2022-10-11,37.0,17.0,26.0,9.0,7.0,4.0,
2022-10-04,38.0,14.0,24.0,12.0,8.0,1.0,1.0
2022-10-04,32.0,19.0,26.0,13.0,8.0,2.0,
2022-09-29,31.0,14.0,27.0,14.0,9.0,1.0,2.0
2022-08-19,38.0,20.0,20.0,9.0,9.0,,
2022-07-01,41.0,19.0,22.0,7.0,8.0,,
2022-06-28,33.0,20.0,24.0,13.0,8.0,2.0,
2022-05-23,39.0,18.0,21.0,10.0,8.0,2.0,1.0
2022-05-03,31.0,18.0,23.0,14.0,10.0,1.0,
2022-04-29,36.0,20.0,22.0,10.0,7.0,,
2022-03-31,33.0,20.0,22.0,10.0,8.0,3.0,
2022-03-28,34.0,19.0,23.0,11.0,8.0,2.0,
2022-03-16,34.0,20.0,22.0,13.0,8.0,2.0,
2022-02-28,34.0,21.0,20.0,14.0,8.0,2.0,
2022-02-04,38.0,21.0,20.0,9.0,8.0,,
2022-01-18,38.0,18.0,20.0,12.0,9.0,2.0,
2021-11-29,43.0,20.0,15.0,12.0,6.0,1.0,
2021-11-22,38.0,19.0,19.0,11.0,7.0,1.0,
2021-11-12,41.0,21.0,18.0,10.0,8.0,,
2021-10-28,38.0,22.0,20.0,11.0,7.0,1.0,
2021-09-10,38.0,23.0,18.0,9.0,8.0,,
2021-09-09,36.0,23.0,18.0,13.0,7.0,2.0,
2021-09-08,40.0,21.0,16.0,8.0,5.0,,
2021-06-24,38.0,23.0,17.0,9.0,6.0,,
2021-05-06,40.3,23.5,17.9,8.1,5.1,1.7,0.2
