Date,SNP,Con,Lab,Lib Dem,Green,Reform
2025-03-13,34.0,12.0,23.0,8.0,4.0,17.0
2025-01-20,34.0,13.0,20.0,9.0,9.0,13.0
2025-01-14,35.0,15.0,18.0,11.0,6.0,14.0
2025-01-13,35.0,14.0,22.0,8.0,6.0,13.0
2024-12-24,35.0,15.0,19.0,9.0,7.0,11.0
2024-12-06,37.0,14.0,21.0,10.0,5.0,12.0
2024-11-15,32.0,14.0,27.0,9.0,6.0,10.0
2024-11-01,33.0,15.0,23.0,10.0,6.0,11.0
2024-09-13,31.0,13.0,31.0,8.0,6.0,9.0
2024-09-11,32.0,12.0,25.0,8.0,7.0,12.0
2024-08-29,31.0,12.0,30.0,9.0,6.0,9.0
2024-08-22,33.0,12.0,30.0,8.0,5.0,9.0
2024-06-27,33.0,14.0,34.0,8.0,3.0,6.0
2024-06-25,37.0,14.0,35.0,8.0,,
2024-06-25,33.0,14.0,37.0,8.0,4.0,
2024-06-18,36.0,16.0,35.0,7.0,,
2024-06-14,34.0,16.0,32.0,8.0,6.0,
2024-06-07,34.0,13.0,35.0,10.0,5.0,
2024-06-02,33.0,17.0,32.0,9.0,2.0,4.0
2024-05-09,33.0,15.0,35.0,9.0,3.0,
2024-05-08,35.0,18.0,35.0,6.0,,
2024-05-03,34.0,14.0,33.0,9.0,5.0,
2024-04-29,36.0,16.0,32.0,9.0,3.0,
2024-04-12,35.0,17.0,30.0,10.0,5.0,
2024-04-07,34.0,21.0,32.0,6.0,2.0,3.0
2024-04-02,34.0,15.0,32.0,9.0,4.0,
2024-03-11,35.0,18.0,31.0,5.0,3.0,4.0
2024-02-04,35.0,18.0,33.0,8.0,3.0,3.0
2024-01-31,39.0,14.0,30.0,7.0,4.0,1.0
2024-01-25,35.0,16.0,31.0,8.0,5.0,
2024-01-25,36.0,16.0,31.0,7.0,5.0,
2024-01-11,37.0,18.0,32.0,8.0,3.0,1.0
2023-11-26,39.0,15.0,27.0,8.0,4.0,1.0
2023-10-30,34.0,22.0,30.0,8.0,2.0,2.0
2023-10-25,34.0,14.0,32.0,9.0,7.0,
2023-10-11,37.0,18.0,33.0,6.0,,
2023-10-06,37.0,20.0,29.0,9.0,3.0,
2023-10-05,35.0,16.0,31.0,7.0,7.0,
2023-10-05,35.0,20.0,29.0,10.0,3.0,1.0
2023-09-14,42.0,20.0,26.0,8.0,,
2023-09-13,41.0,16.0,28.0,8.0,3.0,
2023-09-04,39.0,16.0,30.0,8.0,,3.0
2023-08-18,39.0,16.0,34.0,8.0,,
2023-08-08,41.0,14.0,31.0,7.0,3.0,
2023-08-06,36.0,19.0,32.0,8.0,2.0,1.0
2023-07-02,33.0,21.0,30.0,10.0,2.0,2.0
2023-06-28,38.0,17.0,33.0,10.0,,
2023-06-15,36.0,13.0,32.0,9.0,7.0,
2023-06-14,40.0,16.0,33.0,8.0,,
2023-06-13,27.0,11.0,21.0,6.0,5.0,
2023-06-05,36.0,21.0,29.0,8.0,2.0,2.0
2023-05-21,42.0,17.0,28.0,7.0,4.0,
2023-05-03,39.0,19.0,30.0,9.0,,
2023-05-02,36.0,18.0,32.0,8.0,2.0,2.0
2023-04-20,38.0,16.0,30.0,10.0,2.0,
2023-04-03,38.0,16.0,27.0,7.0,,
2023-04-01,38.0,18.0,28.0,10.0,3.0,2.0
2023-03-31,39.0,19.0,32.0,7.0,,
2023-03-30,37.0,17.0,30.0,8.0,5.0,
2023-03-13,43.0,15.0,26.0,8.0,4.0,
2023-03-10,39.0,14.0,31.0,8.0,6.0,
2023-03-05,40.0,20.0,29.0,7.0,2.0,2.0
2023-02-20,42.0,18.0,28.0,8.0,2.0,
2023-02-17,43.0,17.0,29.0,8.0,1.0,
2023-02-17,43.0,17.0,30.0,8.0,,
2023-02-15,39.0,17.0,28.0,8.0,5.0,
2023-02-07,43.0,17.0,29.0,7.0,,
2023-01-26,44.0,17.0,26.0,7.0,2.0,
2023-01-12,46.0,17.0,27.0,8.0,,
2023-01-01,44.0,16.0,29.0,8.0,1.0,1.0
2022-12-21,44.0,18.0,28.0,8.0,,
2022-12-09,50.0,13.0,25.0,7.0,2.0,
2022-12-05,50.0,14.0,24.0,7.0,3.0,
2022-11-25,34.0,11.0,17.0,6.0,4.0,
2022-10-11,45.0,15.0,28.0,6.0,3.0,
2022-10-04,49.0,13.0,26.0,8.0,,
2022-10-04,47.0,17.0,25.0,8.0,,
2022-09-29,45.0,14.0,30.0,6.0,,
2022-08-19,45.0,19.0,22.0,8.0,,
2022-07-01,47.0,17.0,22.0,9.0,3.0,
2022-06-28,46.0,18.0,25.0,8.0,,
2022-05-23,47.0,18.0,23.0,7.0,2.0,
2022-05-03,46.0,18.0,25.0,7.0,,
2022-04-29,42.0,19.0,24.0,7.0,4.0,
2022-03-31,44.0,21.0,22.0,8.0,,
2022-03-28,46.0,20.0,25.0,7.0,,
2022-03-16,46.0,20.0,24.0,7.0,,
2022-02-28,47.0,21.0,22.0,8.0,,
2022-02-04,44.0,19.0,22.0,8.0,3.0,
2022-01-18,47.0,19.0,22.0,8.0,,
2021-11-29,52.0,19.0,17.0,5.0,3.0,
2021-11-22,48.0,21.0,19.0,7.0,2.0,
2021-11-12,47.0,20.0,19.0,8.0,4.0,
2021-10-28,48.0,20.0,22.0,7.0,,
2021-09-10,46.0,22.0,18.0,7.0,4.0,
2021-09-09,48.0,22.0,20.0,7.0,,
2021-09-08,51.0,21.0,18.0,6.0,,
2021-06-24,46.0,24.0,19.0,6.0,3.0,
2021-05-06,47.7,21.9,21.6,6.9,1.3,
